위도,경도,man_made,addr:full,source:date
33.25449798,126.5407772,utility_pole,제주특별자치도 서귀포시 호근동 688-1,2020-06-16
33.25557995,126.510526,utility_pole,제주특별자치도 서귀포시 법환동 731,2020-06-16
33.2475108,126.522568,utility_pole,제주특별자치도 서귀포시 서호동 140-1,2020-06-16
33.2475108,126.522568,utility_pole,제주특별자치도 서귀포시 서호동 140-1,2020-06-16
33.2606184,126.5104,utility_pole,제주특별자치도 서귀포시 서호동 1236-7,2020-06-16
33.25108768,126.5090616,utility_pole,제주특별자치도 서귀포시 법환동 748,2020-06-16
33.249786,126.506419,utility_pole,제주특별자치도 서귀포시 강정동 248-3,2020-06-16
33.251196,126.478205,utility_pole,제주특별자치도 서귀포시 도순동 265,2020-06-16
33.26378313,126.5592657,utility_pole,제주특별자치도 서귀포시 동홍동 1580-5,2020-06-16
33.26580492,126.5670604,utility_pole,제주특별자치도 서귀포시 동홍동 1143,2020-06-16
33.25398814,126.5706943,utility_pole,제주특별자치도 서귀포시 동홍동 646-1,2020-06-16
33.25304804,126.5720897,utility_pole,제주특별자치도 서귀포시 동홍동 119,2020-06-16
33.256093,126.560573,utility_pole,제주특별자치도 서귀포시 동홍동 1480-7,2020-06-16
33.27293481,126.568047,utility_pole,제주특별자치도 서귀포시 동홍동 953-2,2020-06-16
33.25574,126.5599977,utility_pole,제주특별자치도 서귀포시 서홍동 1651-12,2020-06-16
33.254624,126.577297,utility_pole,제주특별자치도 서귀포시 토평동 825-1,2020-06-16
33.257381,126.585891,utility_pole,제주특별자치도 서귀포시 토평동 935,2020-06-16
33.258099,126.579381,utility_pole,제주특별자치도 서귀포시 토평동 965-7,2020-06-16
33.267202,126.585174,utility_pole,제주특별자치도 서귀포시 토평동 2269-3,2020-06-16
33.2554878,126.39899,utility_pole,제주특별자치도 서귀포시 상예동 575,2020-06-16
33.26096745,126.4113833,utility_pole,제주특별자치도 서귀포시 색달동 1937-1,2020-06-16
33.264183,126.389864,utility_pole,제주특별자치도 서귀포시 상예동 1716-5,2020-06-16
33.252713,126.448287,utility_pole,제주특별자치도 서귀포시 대포동 533-2,2020-06-16
33.2631727,126.4449948,utility_pole,제주특별자치도 서귀포시 회수동 355-1,2020-06-16
33.254191,126.459306,utility_pole,제주특별자치도 서귀포시 하원동 405-6,2020-06-16
33.255536,126.435036,utility_pole,제주특별자치도 서귀포시 중문동 1841-7,2020-06-16
33.247994,126.55286,utility_pole,제주특별자치도 서귀포시 서홍동 533-5,2020-06-16
33.251959,126.553797,utility_pole,제주특별자치도 서귀포시 서홍동 1194-11,2020-06-16
33.2636994,126.6116875,utility_pole,제주특별자치도 서귀포시 신효동 839-8,2020-06-16
33.2629113,126.6203587,utility_pole,제주특별자치도 서귀포시 하효동 283-1,2020-06-16
33.27675322,126.7091772,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 1430,2020-06-16
33.2838652,126.7201334,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 238-2,2020-06-16
33.2838652,126.7201334,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 238-2,2020-06-16
33.27187968,126.6474156,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 4154,2020-06-16
33.27459773,126.6585936,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 2901-1,2020-06-16
33.275052,126.688446,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 168-1,2020-06-16
33.27862811,126.668621,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 1528-1,2020-06-16
33.27819102,126.6629936,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 2044,2020-06-16
33.32074678,126.7459408,utility_pole,제주특별자치도 서귀포시 남원읍 신흥리 1758-10,2020-06-16
33.30113811,126.7680431,utility_pole,제주특별자치도 서귀포시 남원읍 신흥리 161-4,2020-06-16
33.28462569,126.6326702,utility_pole,제주특별자치도 서귀포시 남원읍 신례리 822-1,2020-06-16
33.26626609,126.640479,utility_pole,제주특별자치도 서귀포시 남원읍 신례리 94-1,2020-06-16
