위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.752109,128.875899,,utility_pole,현수막 지정게시대,강원도 강릉시 주문리 337-6,강릉시청,government,2008,,,337-6,,,,
37.752109,128.875899,,utility_pole,현수막 지정게시대,강원도 강릉시 성산면 구산리 303-2,강릉시청,government,2008,,,303-2,성산면,,,
37.752109,128.875899,,utility_pole,현수막 지정게시대,강원도 강릉시 구정면 여찬리 184-7,강릉시청,government,2002,,,184-7,구정면,,,
37.752109,128.875899,,utility_pole,현수막 지정게시대,강원도 강릉시 강동면 상시동리 876-3,강릉시청,government,2000,,,876-3,강동면,,,
37.68852,129.0333945,,utility_pole,현수막 지정게시대,강원도 강릉시 강동면 정동진리 559-6,강릉시청,government,2001,,,559-6,강동면,,,
37.752109,128.875899,,utility_pole,현수막 지정게시대,강원도 강릉시 강동면 안인진리 300-8,강릉시청,government,2005,,,300-8,강동면,,,
37.825056,128.850033,,utility_pole,현수막 지정게시대,강원도 강릉시 사천면 미노리 364,강릉시청,government,2001,,,364,사천면,,,
37.833211,128.873301,,utility_pole,현수막 지정게시대,강원도 강릉시 사천면 사천진리 92-2,강릉시청,government,2000,,,92-2,사천면,,,
37.86887,128.837704,,utility_pole,현수막 지정게시대,강원도 강릉시 연곡면 영진리 370,강릉시청,government,2000,,,370,연곡면,,,
37.61304,129.039634,,utility_pole,현수막 지정게시대,강원도 강릉시 옥계면 현내리 191-3,강릉시청,government,2001,,,191-3,옥계면,,,
37.602145,129.029585,,utility_pole,현수막 지정게시대,강원도 강릉시 옥계면 현내리 554-38,강릉시청,government,2001,,,554-38,옥계면,,,
37.597895,129.032391,,utility_pole,현수막 지정게시대,강원도 강릉시 옥계면 천남리 364-10,강릉시청,government,2006,,,364-10,옥계면,,,
38.38061748,128.4678805,board,,고성군청,강원도 고성군 간성읍 하리 12,고성군청,government,1980,,,12,간성읍,,,
38.38620832,128.4737297,board,,농업기술센터,강원도 고성군 간성읍 신안리 390 ,농업기술센터,government,2005,,,390,간성읍,,,
38.37761662,128.4721409,board,,보건소,강원도 고성군 간성읍 신안리 178,보건소,government,2011,,,178,간성읍,,,
38.35571689,128.4625911,board,,상하수도사업소,강원도 고성군 간성읍 금수리 산55-1,상하수도사업소,government,2015,,,,간성읍,,,
38.37838545,128.4668604,board,,간성읍사무소,강원도 고성군 간성읍 하리 28,간성읍사무소,government,1983,,,28,간성읍,,,
38.43611439,128.4525166,board,,거진읍사무소,강원도 고성군 거진읍 송포리 634,거진읍사무소,government,2006,,,634,거진읍,,,
38.49406207,128.4271891,board,,현내면사무소,강원도 고성군 현내면 대진리 200-1,현내면사무소,government,2009,,,200-1,현내면,,,
38.32881681,128.5255227,board,,죽왕면사무소,강원도 고성군 죽왕면 오호리 170,죽왕면사무소,government,1987,,,170,죽왕면,,,
38.44589367,128.4519154,board,,거진보건지소,강원도 고성군 거진읍 거진리 326-3,거진보건지소,government,1999,,,326-3,거진읍,,,
38.50309551,128.4289355,board,,현내보건지소,강원도 고성군 현내면 대진리 5-3,현내보건지소,government,2001,,,5-3,현내면,,,
38.3254328,128.5258451,board,,죽왕보건지소,강원도 고성군 죽왕면 오호리 64-2,죽왕보건지소,government,1998,,,64-2,죽왕면,,,
38.25563807,128.5609047,board,,토성보건지소,강원도 고성군 토성면 천진리 1-2,토성보건지소,government,2004,,,1-2,토성면,,,
38.2571965,128.5585983,board,,토성면사무소,강원도 고성군 토성면 천진리 163-1,토성면사무소,government,1984,,,163-1,토성면,,,
