지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,재질,구조,연장,폭원,높이-최대,높이-최소,대장초기화여부,비고,구분ID,경도,위도
석축,61,명정동,348021491A,통영시,107,,석축,,28.41,0.3,0.8,0.5,1,,42,128.400113,34.85455311
석축,62,명정동,348021491A,통영시,3187,,석축,,19,0.3,1.6,0.2,1,,43,128.4004216,34.85442816
옹벽,65,명정동,348021491A,통영시,3704,,철근콘크리트,,76.41,0.3,0.95,0.95,1,,44,128.4017853,34.85424746
석축,66,명정동,348021491A,통영시,3704,,석축,,9.72,0.3,1.75,0.65,1,,45,128.4015784,34.85435201
석축,67,명정동,348021491A,통영시,3704,,석축,,28.35,0.3,1.1,0.2,1,,46,128.401796,34.85423626
석축,68,명정동,348021491A,통영시,3704,,석축,,11.55,0.3,1.75,0.4,1,,47,128.4020946,34.85410726
석축,69,명정동,348021491A,통영시,3194,,석축,,32.95,0.3,0.85,0.3,1,,48,128.4015953,34.8539889
옹벽,1358,산양읍,348021832D,통영시,8894,,철근콘크리트,,412.39,0.3,1.8,1,1,,49,128.3589711,34.83128312
석축,1359,산양읍,348021842D,통영시,8485,,석축,,17.69,0.3,3.5,0.5,1,,50,128.3589224,34.82540411
옹벽,1360,산양읍,348021842D,통영시,8869,,철근콘크리트,,56.1,0.3,0.8,0.5,1,,51,128.3590045,34.82601425
석축,1361,산양읍,348021842D,통영시,8869,,석축,,12.92,0.3,3,0.5,1,,52,128.3588992,34.82626531
옹벽,1362,산양읍,348021842D,통영시,8869,,철근콘크리트,,50.36,0.3,0.6,0.6,1,,53,128.3585854,34.82646267
옹벽,1363,산양읍,348021842D,통영시,8869,,철근콘크리트,,39.72,0.3,3.5,1,1,,54,128.3577307,34.82629871
석축,1364,산양읍,348021842C,통영시,8869,,석축,,9.89,0.3,3.5,0.5,1,,55,128.3574509,34.82556939
석축,1365,산양읍,348021740B,통영시,8890,,석축,,149.38,0.3,3.2,1,1,,56,128.3479988,34.83421721
옹벽,1366,산양읍,348021887B,통영시,8865,,철근콘크리트,,60.49,0.3,1,0.5,1,,57,128.3832642,34.80910186
석축,1367,산양읍,348021834C,통영시,8899,,석축,,486.66,0.3,3.5,0.5,1,,58,128.3646915,34.83208465
옹벽,1368,산양읍,348021749C,통영시,8877,,철근콘크리트,,26.16,0.3,2,1,1,,59,128.3403297,34.82741051
옹벽,1369,산양읍,348021852A,통영시,8869,,철근콘크리트,,72.56,0.3,1,0.5,1,,60,128.3562889,34.82442735
옹벽,1370,산양읍,348021867D,통영시,8919,,철근콘크리트,,500.32,0.3,2.8,0.5,1,,61,128.384366,34.81601164
옹벽,1487,도산면,348021301C,통영시,9069,,철근콘크리트,,292.46,0.3,1.1,0.3,1,,62,128.3513115,34.89539172
옹벽,1488,도산면,348021210D,통영시,9069,,철근콘크리트,,87.6,0.3,0.9,0.4,1,,63,128.3498098,34.89507328
옹벽,1489,도산면,348020700D,통영시,9067,,철근콘크리트,,233.61,0.3,1,0.2,1,,64,128.3485534,34.9004787
옹벽,1490,도산면,348020788C,통영시,9062,,철근콘크리트,,71.09,0.3,1.1,0.6,1,,65,128.3366946,34.90624892
옹벽,1491,도산면,348020788D,통영시,9064,,철근콘크리트,,24.32,0.3,1.1,0.2,1,,66,128.3381206,34.90594025
옹벽,1492,도산면,348020788D,통영시,9064,,철근콘크리트,,87.41,0.3,1.1,0.2,1,,67,128.3387633,34.90581973
옹벽,1493,도산면,348020788D,통영시,9064,,철근콘크리트,,19.56,0.3,1.1,0.2,1,,68,128.3393025,34.90557829
옹벽,1494,도산면,348020799A,통영시,9064,,철근콘크리트,,24.36,0.3,1.1,0.2,1,,69,128.3405225,34.9049585
옹벽,1495,도산면,348020799A,통영시,9064,,철근콘크리트,,56.3,0.3,1.1,0.2,1,,70,128.3409409,34.90478803
옹벽,1496,도산면,348020799B,통영시,9193,,철근콘크리트,,60.63,0.3,0.9,0.3,1,,71,128.3429853,34.9033486
옹벽,1497,도산면,348020799B,통영시,9067,,철근콘크리트,,79.28,0.3,1.6,0.3,1,,72,128.3437306,34.90322237
옹벽,1498,도산면,348020799B,통영시,9067,,철근콘크리트,,75.55,0.3,1.1,0.3,1,,73,128.344421,34.90293103
옹벽,1499,도산면,348020799A,통영시,9064,,철근콘크리트,,67.8,0.3,1.1,0.2,1,,74,128.3415158,34.9044612
옹벽,1500,도산면,348020785C,통영시,9059,,철근콘크리트,,56.82,0.3,1.1,0.3,1,,75,128.3201198,34.90567759
옹벽,1501,도산면,348020785C,통영시,9197,,철근콘크리트,,73.01,0.3,1.1,0.2,1,,76,128.3219503,34.9053459
옹벽,1625,도산면,348021225C,통영시,9046,,철근콘크리트,,161.59,0.3,1.1,0.2,1,,77,128.3220757,34.88556862
옹벽,1626,도산면,348021225D,통영시,9046,,철근콘크리트,,40.2,0.3,1.3,0.1,1,,78,128.3246049,34.88639628
옹벽,1627,도산면,348021225D,통영시,9046,,철근콘크리트,,24.37,0.3,1.1,0.1,1,,79,128.3248284,34.88666362
옹벽,1628,도산면,348021226C,통영시,9046,,철근콘크리트,,51.1,0.3,1.1,0.2,1,,80,128.3252074,34.88688376
옹벽,1629,도산면,348021226C,통영시,9046,,철근콘크리트,,34.17,0.3,1.1,0.2,1,,81,128.3259335,34.88699263
옹벽,1630,도산면,348021226C,통영시,9046,,철근콘크리트,,27.05,0.3,1.1,0.2,1,,82,128.3262882,34.88693421
옹벽,1631,도산면,348021227C,통영시,9121,,철근콘크리트,,127.92,0.3,1.1,0.2,1,,83,128.3305339,34.88555087
옹벽,1632,도산면,348021227B,통영시,9119,,철근콘크리트,,323.82,0.3,1.1,0.2,1,,84,128.3332175,34.88814291
옹벽,1633,도산면,348021227C,통영시,9121,,석축,,56.3,0.3,3,2,1,,85,128.3306663,34.88562329
옹벽,1634,도산면,348021228A,통영시,9119,,철근콘크리트,,24.06,0.3,1.1,0.2,1,,86,128.3358057,34.88957672
옹벽,1635,도산면,348021234A,통영시,9046,,철근콘크리트,,58,0.3,1,0.2,1,,87,128.3160558,34.88493911
옹벽,1508,도산면,348020786C,통영시,9197,,철근콘크리트,,13.32,0.3,0.9,0,1,,88,128.325403,34.90672662
옹벽,1509,도산면,348020787B,통영시,9197,,철근콘크리트,,293.53,0.3,1.1,0.9,1,,89,128.3331273,34.90812185
옹벽,1510,도산면,348020784A,통영시,9054,,철근콘크리트,,52.64,0.3,0.55,0.2,1,,90,128.3161731,34.90788932
옹벽,1511,도산면,348020784A,통영시,9056,,철근콘크리트,,179.82,0.3,1,0.2,1,,91,128.3151172,34.90726984
옹벽,1512,도산면,348020784A,통영시,9056,,철근콘크리트,,93.09,0.3,0.55,0,1,,92,128.3162931,34.90765458
석축,1391,도산면,348021202A,통영시,9041,,석축,,50.37,0.3,2.2,0.2,1,,93,128.3067726,34.89891972
석축,1392,산양읍,348021968C,통영시,8989,,석축,,49.71,0.3,2.3,0.8,1,,94,128.435783,34.81633673
석축,1393,산양읍,348021999A,통영시,9262,,석축,,40.48,0.3,1.6,0.3,1,,95,128.4416162,34.80453045
석축,1394,산양읍,348021999A,통영시,9262,,석축,,19.73,0.3,1.3,1,1,,96,128.441026,34.80498151
석축,1395,산양읍,348021989A,통영시,9262,,석축,,48.35,0.3,1.5,0.9,1,,97,128.4416585,34.80914503
석축,1396,산양읍,348021989A,통영시,9262,,석축,,62.51,0.3,1.5,1,1,,98,128.4411472,34.80987692
석축,1397,산양읍,348021979C,통영시,9262,,석축,,47.64,0.3,1.8,1.7,1,,99,128.4403977,34.8110162
석축,1398,산양읍,348021979C,통영시,9262,,석축,,5.32,0.3,1.8,0.3,1,,100,128.4401247,34.8111954
석축,1399,산양읍,348021978D,통영시,9262,,석축,,12.99,0.3,1.8,0.4,1,,101,128.439473,34.81189933
석축,1400,산양읍,348021968B,통영시,8989,,석축,,4.96,0.3,1.9,1,1,,102,128.4378834,34.81790304
석축,1401,산양읍,348021968B,통영시,8989,,석축,,20.2,0.3,2.6,0.6,1,,103,128.4376043,34.81776479
석축,1402,산양읍,348021968B,통영시,8985,,석축,,11.07,0.3,0.9,0.3,1,,104,128.4382431,34.81976603
석축,1403,산양읍,348021958C,통영시,8983,,석축,,61.06,0.3,0.95,0.95,1,,105,128.4369715,34.8205194
석축,1404,산양읍,348021978D,통영시,9262,,석축,,12.92,0.3,1.8,0.4,1,,106,128.439387,34.81201714
석축,1405,산양읍,348021978D,통영시,9262,,석축,,62.99,0.3,1.8,0.4,1,,107,128.4392299,34.81241811
석축,1406,산양읍,348021979C,통영시,9262,,석축,,20.61,0.3,1.8,0.6,1,,108,128.4400051,34.81130735
석축,1407,산양읍,348021978D,통영시,9262,,석축,,61.03,0.3,1.8,0.6,1,,109,128.4397368,34.81160131
석축,1408,산양읍,348022415D,통영시,9021,,석축,,25.66,0.3,2.6,0.85,1,,110,128.4245779,34.79237729
석축,1409,산양읍,348022415D,통영시,9021,,석축,,10.98,0.3,2.9,0.97,1,,111,128.4237207,34.79249408
옹벽,1410,산양읍,348021997A,통영시,9236,,철근콘크리트,,71.73,0.3,1.3,0.5,1,,112,128.4315655,34.80474761
옹벽,1411,도산면,348021345A,통영시,9187,,철근콘크리트,,4.79,0.3,0.68,0.2,1,,113,128.371475,34.87844623
옹벽,1412,도산면,348021345A,통영시,9187,,철근콘크리트,,19.27,0.3,1.1,0.2,1,,114,128.3714626,34.87832688
옹벽,1413,산양읍,348021977B,통영시,8989,,도경석,,123.25,0.3,1.1,1.1,1,,115,128.4333602,34.81374592
옹벽,1414,산양읍,348022415C,통영시,9012,,철근콘크리트,,246.77,0.3,0.3,0.3,1,,116,128.4203697,34.7910172
옹벽,1415,산양읍,348021992C,통영시,9028,,철근콘크리트,,175.28,0.3,1.1,1.1,1,,117,128.4074468,34.80195411
옹벽,1416,산양읍,348021992D,통영시,9028,,철근콘크리트,,13.18,0.3,1.1,1.1,1,,118,128.4087191,34.80152727
옹벽,1417,산양읍,348022403A,통영시,9028,,철근콘크리트,,37.35,0.3,1,1,1,,119,128.4116171,34.79881512
옹벽,1418,산양읍,348022403A,통영시,9028,,철근콘크리트,,15.89,0.3,1.1,1.1,1,,120,128.4123604,34.79833672
옹벽,1419,산양읍,348022403B,통영시,9028,,철근콘크리트,,37.64,0.3,2,2,1,,121,128.412718,34.79820569
옹벽,1420,산양읍,348022414B,통영시,9021,,철근콘크리트,,22.34,0.3,0.95,0.95,1,,122,128.419654,34.79466265
옹벽,1421,산양읍,348022415B,통영시,9021,,철근콘크리트,,39.14,0.3,0.95,0.95,1,,123,128.4230537,34.79253807
옹벽,1422,산양읍,348022415D,통영시,9021,,철근콘크리트,,88.31,0.3,0.95,0.95,1,,124,128.4238296,34.79248006
옹벽,1423,산양읍,348022415C,통영시,9011,,철근콘크리트,,5.26,0.3,1,1,1,,125,128.42073,34.79002195
옹벽,1424,산양읍,348022415A,통영시,9021,,철근콘크리트,,61.03,0.3,0.9,0.9,1,,126,128.4200515,34.79446239
옹벽,1425,산양읍,348022416D,통영시,9021,,철근콘크리트,,22.46,0.3,1.6,0.5,1,,127,128.4281815,34.79179548
옹벽,1426,산양읍,348022416D,통영시,9021,,철근콘크리트,,38.68,0.3,1.6,0.5,1,,128,128.428285,34.79206043
옹벽,1427,산양읍,348022416C,통영시,9021,,철근콘크리트,,415.09,0.3,1.6,0.5,1,,129,128.4266377,34.79158693
옹벽,1428,산양읍,348022416B,통영시,9021,,철근콘크리트,,84.02,0.3,0.5,0.5,1,,130,128.4290768,34.7931845
옹벽,1429,산양읍,348022416B,통영시,9021,,철근콘크리트,,20.5,0.3,0.5,0.5,1,,131,128.4287777,34.79277789
옹벽,1430,산양읍,348022416D,통영시,9021,,철근콘크리트,,61.09,0.3,0.5,0.5,1,,132,128.428535,34.79246377
옹벽,1431,산양읍,348022415D,통영시,9021,,철근콘크리트,,5.8,0.3,1.55,0.9,1,,133,128.4244179,34.79242711
옹벽,1432,산양읍,348022415A,통영시,9021,,철근콘크리트,,73.3,0.3,1.56,0.5,1,,134,128.4214107,34.79392482
옹벽,1433,산양읍,348021992C,통영시,9034,,철근콘크리트,,50.95,0.3,1.04,1.04,1,,135,128.4060752,34.80215991
옹벽,1557,도산면,348021315C,통영시,9104,,철근콘크리트,,63.63,0.3,1,0.26,1,,136,128.3719433,34.89212178
옹벽,1558,도산면,348021239C,통영시,9149,,철근콘크리트,,23.24,0.3,1.7,0.2,1,,137,128.340664,34.88241418
옹벽,1559,도산면,348021321C,통영시,9141,,철근콘크리트,,324.13,0.3,1.1,0.6,1,,138,128.3520585,34.88520219
옹벽,1560,도산면,348021326A,통영시,9106,,철근콘크리트,,23.14,0.3,1,0.3,1,,139,128.3751573,34.88963076
옹벽,1561,도산면,348021326A,통영시,9106,,철근콘크리트,,155.79,0.3,1.1,0.3,1,,140,128.3761141,34.88921981
옹벽,1562,도산면,348021326A,통영시,9106,,철근콘크리트,,91.93,0.3,1.2,0.3,1,,141,128.3774249,34.88868073
옹벽,1563,도산면,348021326B,통영시,9106,,철근콘크리트,,18.05,0.3,1.2,0.7,1,,142,128.3778569,34.88830003
옹벽,1564,도산면,348021326D,통영시,9106,,철근콘크리트,,88.07,0.3,0.95,0.2,1,,143,128.3786987,34.88736787
옹벽,1565,도산면,348021326D,통영시,9106,,철근콘크리트,,61.04,0.3,1,0.3,1,,144,128.3791229,34.88678641
석축,1388,도산면,348020792C,통영시,9039,,석축,,51.11,0.3,2.4,0.3,1,,145,128.3067749,34.90076424
석축,1389,도산면,348020792C,통영시,9041,,석축,,24.63,0.3,1.7,0.7,1,,146,128.3071918,34.90004101
석축,1390,도산면,348021202A,통영시,9041,,석축,,31.08,0.3,1,0.6,1,,147,128.3070554,34.89917368
옹벽,1357,산양읍,348021833D,통영시,8912,,철근콘크리트,,86.93,0.3,1,0.5,1,,148,128.3643073,34.83093027
석축,1309,산양읍,348021729C,통영시,8884,,석축,,69.12,0.3,2.4,1,1,,149,128.3418933,34.8351394
석축,1310,산양읍,348021729C,통영시,8944,,석축,,413.68,0.3,3.5,1,1,,150,128.3417662,34.83704223
옹벽,1311,산양읍,348021865D,통영시,8892,,철근콘크리트,,106.27,0.3,3,0.5,1,,151,128.3749102,34.81719989
옹벽,1242,산양읍,348021841C,통영시,8869,,철근콘크리트,,56.96,0.3,3.5,0.5,1,,152,128.3508696,34.82522801
옹벽,1243,산양읍,348021750C,통영시,8869,,철근콘크리트,,298.66,0.3,3.5,0.5,1,,153,128.3459915,34.82529341
옹벽,1244,산양읍,348021750C,통영시,8869,,철근콘크리트,,3.56,0.3,3,0.5,1,,154,128.3474673,34.82535219
옹벽,1578,도산면,348021219D,통영시,9119,,철근콘크리트,,54.69,0.3,1,0.3,1,,155,128.343433,34.89236465
옹벽,1579,도산면,348021219C,통영시,9119,,철근콘크리트,,24.38,0.3,1,0.3,1,,156,128.34105,34.8916617
옹벽,1580,도산면,348021220C,통영시,9115,,철근콘크리트,,270.33,0.3,1,0.3,1,,157,128.3450653,34.89178734
옹벽,1581,도산면,348021220A,통영시,9115,,철근콘크리트,,84.03,0.3,1.3,0.3,1,,158,128.3474049,34.89461775
옹벽,1582,도산면,348021220A,통영시,9115,,철근콘크리트,,38.58,0.3,1.05,0.6,1,,159,128.3461136,34.89387163
옹벽,1583,도산면,348021220A,통영시,9115,,철근콘크리트,,79.84,0.3,1,0.3,1,,160,128.3458782,34.89340029
옹벽,1455,산양읍,348021999A,통영시,9262,,철근콘크리트,,1348.33,0.3,0.55,0.55,1,,161,128.4404534,34.80437929
옹벽,1456,산양읍,348021987C,통영시,9236,,무근콘크리트,,8.22,0.3,1.1,1.1,1,,162,128.4312951,34.80503041
옹벽,1457,산양읍,348021968B,통영시,8989,,무근콘크리트,,13.65,0.3,2.1,2.1,1,,163,128.4377727,34.8178507
옹벽,1458,산양읍,348021987B,통영시,8966,,철근콘크리트,,67.85,0.3,1.5,0.5,1,,164,128.4331286,34.80888397
옹벽,1459,산양읍,348021968C,통영시,8989,,철근콘크리트,,148.73,0.3,3,0.6,1,,165,128.4362427,34.81664529
옹벽,1460,도산면,348021202D,통영시,9042,,무근콘크리트,,9.68,0.3,1.95,0.2,1,,166,128.3078437,34.89674845
옹벽,1461,도산면,348021202D,통영시,9213,,철근콘크리트,,143.85,0.3,0.5,0.4,1,,167,128.3075703,34.89549995
옹벽,1462,도산면,348021202B,통영시,9038,,철근콘크리트,,24.29,0.3,1.5,0.3,1,,168,128.3089564,34.89783636
옹벽,1463,도산면,348021202B,통영시,9038,,철근콘크리트,,138.8,0.3,1.1,0.6,1,,169,128.3090174,34.89855502
옹벽,1464,도산면,348021202B,통영시,9038,,철근콘크리트,,68.79,0.3,1.1,0.45,1,,170,128.3089923,34.89836456
옹벽,1465,도산면,348021202B,통영시,9038,,철근콘크리트,,9.56,0.3,1,0.2,1,,171,128.3085572,34.89984962
옹벽,1466,도산면,348021202A,통영시,9041,,철근콘크리트,,47.22,0.3,0.6,0.2,1,,172,128.3071744,34.89950996
옹벽,1467,도산면,348021202B,통영시,9038,,철근콘크리트,,23.74,0.3,1,0.2,1,,173,128.30846,34.89999756
옹벽,1468,도산면,348020792D,통영시,9038,,철근콘크리트,,32,0.3,1,0.2,1,,174,128.3082929,34.90023033
옹벽,1469,도산면,348020792C,통영시,9043,,철근콘크리트,,100.35,0.3,1.7,1.3,1,,175,128.3063762,34.90165472
옹벽,1470,도산면,348020792C,통영시,9038,,철근콘크리트,,131.84,0.3,1,0.2,1,,176,128.307429,34.90093424
옹벽,1471,도산면,348020792C,통영시,9043,,철근콘크리트,,77.96,0.3,1.8,0.6,1,,177,128.3063027,34.9019818
옹벽,1472,도산면,348020791B,통영시,9043,,철근콘크리트,,303.04,0.3,1.5,0,1,,178,128.3049539,34.90475202
옹벽,1473,도산면,348020792A,통영시,9043,,철근콘크리트,,57.3,0.3,0.9,0.5,1,,179,128.3051575,34.90359693
옹벽,1474,도산면,348020782C,통영시,9208,,철근콘크리트,,41.6,0.3,1.5,0.55,1,,180,128.3054145,34.90582475
옹벽,1475,도산면,348020781D,통영시,9208,,철근콘크리트,,49.63,0.3,2.1,0.8,1,,181,128.3048685,34.90590162
옹벽,1476,도산면,348020782C,통영시,9051,,철근콘크리트,,127.26,0.3,1.6,0.3,1,,182,128.3069375,34.90625309
옹벽,1477,도산면,348021311B,통영시,9073,,철근콘크리트,,412.16,0.3,1.1,0.2,1,,183,128.3526154,34.89429658
옹벽,1478,도산면,348021302A,통영시,9071,,철근콘크리트,,343.37,0.3,1.4,1.4,1,,184,128.3554741,34.89779083
옹벽,1479,도산면,348021301D,통영시,9071,,철근콘크리트,,71.98,0.3,1.4,1.4,1,,185,128.3533747,34.89709276
옹벽,1480,도산면,348021301D,통영시,9071,,철근콘크리트,,20.13,0.3,0.75,0.75,1,,186,128.3530127,34.89680793
옹벽,1481,도산면,348021301A,통영시,9067,,철근콘크리트,,168.34,0.3,1.1,0.6,1,,187,128.3510922,34.89934979
옹벽,1482,도산면,348021220B,통영시,9069,,철근콘크리트,,169.9,0.3,1.1,0.3,1,,188,128.3483631,34.89480565
옹벽,1483,도산면,348021302B,통영시,9071,,철근콘크리트,,53.13,0.3,1.1,0.2,1,,189,128.3575839,34.89950796
옹벽,1484,도산면,348021301D,통영시,9071,,철근콘크리트,,24.8,0.3,1.1,0.2,1,,190,128.35304,34.89615726
옹벽,1485,도산면,348021301D,통영시,9071,,철근콘크리트,,48.99,0.3,1.1,0.2,1,,191,128.3529034,34.89649805
옹벽,1486,도산면,348021301D,통영시,9071,,철근콘크리트,,110.06,0.3,1.1,0.3,1,,192,128.3526702,34.89571391
옹벽,1617,도산면,348021331D,통영시,9141,,철근콘크리트,,280.85,0.3,1.05,1.05,1,,193,128.3530902,34.88065891
옹벽,1618,도산면,348021238D,통영시,9130,,철근콘크리트,,124.75,0.3,1,1,1,,194,128.338808,34.88213784
옹벽,1619,도산면,348021213A,통영시,9046,,철근콘크리트,,40.72,0.3,1.1,0.1,1,,195,128.3105396,34.89293583
옹벽,1620,도산면,348021213A,통영시,9046,,철근콘크리트,,31.25,0.3,1.1,0.1,1,,196,128.3106039,34.89257782
옹벽,1621,도산면,348021213C,통영시,9046,,철근콘크리트,,135.65,0.3,1.8,0.1,1,,197,128.3107288,34.89059037
옹벽,1622,도산면,348021218C,통영시,9119,,철근콘크리트,,35.6,0.3,1.1,0.2,1,,198,128.3360941,34.89005236
옹벽,1623,도산면,348021218D,통영시,9119,,철근콘크리트,,118.62,0.3,1,0.3,1,,199,128.3385769,34.89083936
옹벽,1624,도산면,348021225C,통영시,9046,,철근콘크리트,,72.82,0.3,1.1,0.1,1,,200,128.32089,34.8855706
옹벽,1636,도산면,348021236B,통영시,9124,,철근콘크리트,,135.1,0.3,1.1,0.2,1,,201,128.3290904,34.88337201
옹벽,1637,도산면,348021236D,통영시,9124,,철근콘크리트,,164.68,0.3,1.1,0.2,1,,202,128.328585,34.88220789
석축,1638,도산면,348021236D,통영시,9124,,석축,,36.64,0.3,1.9,0.3,1,,203,128.3285795,34.88170706
옹벽,1639,도산면,348021236D,통영시,9124,,철근콘크리트,,30.94,0.3,1.7,0.2,1,,204,128.328953,34.88150132
옹벽,1640,도산면,348021236D,통영시,9124,,철근콘크리트,,88.09,0.3,1,0.2,1,,205,128.3294806,34.88152265
옹벽,1641,도산면,348021236D,통영시,9124,,철근콘크리트,,19.82,0.3,0.95,0.2,1,,206,128.3292638,34.88148167
옹벽,1513,도산면,348020784D,통영시,9059,,철근콘크리트,,40.32,0.3,1.8,0.2,1,,207,128.3181544,34.90747827
옹벽,1514,도산면,348020784D,통영시,9059,,철근콘크리트,,56.41,0.3,1.1,0.2,1,,208,128.3181994,34.90706042
옹벽,1515,도산면,348020784D,통영시,9059,,철근콘크리트,,23.57,0.3,1.1,0.2,1,,209,128.3182387,34.90633257
옹벽,1516,도산면,348020784D,통영시,9059,,철근콘크리트,,23.81,0.3,1.1,0.2,1,,210,128.3196714,34.90577837
