위도,경도,name,man_made,product,addr:full
126.855829,37.28267677,(주)씨에스에프씨,works,food,"경기도 안산시 상록구 충장로 12, 1층,2층 일부호 (본오동)"
126.7870019,37.3054212,주식회사 굿모닝웰빙씨푸드,works,food,"경기도 안산시 단원구 산단로 107 (원시동,서흥테크노밸리 302~304호)"
126.8719904,37.33973041,새두부,works,food,경기도 안산시 상록구 청곡길 69 (부곡동)
126.8845743,37.29564771,농업회사법인황가네(주),works,food,경기도 안산시 상록구 팔곡길 28 (팔곡이동)
126.7987461,37.31294755,태원에프엔,works,food,"경기도 안산시 단원구 동산로 76, 604호 (원시동, 타원타크라2지식산업센터)"
126.8540229,37.28367465,유경식품,works,food,"경기도 안산시 상록구 장화3안길 28, 1층 (사동)"
126.778715,37.32320094,세원식품,works,food,"경기도 안산시 단원구 능안로 81, 4015호 (신길동,안산디지탈파크)"
126.5859098,37.24209137,수타제면,works,food,경기도 안산시 단원구 대부중앙로 112 (대부북동)
126.8085181,37.34247235,고향식품,works,food,"경기도 안산시 단원구 석수동길 8, 1층 (선부동)"
126.778715,37.32320094,정성식품,works,food,"경기도 안산시 단원구 능안로 81, 6050호 (신길동, 디지털파크 )"
126.8281311,37.31348114,예지식품,works,food,"경기도 안산시 단원구 광덕3로 135-10, 101,102호 (고잔동,선경프라자)"
126.7601144,37.31500101,파랑돌,works,food,"경기도 안산시 단원구 신원로91번길 89 (성곡동,102호 일부)"
126.9303722,37.29839671,(주)더본코리아 맛기신정 안산지점,works,food,"경기도 안산시 상록구 안산테콤길 37, 3층 (사사동)"
126.8369316,37.30256442,(주)씨암푸드,works,food,"경기도 안산시 상록구 성안1길 2-1, 2층 (사동)"
126.8382156,37.31372987,LA FOOD,works,food,"경기도 안산시 단원구 이삭2길 21 (고잔동,1층)"
126.8412747,37.30225507,세이비엔에프,works,food,"경기도 안산시 상록구 성안1길 48 (사동,1층)"
126.7927453,37.32897518,이부뻐르띠위(IBU PERTIWI),works,food,"경기도 안산시 단원구 백성길 70 (원곡동,1층)"
126.871073,37.36105643,늘푸른동산,works,food,"경기도 안산시 상록구 안산벌말길 5 (장하동,1층)"
126.8179967,37.34744313,금강식품,works,food,"경기도 안산시 단원구 화정천서로 567 (선부동,1층)"
126.788354,37.32178619,주식회사 최강씨푸드,works,food,"경기도 안산시 단원구 산단로 296 (원시동,외1필지 대우테크노피아아파트형공장DT 528호)"
126.8574621,37.3071506,한울푸드,works,food,"경기도 안산시 상록구 충장로6안길 5 (이동, 1층일부)"
126.8795472,37.36289462,(주)푸드팩토리,works,food,"경기도 안산시 상록구 원당골2길 12-12 (수암동,1층)"
126.7835523,37.3163983,(주)아워홈,works,food,"경기도 안산시 단원구 원시로 216 (원시동,(주)아워홈1동 3층,4층,5층 일부분)"
126.8446282,37.30592676,Tea Sharp,works,food,"경기도 안산시 상록구 천문3길 5 (사동,1층)"
126.8445739,37.29415032,(주)보성녹돈조합 서울지사,works,food,"경기도 안산시 상록구 댕이길 61-1, 1층 (사동)"
126.8021314,37.33800165,스위트하우스(Sweet House),works,food,"경기도 안산시 단원구 지곡로4길 19 (선부동, 1층일부)"
126.851626,37.33748061,(주)김명자,works,food,"경기도 안산시 상록구 안산천동로7길 11 (월피동, 1층일부)"
126.846995,37.31233616,(주)백원사랑강남동태찜,works,food,"경기도 안산시 상록구 송호로 7-10 (이동, 1층 일부)"
126.8025502,37.3375068,명품식품,works,food,"경기도 안산시 단원구 지곡로4길 26, 1층일부 (선부동)"
126.7928238,37.3332011,차이나푸드,works,food,"경기도 안산시 단원구 원곡공원로 14-1 (원곡동,1층)"
126.8050794,37.3455301,농업회사법인 주식회사 빛고운식품,works,food,"경기도 안산시 단원구 경일2길 9 (선부동, 1층)"
126.615379,37.23809179,(주)농업회사법인상록수된장마을,works,food,"경기도 안산시 단원구 대부황금로 717, 1,2층 (대부동동)"
126.568608,37.27389838,(주) 우이당,works,food,"경기도 안산시 단원구 구봉길 12 (대부북동, 1층일부)"
126.8119939,37.30236464,한승,works,food,"경기도 안산시 단원구 원포공원1로 49 (초지동, 태영타운 135,143,144호)"
126.7967232,37.32667558,한중식품,works,food,"경기도 안산시 단원구 원선로 26, E동 1층 1호 (원곡동, 라성연립3차)"
126.8244613,37.33409098,(주)뜰아래,works,food,"경기도 안산시 단원구 와동1로 23, 1층 (와동)"
126.568635,37.26723092,밀알식품,works,food,"경기도 안산시 단원구 대선로 52 (대부북동,1층일부(103,104호))"
126.849161,37.31225791,(주)지앤푸드,works,food,"경기도 안산시 상록구 송호1길 83-1 (이동,1층)"
126.5838754,37.23295679,다원 포도 농장,works,food,경기도 안산시 단원구 대남로 87-29 (대부남동)
126.8496272,37.31042043,안다미로,works,food,"경기도 안산시 상록구 양지편2길 14-11 (이동,1층)"
126.7493849,37.30531057,금상푸드,works,food,"경기도 안산시 단원구 첨단로245번길 4 (성곡동, A동 1층)"
126.8456293,37.31267675,수성식품,works,food,"경기도 안산시 상록구 송호4길 7 (이동,1층)"
126.8113828,37.30314754,(주)이푸른푸드,works,food,"경기도 안산시 단원구 원포공원1로 60, 다인프라자 1층 115,116,117,118호 (초지동)"
126.8899375,37.2915623,씨제이제일제당(주),works,food,"경기도 안산시 상록구 용담로 141 (팔곡이동,외 1필지)"
126.8187193,37.31498058,다올김치,works,food,"경기도 안산시 단원구 신촌6길 26-1, 1층 (초지동)"
126.5698297,37.24956623,농업회사법인(주) 웰빙대부도,works,food,"경기도 안산시 단원구 새방죽길 42-36 (대부북동, 1층 일부, 2층)"
126.8796032,37.36313795,(주)보성씨푸드,works,food,"경기도 안산시 상록구 원당골2길 12-11 (수암동,1층전체)"
126.7344194,37.31411657,은성식품,works,food,"경기도 안산시 단원구 별망로80번길 16, A동 1층 (성곡동, 일부 )"
126.8447974,37.30589996,그린티라이프,works,food,"경기도 안산시 상록구 천문3길 7, 1층 (사동)"
126.8482099,37.28095511,(주)이산,works,food,"경기도 안산시 상록구 선진5길 35, 1층 (사동)"
