위치명,위도,경도,구간시점,구간종점,식재거리,총합계,왕벚나무,은행나무,느티나무,양버즘,이팝나무,메타세콰이아,칠엽수,튤립나무,벽오동,후박나무,먼나무,가시나무,녹나무,구군명,데이터기준일자
부산광역시 부산진구 백양순환로 35번길,35.1667992,129.0319106,개성고,개성고,60,15,0,0,15,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 백양대로 136번길,35.1631554,129.0336767,주공3단지,백양대로 136번길 103,815,56,0,0,0,53,0,0,0,3,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 전포대로,35.1555541,129.0659438,삼전교차로,전포대로156,6163,304,0,22,64,56,0,0,0,0,3,128,31,0,0,부산진구,2020-11-23
부산광역시 부산진구 신암로,35.1498082,129.051802,범곡교차로,가야굴다리,3680,246,0,246,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 신천대로,35.1584115,129.0521134,부암교차로,문전교차로,8310,279,7,150,12,106,0,0,0,0,0,4,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 성지로,35.1781132,129.0521508,연지삼거리,초읍원형로타리,3120,242,242,0,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 복지로,35.1475761,129.0198636,백양대로 267,개금역,3130,119,0,44,12,12,0,0,0,51,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 가야대로 443번길,35.1544133,129.0210367,개금역,주원초등학교,480,12,0,12,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 엄광로,35.1510299,129.0442084,가남초등학교,엄광로312,156,20,20,0,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 동평로,35.1689518,129.0490195,백양터널어귀삼거리,양정역,9480,647,0,539,0,28,0,0,0,0,5,61,14,0,0,부산진구,2020-11-23
부산광역시 부산진구 중앙대로,35.1587335,129.063596,연제구경계,범곡교차로,28741,686,3,91,174,405,0,13,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 가야대로,35.1545019,129.0334678,서면교차로,사상구경계,8883,524,0,417,55,0,0,0,0,0,0,0,26,0,26,부산진구,2020-11-23
부산광역시 부산진구 성지곡로,35.1859841,129.048271,초읍로타리,성지곡로 33번길1,140,51,0,0,0,0,51,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 진남로,35.16555,129.0731479,진남로336,시영아파트,540,20,0,20,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 동평로 183번길,35.1697096,129.0489306,초연로11,동성아파트,540,83,28,0,0,0,0,0,55,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 초읍천로,35.1787318,129.046807,초연로11,연지자이2차,80,13,0,0,0,0,0,0,13,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 초연로,35.1736047,129.0467586,초연로11,연지자이2차(201동~213동인근),110,10,0,0,0,0,0,0,10,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 중앙대로 644번길,35.1492282,129.0617453,알리안츠생명,범4호교,940,22,0,7,0,0,0,0,0,0,0,15,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 황령대로 30번길,35.1460039,129.0625997,범4호교,성서교,380,34,0,0,0,0,0,0,0,0,0,0,34,0,0,부산진구,2020-11-23
부산광역시 부산진구 자유평화로 37번길,35.14272443,129.0626879,성서교,범5호교,640,48,0,0,0,0,0,0,0,0,0,0,0,0,48,부산진구,2020-11-23
부산광역시 부산진구 시민공원로 20번길,35.1630545,129.0523593,시민공원로22,서면동문굿모닝힐,155,17,0,0,17,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 범천로,35.1492168,129.0559186,범천2동주민센터,신천대로91,540,19,0,19,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 개금온정로,35.1544606,129.0251597,개금온정로17번길 77,가야대로 489,390,32,5,27,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 백양관문로 지선,35.1674447,129.0269767,부산국제고등학교,동일스위트아파트,253,52,45,0,7,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 화지로,35.1760575,129.0644758,부산정보고등학교,동평로 353,288,20,0,0,20,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시 부산진구 만리산로,35.1460165,129.0527717,범천동 DS협성엘리시안,범천동 DS협성엘리시안,112,14,14,0,0,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
부산광역시,35.1510299,129.0442084,엄광로,지선,192,23,0,0,23,0,0,0,0,0,0,0,0,0,0,부산진구,2020-11-23
