위도,경도,man_made,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.25449798,126.5407772,utility_pole,,2020-06-16,,,688-1,호근동,,,
33.25557995,126.510526,utility_pole,,2020-06-16,,,731,법환동,,,
33.2475108,126.522568,utility_pole,,2020-06-16,,,140-1,서호동,,,
33.2475108,126.522568,utility_pole,,2020-06-16,,,140-1,서호동,,,
33.2606184,126.5104,utility_pole,,2020-06-16,,,1236-7,서호동,,,
33.25108768,126.5090616,utility_pole,,2020-06-16,,,748,법환동,,,
33.249786,126.506419,utility_pole,,2020-06-16,,,248-3,강정동,,,
33.251196,126.478205,utility_pole,,2020-06-16,,,265,도순동,,,
33.26378313,126.5592657,utility_pole,,2020-06-16,,,1580-5,동홍동,,,
33.26580492,126.5670604,utility_pole,,2020-06-16,,,1143,동홍동,,,
33.25398814,126.5706943,utility_pole,,2020-06-16,,,646-1,동홍동,,,
33.25304804,126.5720897,utility_pole,,2020-06-16,,,119,동홍동,,,
33.256093,126.560573,utility_pole,,2020-06-16,,,1480-7,동홍동,,,
33.27293481,126.568047,utility_pole,,2020-06-16,,,953-2,동홍동,,,
33.25574,126.5599977,utility_pole,,2020-06-16,,,1651-12,서홍동,,,
33.254624,126.577297,utility_pole,,2020-06-16,,,825-1,토평동,,,
33.257381,126.585891,utility_pole,,2020-06-16,,,935,토평동,,,
33.258099,126.579381,utility_pole,,2020-06-16,,,965-7,토평동,,,
33.267202,126.585174,utility_pole,,2020-06-16,,,2269-3,토평동,,,
33.2554878,126.39899,utility_pole,,2020-06-16,,,575,상예동,,,
33.26096745,126.4113833,utility_pole,,2020-06-16,,,1937-1,색달동,,,
33.264183,126.389864,utility_pole,,2020-06-16,,,1716-5,상예동,,,
33.252713,126.448287,utility_pole,,2020-06-16,,,533-2,대포동,,,
33.2631727,126.4449948,utility_pole,,2020-06-16,,,355-1,회수동,,,
33.254191,126.459306,utility_pole,,2020-06-16,,,405-6,하원동,,,
33.255536,126.435036,utility_pole,,2020-06-16,,,1841-7,중문동,,,
33.247994,126.55286,utility_pole,,2020-06-16,,,533-5,서홍동,,,
33.251959,126.553797,utility_pole,,2020-06-16,,,1194-11,서홍동,,,
33.2636994,126.6116875,utility_pole,,2020-06-16,,,839-8,신효동,,,
33.2629113,126.6203587,utility_pole,,2020-06-16,,,283-1,하효동,,,
33.27675322,126.7091772,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 1430,2020-06-16,,,1430,남원읍,,,
33.2838652,126.7201334,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 238-2,2020-06-16,,,238-2,남원읍,,,
33.2838652,126.7201334,utility_pole,제주특별자치도 서귀포시 남원읍 남원리 238-2,2020-06-16,,,238-2,남원읍,,,
33.27187968,126.6474156,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 4154,2020-06-16,,,4154,남원읍,,,
33.27459773,126.6585936,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 2901-1,2020-06-16,,,2901-1,남원읍,,,
33.275052,126.688446,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 168-1,2020-06-16,,,168-1,남원읍,,,
33.27862811,126.668621,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 1528-1,2020-06-16,,,1528-1,남원읍,,,
33.27819102,126.6629936,utility_pole,제주특별자치도 서귀포시 남원읍 위미리 2044,2020-06-16,,,2044,남원읍,,,
33.32074678,126.7459408,utility_pole,제주특별자치도 서귀포시 남원읍 신흥리 1758-10,2020-06-16,,,1758-10,남원읍,,,
33.30113811,126.7680431,utility_pole,제주특별자치도 서귀포시 남원읍 신흥리 161-4,2020-06-16,,,161-4,남원읍,,,
33.28462569,126.6326702,utility_pole,제주특별자치도 서귀포시 남원읍 신례리 822-1,2020-06-16,,,822-1,남원읍,,,
33.26626609,126.640479,utility_pole,제주특별자치도 서귀포시 남원읍 신례리 94-1,2020-06-16,,,94-1,남원읍,,,
33.30971896,126.714772,utility_pole,제주특별자치도 서귀포시 남원읍 의귀리 1486-3,2020-06-16,,,1486-3,남원읍,,,
33.32945609,126.7126541,utility_pole,제주특별자치도 서귀포시 남원읍 수망리 309-5,2020-06-16,,,309-5,남원읍,,,
33.272485,126.199269,utility_pole,제주특별자치도 서귀포시 대정읍 무릉리 3312-2,2020-06-16,,,3312-2,대정읍,,,
33.22527,126.247235,utility_pole,제주특별자치도 서귀포시 대정읍 동일리 2998-3,2020-06-16,,,2998-3,대정읍,,,
33.2262573,126.2486333,utility_pole,제주특별자치도 서귀포시 대정읍 하모리 1445-3,2020-06-16,,,1445-3,대정읍,,,
33.2288452,126.2585646,utility_pole,제주특별자치도 서귀포시 대정읍 상모리 3325-2,2020-06-16,,,3325-2,대정읍,,,
33.2288452,126.2585646,utility_pole,제주특별자치도 서귀포시 대정읍 상모리 3325-2,2020-06-16,,,3325-2,대정읍,,,
33.23226345,126.2631411,utility_pole,제주특별자치도 서귀포시 대정읍 상모리 3412-1,2020-06-16,,,3412-1,대정읍,,,
33.22517192,126.2562663,utility_pole,제주특별자치도 서귀포시 대정읍 상모리 3862-1,2020-06-16,,,3862-1,대정읍,,,
33.21980814,126.2518923,utility_pole,제주특별자치도 서귀포시 대정읍 하모리 772-15,2020-06-16,,,772-15,대정읍,,,
33.2471644,126.2747253,utility_pole,제주특별자치도 서귀포시 대정읍 인성리 371-4,2020-06-16,,,371-4,대정읍,,,
33.301253,126.282839,utility_pole,제주특별자치도 서귀포시 대정읍 구억리 1104,2020-06-16,,,1104,대정읍,,,
33.2211137,126.2577458,utility_pole,제주특별자치도 서귀포시 대정읍 상모리 4084,2020-06-16,,,4084,대정읍,,,
33.44820627,126.9139451,utility_pole,제주특별자치도 서귀포시 성산읍 고성리 1128-1,2020-06-16,,,1128-1,성산읍,,,
33.46406154,126.9337571,utility_pole,제주특별자치도 서귀포시 성산읍 성산리 229-3,2020-06-16,,,229-3,성산읍,,,
33.4602884,126.9096477,utility_pole,제주특별자치도 서귀포시 성산읍 오조리 933,2020-06-16,,,933,성산읍,,,
33.407658,126.897636,utility_pole,제주특별자치도 서귀포시 성산읍 온평리 1562,2020-06-16,,,1562,성산읍,,,
33.38017739,126.8755427,utility_pole,제주특별자치도 서귀포시 성산읍 신산리 1046-2,2020-06-16,,,1046-2,성산읍,,,
33.4423255,126.8811424,utility_pole,제주특별자치도 서귀포시 성산읍 수산리 796-3,2020-06-16,,,796-3,성산읍,,,
33.47405966,126.8981305,utility_pole,제주특별자치도 서귀포시 성산읍 시흥리 661,2020-06-16,,,661,성산읍,,,
33.4010375,126.872228,utility_pole,제주특별자치도 서귀포시 성산읍 난산리 324-1,2020-06-16,,,324-1,성산읍,,,
33.43466417,126.9090634,utility_pole,제주특별자치도 서귀포시 성산읍 고성리 1749-1,2020-06-16,,,1749-1,성산읍,,,
33.43850703,126.9170346,utility_pole,제주특별자치도 서귀포시 성산읍 고성리 523,2020-06-16,,,523,성산읍,,,
33.36940861,126.8687196,utility_pole,제주특별자치도 서귀포시 성산읍 삼달리 29-2,2020-06-16,,,29-2,성산읍,,,
33.3466143,126.8498642,utility_pole,제주특별자치도 서귀포시 성산읍 신천리 518-2,2020-06-16,,,518-2,성산읍,,,
33.2883431,126.3215406,utility_pole,제주특별자치도 서귀포시 안덕면 서광리 789-2,2020-06-16,,,789-2,안덕면,,,
33.2501656,126.3012037,utility_pole,제주특별자치도 서귀포시 안덕면 사계리 757-1,2020-06-16,,,757-1,안덕면,,,
33.2506418,126.3175514,utility_pole,제주특별자치도 서귀포시 안덕면 덕수리 613,2020-06-16,,,613,안덕면,,,
33.24883,126.3377175,utility_pole,제주특별자치도 서귀포시 안덕면 화순리 231-1,2020-06-16,,,231-1,안덕면,,,
33.2537833,126.3371817,utility_pole,제주특별자치도 서귀포시 안덕면 화순리 1411-1,2020-06-16,,,1411-1,안덕면,,,
33.2575978,126.350255,utility_pole,제주특별자치도 서귀포시 안덕면 감산리 408-5,2020-06-16,,,408-5,안덕면,,,
33.26447846,126.3705422,utility_pole,제주특별자치도 서귀포시 안덕면 창천리 160-4,2020-06-16,,,160-4,안덕면,,,
33.2811892,126.3543438,utility_pole,제주특별자치도 서귀포시 안덕면 상창리 1873-7,2020-06-16,,,1873-7,안덕면,,,
33.280859,126.3551496,utility_pole,제주특별자치도 서귀포시 안덕면 상창리 1219-12,2020-06-16,,,1219-12,안덕면,,,
33.305107,126.287787,utility_pole,제주특별자치도 서귀포시 안덕면 서광리 산50-26,2020-06-16,,,,안덕면,,,
33.304237,126.289053,utility_pole,제주특별자치도 서귀포시 안덕면 서광리 산50-24,2020-06-16,,,,안덕면,,,
33.317873,126.829456,utility_pole,제주특별자치도 서귀포시 표선면 표선리 1068-7,2020-06-16,,,1068-7,표선면,,,
33.329688,126.822851,utility_pole,제주특별자치도 서귀포시 표선면 표선리 2052-2,2020-06-16,,,2052-2,표선면,,,
