버스정류장 명칭,도로명주소,지번주소,위도,경도,기준일 
비두냄이,강원도 원주시 문막읍 귀문로 998,강원도 원주시 문막읍 비두리 2176,37.254668,127.834949,2020-11-25
비두초등학교,강원도 원주시 문막읍 비두먹골길 13,강원도 원주시 문막읍 비두리 803-3,37.258143,127.834397,2020-11-25
삼양유가공,강원도 원주시 문막읍 왕건로 39,강원도 원주시 문막읍 건등리 1622,37.32305,127.829454,2020-11-25
삼양유가공,강원도 원주시 문막읍 왕건로 42,강원도 원주시 문막읍 동화리 1541,37.323261,127.829486,2020-11-25
서들,강원도 원주시 문막읍 귀문로 1158,강원도 원주시 문막읍 궁촌리 519-3,37.268393,127.831214,2020-11-25
서들,강원도 원주시 문막읍 귀문로 1158,강원도 원주시 문막읍 궁촌리 1672-9,37.268141,127.831292,2020-11-25
석지마을입구,강원도 원주시 문막읍 석지1길 160,강원도 원주시 문막읍 건등리 1647,37.318988,127.808561,2020-11-25
세종통신,강원도 원주시 문막읍 보통로 115,강원도 원주시 문막읍 동화리 91-3,37.335648,127.853892,2020-11-25
세종통신,강원도 원주시 문막읍 보통로 101,강원도 원주시 문막읍 동화리 1471-1,37.335571,127.854124,2020-11-25
에스엔폴,강원도 원주시 문막읍 문막공단길 216,강원도 원주시 문막읍 반계리 5-15,37.296771,127.806606,2020-11-25
문막양궁장입구,강원도 원주시 문막읍 원문로 1210,강원도 원주시 문막읍 동화리 118-2,37.334369,127.859189,2020-11-25
원주의료고등학교,강원도 원주시 문막읍 원문로 1764,강원도 원주시 문막읍 문막리 1060,37.31242,127.822555,2020-11-25
원주의료고등학교,강원도 원주시 문막읍 원문로 1765,강원도 원주시 문막읍 문막리 745-6,37.312085,127.822406,2020-11-25
원평마을입구,강원도 원주시 문막읍 석지1길 96,강원도 원주시 문막읍 건등리 1541,37.317238,127.812436,2020-11-25
AK플라자,강원도 원주시 봉화로 1,강원도 원주시 단계동 1123,37.345417,127.927087,2020-11-25
e편한세상아파트,강원도 원주시 봉화로 76,강원도 원주시 단계동 945,37.3509,127.928627,2020-11-25
SK텔레콤원주지점,강원도 원주시 서원대로 149,강원도 원주시 단계동 875,37.344972,127.928344,2020-11-25
농산물도매시장,강원도 원주시 원문로 252,강원도 원주시 단계동 592,37.355962,127.923136,2020-11-25
농산물도매시장,강원도 원주시 서원대로 48,강원도 원주시 단계동 613-3,37.352706,127.92273,2020-11-25
농산물도매시장후문,강원도 원주시 서원대로 41,강원도 원주시 단계동 610,37.352966,127.923087,2020-11-25
우산덕원아파트,강원도 원주시 원문로100번길 90,강원도 원주시 우산동 155-1,37.362311,127.936153,2020-11-25
단계동 주민센터,강원도 원주시 북원로 2352,강원도 원주시 학성동 1065-11,37.354991,127.935684,2020-11-25
단계삼익아파트,강원도 원주시 봉화로 60,강원도 원주시 단계동 945,37.349801,127.929033,2020-11-25
단계새마을금고,강원도 원주시 원문로 122,강원도 원주시 단계동 133-1,37.356487,127.93434,2020-11-25
단계새마을금고,강원도 원주시 원문로 113,강원도 원주시 단계동 144-2,37.356686,127.935064,2020-11-25
단계아파트,강원도 원주시 이화4길 89,강원도 원주시 단계동 805,37.342695,127.935029,2020-11-25
단계아파트,강원도 원주시 이화4길 83,강원도 원주시 단계동 947,37.342754,127.934463,2020-11-25
작백,강원도 원주시 문막읍 원문로 2170,강원도 원주시 문막읍 반계리 1666,37.297793,127.795286,2020-11-25
지샘물,강원도 원주시 문막읍 지샘등안길 46-7,강원도 원주시 문막읍 건등리 1647,37.322176,127.811674,2020-11-25
충효공원,강원도 원주시 문막읍 서들길 2,강원도 원주시 문막읍 궁촌리 2022,37.26623,127.832352,2020-11-25
충효공원,강원도 원주시 문막읍 서들길 2,강원도 원주시 문막읍 궁촌리 458-2,37.266068,127.832314,2020-11-25
취병1리,강원도 원주시 문막읍 취병로 89,강원도 원주시 문막읍 취병리 408-2,37.309361,127.800787,2020-11-25
취병2리,강원도 원주시 문막읍 취병로 101,강원도 원주시 문막읍 취병리 358-1,37.310715,127.799809,2020-11-25
취병2리,강원도 원주시 문막읍 벌새터길 37-26,강원도 원주시 문막읍 취병리 331-4,37.312417,127.800704,2020-11-25
취병리,강원도 원주시 문막읍 원문로 2000,강원도 원주시 문막읍 취병리 33-18,37.304207,127.80609,2020-11-25
큰앤이,강원도 원주시 문막읍 큰애니길 82,강원도 원주시 문막읍 동화리 1108-2,37.330188,127.834309,2020-11-25
퇴골,강원도 원주시 문막읍 원양1로 240,강원도 원주시 문막읍 반계리 1541,37.302695,127.769021,2020-11-25
남산교,강원도 원주시 문막읍 왕건로 151,강원도 원주시 문막읍 동화리 1088-8,37.331981,127.832174,2020-11-25
포진,강원도 원주시 문막읍 귀문로 1326-1,강원도 원주시 문막읍 궁촌리 1445-23,37.281,127.821916,2020-11-25
포진2리,강원도 원주시 문막읍 귀문로 1408,강원도 원주시 문막읍 포진리 1073-8,37.284648,127.813763,2020-11-25
현대차원주출고센터,강원도 원주시 문막읍 작백동길 71,강원도 원주시 문막읍 반계리 83-4,37.299715,127.798626,2020-11-25
현대차원주출고센터,강원도 원주시 문막읍 원문로 2129,강원도 원주시 문막읍 반계리 1228-14,37.299306,127.797981,2020-11-25
현진종합개발,강원도 원주시 문막읍 큰애니길 18,강원도 원주시 문막읍 동화리 1469-9,37.324776,127.834602,2020-11-25
형제주유소,강원도 원주시 문막읍 원문로 1648,강원도 원주시 문막읍 건등리 1305-3,37.318098,127.829949,2020-11-25
형제주유소앞,강원도 원주시 문막읍 원문로 1643,강원도 원주시 문막읍 건등리 209-2,37.318061,127.830274,2020-11-25
후용1리,강원도 원주시 문막읍 비야동길 7,강원도 원주시 문막읍 후용리 1311-1,37.274726,127.800611,2020-11-25
후용2리,강원도 원주시 문막읍 견훤로 914-1,강원도 원주시 문막읍 후용리 606-8,37.271101,127.798897,2020-11-25
후용용수,강원도 원주시 문막읍 용수터길 1-6,강원도 원주시 문막읍 후용리 509,37.268138,127.79793,2020-11-25
문막2리,강원도 원주시 문막읍 문막시장1길 3,강원도 원주시 문막읍 문막리 485-10,37.308724,127.81775,2020-11-25
mbc송신탑,강원도 원주시 소초면 치악로 2403,강원도 원주시 소초면 흥양리 1493-1,37.388741,127.979847,2020-11-25
36사단정문,강원도 원주시 소초면 흥양로 189,강원도 원주시 소초면 흥양리 산 254-2,37.383724,127.967909,2020-11-25
고촌,강원도 원주시 소초면 섬배로 109-4,강원도 원주시 소초면 장양리 36-3,37.420069,127.97496,2020-11-25
고촌,강원도 원주시 소초면 섬배로 109-4,강원도 원주시 소초면 장양리 60-4,37.420195,127.974937,2020-11-25
골말,강원도 원주시 소초면 치악로 2828,강원도 원주시 소초면 평장리 846-3,37.420498,128.003257,2020-11-25
골말,강원도 원주시 소초면 치악로 2854,강원도 원주시 소초면 평장리 966-1,37.422975,128.004351,2020-11-25
구룡사,강원도 원주시 소초면 구룡사로 425,강원도 원주시 소초면 학곡리 989-3,37.405395,128.04639,2020-11-25
구룡사,강원도 원주시 소초면 구룡사로 327,강원도 원주시 소초면 학곡리 산 35-6,37.412148,128.049464,2020-11-25
구룡사제1주차장,강원도 원주시 소초면 무쇠점1길 2,강원도 원주시 소초면 학곡리 866-5,37.419033,128.051689,2020-11-25
국립공원사무소,강원도 원주시 소초면 무쇠점2길 26,강원도 원주시 소초면 학곡리 1061-10,37.414158,128.051189,2020-11-25
넉마루,강원도 원주시 소초면 황골로 67,강원도 원주시 소초면 흥양리 1311-6,37.385543,127.986472,2020-11-25
넉마루,강원도 원주시 소초면 황골로 74,강원도 원주시 소초면 흥양리 1311-5,37.385473,127.986519,2020-11-25
넉마루입구,강원도 원주시 소초면 황골로 36,강원도 원주시 소초면 흥양리 1772,37.386266,127.982812,2020-11-25
다리목,강원도 원주시 소초면 치악로 2985,강원도 원주시 소초면 교항리 1000-3,37.432308,128.011295,2020-11-25
다리목,강원도 원주시 소초면 치악로 2985,강원도 원주시 소초면 교항리 1009-3,37.432133,128.011304,2020-11-25
대동,강원도 원주시 소초면 치악로 3043,강원도 원주시 소초면 교항리 479-5,37.432888,128.018452,2020-11-25
독점,강원도 원주시 소초면 치악로 3172,강원도 원주시 소초면 교항리 1107,37.439171,128.029282,2020-11-25
독점,강원도 원주시 소초면 치악로 3165,강원도 원주시 소초면 교항리 301-1,37.439215,128.028159,2020-11-25
독점,강원도 원주시 소초면 치악로 3207,강원도 원주시 소초면 교항리 173-1,37.439491,128.033227,2020-11-25
돌모루,강원도 원주시 소초면 치악로 2370,강원도 원주시 소초면 흥양리 1529-8,37.386195,127.977641,2020-11-25
둔둔2리,강원도 원주시 소초면 둔둔로 227,강원도 원주시 소초면 둔둔리 산 85-1,37.440831,127.989524,2020-11-25
둔둔리,강원도 원주시 소초면 버덩마을길 5,강원도 원주시 소초면 둔둔리 985-5,37.446074,127.978262,2020-11-25
둔둔리,강원도 원주시 소초면 버덩마을길 5,강원도 원주시 소초면 둔둔리 985-4,37.446472,127.977691,2020-11-25
고리골,강원도 원주시 소초면 둔둔로 366-7,강원도 원주시 소초면 둔둔리 585-1,37.452888,127.988397,2020-11-25
둔둔리 마을회관,강원도 원주시 소초면 둔둔로 256,강원도 원주시 소초면 둔둔리 산 91-2,37.443615,127.989756,2020-11-25
양지마을,강원도 원주시 소초면 둔둔로 302,강원도 원주시 소초면 둔둔리 31-1,37.447818,127.990049,2020-11-25
밤나무정(중장비시험장),강원도 원주시 소초면 치악로 3121-6,강원도 원주시 소초면 교항리 462-2,37.437726,128.023982,2020-11-25
백교,강원도 원주시 소초면 백교길 1,강원도 원주시 소초면 학곡리 181-5,37.429546,128.059044,2020-11-25
백배미,강원도 원주시 소초면 치악로 3305,강원도 원주시 소초면 교항리 25-2,37.440565,128.043762,2020-11-25
본동,강원도 원주시 소초면 치악로 2791,강원도 원주시 소초면 평장리 751-9,37.417718,128.001245,2020-11-25
본동앞,강원도 원주시 소초면 치악로 2796,강원도 원주시 소초면 평장리 750-5,37.418059,128.001746,2020-11-25
부안동,강원도 원주시 소초면 북원로 3058,강원도 원주시 소초면 장양리 189-4,37.414522,127.961972,2020-11-25
부채고개,강원도 원주시 소초면 치악로 2752,강원도 원주시 소초면 평장리 735-46,37.414741,127.999311,2020-11-25
상초구,강원도 원주시 소초면 상초구길 26,강원도 원주시 소초면 흥양리 785,37.379235,128.005486,2020-11-25
상촌,강원도 원주시 소초면 장수2로 133,강원도 원주시 소초면 장양리 352,37.401109,127.967392,2020-11-25
새섬배,강원도 원주시 소초면 섬배로 178,강원도 원주시 소초면 평장리 1308-4,37.419788,127.982087,2020-11-25
선배고개,강원도 원주시 소초면 섬배로 4,강원도 원주시 소초면 장양리 1004-4,37.42353,127.964174,2020-11-25
선배고개,강원도 원주시 소초면 북원로 3163,강원도 원주시 소초면 장양리 1007-2,37.423591,127.963895,2020-11-25
소초농협앞,강원도 원주시 소초면 북원로 3051,강원도 원주시 소초면 장양리 1815,37.413662,127.961453,2020-11-25
송문안,강원도 원주시 소초면 치악로 2318,강원도 원주시 소초면 흥양리 1660,37.382173,127.974401,2020-11-25
수암4리,강원도 원주시 소초면 치악로 2723,강원도 원주시 소초면 평장리 683-1,37.412535,127.997252,2020-11-25
