명칭,위도,경도,기준일
고시원입구,37.717942,128.886646,2021-10-05
고용센터,37.757496,128.888944,2021-10-05
고용센터,37.757189,128.888947,2021-10-05
곰두리연수원,37.667947,129.047899,2021-10-05
곰두리연수원,37.667985,129.0478,2021-10-05
공군부대앞,37.746339,128.940003,2021-10-05
공군부대입구,37.740068,128.930016,2021-10-05
공군부대입구,37.739876,128.930062,2021-10-05
공단,37.765385,128.922108,2021-10-05
공단,37.765369,128.922249,2021-10-05
공제마을,37.746124,128.871549,2021-10-05
공제마을,37.7464,128.87155,2021-10-05
관솔길,37.739276,128.86989,2021-10-05
관솔길,37.739238,128.869784,2021-10-05
관음1리,37.728391,128.829941,2021-10-05
관음1리,37.738752,128.818115,2021-10-05
관음1리노인회관,37.730349,128.826627,2021-10-05
교2동주민센터,37.768441,128.892107,2021-10-05
교동주유소,37.756083,128.884,2021-10-05
교동주유소,37.755676,128.883883,2021-10-05
교동철교,37.758718,128.894697,2021-10-05
교동한신A,37.767639,128.900518,2021-10-05
교동한신A,37.767525,128.900595,2021-10-05
교보생명,37.756022,128.898055,2021-10-05
교통안전교육장,37.763256,128.941854,2021-10-05
교통안전교육장,37.763352,128.941905,2021-10-05
교항2리금용교,37.877963,128.8105,2021-10-05
교향2리금용교,37.877906,128.810557,2021-10-05
구)동해상사,37.766944,128.911796,2021-10-05
구라미,37.840944,128.84194,2021-10-05
구라미,37.84077,128.842237,2021-10-05
구라미휴게소,37.845346,128.840792,2021-10-05
구라미휴게소,37.844376,128.84038,2021-10-05
구라미휴게소,37.845353,128.841139,2021-10-05
구라미휴게소,37.845885,128.841476,2021-10-05
구름다리,37.764541,128.876644,2021-10-05
구름다리,37.764741,128.877394,2021-10-05
구옥계버스정류장,37.613448,129.038113,2021-10-05
구정마을회관,37.710125,128.871378,2021-10-05
구정마을회관,37.710079,128.871442,2021-10-05
구정면사무소,37.718058,128.879976,2021-10-05
구정면사무소,37.717976,128.880017,2021-10-05
구정보건지소,37.720555,128.882802,2021-10-05
구정보건지소,37.720505,128.882735,2021-10-05
구정초교입구,37.716368,128.890014,2021-10-05
구정파출소,37.720386,128.882369,2021-10-05
구정파출소,37.720345,128.882459,2021-10-05
구터미널,37.761668,128.898827,2021-10-05
구터미널,37.761812,128.899389,2021-10-05
국립수산물품질관리원,37.891505,128.826019,2021-10-05
굴산사입구,37.708397,128.889041,2021-10-05
굴산사입구,37.708367,128.88895,2021-10-05
굴산사지,37.706998,128.89331,2021-10-05
궁궁소,37.843823,128.671805,2021-10-05
금강사입구,37.726286,128.902886,2021-10-05
금강사입구,37.726251,128.902968,2021-10-05
금광교회입구,37.711734,128.917333,2021-10-05
금광교회입구,37.711735,128.917432,2021-10-05
금광리1반,37.702248,128.914284,2021-10-05
금광리1반,37.702251,128.914409,2021-10-05
금광리성황당,37.717931,128.917454,2021-10-05
금광리성황당,37.717949,128.917332,2021-10-05
금광삼거리,37.70916,128.915221,2021-10-05
금광정미소,37.708269,128.915297,2021-10-05
금광정미소,37.708265,128.91541,2021-10-05
금산,37.740209,128.855825,2021-10-05
금산,37.740287,128.85575,2021-10-05
금산1리경로당,37.730231,128.838804,2021-10-05
금산2리,37.736667,128.849071,2021-10-05
금산2리,37.736686,128.848923,2021-10-05
금산남밭,37.731518,128.844731,2021-10-05
금산입구,37.743329,128.857838,2021-10-05
금산입구,37.743224,128.857655,2021-10-05
금산장수마을,37.738216,128.851677,2021-10-05
금산장수마을,37.738316,128.851613,2021-10-05
금진,37.652225,129.049119,2021-10-05
금진,37.641811,129.043275,2021-10-05
금진,37.641799,129.043381,2021-10-05
금진2리,37.639064,129.043664,2021-10-05
금진2리,37.636166,129.044704,2021-10-05
금진2리,37.639083,129.043771,2021-10-05
금진2리,37.635189,129.045134,2021-10-05
금진초등학교,37.633492,129.04343,2021-10-05
금진초등학교,37.633424,129.043481,2021-10-05
금진항,37.652912,129.052394,2021-10-05
금진항,37.652996,129.052292,2021-10-05
금호어울림,37.755059,128.915608,2021-10-05
금호어울림,37.755052,128.915824,2021-10-05
금호어울림정문,37.754578,128.919496,2021-10-05
금호어울림정문,37.754715,128.91953,2021-10-05
기도원삼거리,37.758244,128.794828,2021-10-05
기도원삼거리,37.758241,128.794964,2021-10-05
기산A,37.734227,128.879584,2021-10-05
기산A,37.734266,128.879907,2021-10-05
까치골,37.695505,129.0259,2021-10-05
까치골,37.695581,129.025422,2021-10-05
낙풍리,37.625379,129.033682,2021-10-05
낙풍리,37.62555,129.03408,2021-10-05
낙풍리,37.622054,129.036772,2021-10-05
낙풍리,37.620316,129.03396,2021-10-05
낙풍리,37.620196,129.033951,2021-10-05
낙풍리,37.619341,129.018685,2021-10-05
낙풍리,37.619224,129.018703,2021-10-05
낙풍리입구,37.623372,129.034742,2021-10-05
낙풍리입구,37.62339,129.034837,2021-10-05
남강릉IC입구,37.699837,128.900607,2021-10-05
남강릉IC입구,37.700128,128.90044,2021-10-05
남강초교,37.767397,128.913357,2021-10-05
남대천.강릉교,37.754402,128.901237,2021-10-05
남대천.강릉교,37.754203,128.901113,2021-10-05
남밭,37.729061,128.841572,2021-10-05
남밭,37.728886,128.84058,2021-10-05
남밭,37.728937,128.840787,2021-10-05
남산삼익아파트,37.742342,128.890167,2021-10-05
남산삼익아파트,37.742388,128.890067,2021-10-05
남산입구,37.747697,128.891841,2021-10-05
남산초교,37.744283,128.891227,2021-10-05
남산초교,37.744239,128.891332,2021-10-05
남산현대아파트,37.741876,128.894545,2021-10-05
남산현대아파트,37.742054,128.894406,2021-10-05
남양1리,37.582738,129.035035,2021-10-05
남양1리회관,37.582424,129.031625,2021-10-05
남양1리회관,37.582527,129.031559,2021-10-05
남양2리,37.566434,129.012966,2021-10-05
남양2리,37.571902,129.014877,2021-10-05
남양2리,37.571914,129.014742,2021-10-05
남양3리,37.584771,129.045144,2021-10-05
남양3리,37.591491,129.035429,2021-10-05
남양3리,37.5828,129.045398,2021-10-05
남양보건진료소,37.579224,129.026069,2021-10-05
남양보건진료소,37.579311,129.025985,2021-10-05
남항진,37.764095,128.950671,2021-10-05
남항진,37.763955,128.950604,2021-10-05
남항진해변,37.764142,128.954041,2021-10-05
내곡과수원,37.701893,128.901949,2021-10-05
내곡과수원,37.702054,128.901678,2021-10-05
내곡교,37.746417,128.887044,2021-10-05
내곡교,37.745782,128.888099,2021-10-05
내곡교,37.746587,128.887174,2021-10-05
내곡동주민센터,37.7394,128.881219,2021-10-05
내곡동주민센터,37.738449,128.880359,2021-10-05
내곡동주민센터,37.738501,128.880669,2021-10-05
내곡한라A,37.74504,128.881102,2021-10-05
내곡한라A,37.745178,128.881102,2021-10-05
내곡현대A,37.74548,128.883286,2021-10-05
내곡현대A,37.745603,128.883199,2021-10-05
노동3리,37.799271,128.825665,2021-10-05
노동3리,37.79933,128.825609,2021-10-05
노동리,37.800734,128.828725,2021-10-05
노동리,37.801,128.828812,2021-10-05
노동하리.우리정미소,37.822242,128.841404,2021-10-05
노동하리.우리정미소,37.822337,128.841374,2021-10-05
노동회관,37.818187,128.83797,2021-10-05
노암,37.744037,128.903,2021-10-05
노암2주공,37.744262,128.904751,2021-10-05
노암대림아파트,37.744466,128.896471,2021-10-05
노암대림아파트,37.744415,128.896688,2021-10-05
노암현대아파트,37.750447,128.906456,2021-10-05
녹원A,37.759984,128.916356,2021-10-05
농산물창고,37.693185,128.896767,2021-10-05
농산물창고,37.693216,128.896706,2021-10-05
농업기술센터,37.810751,128.83385,2021-10-05
농업기술센터,37.81067,128.833724,2021-10-05
농협주유소,37.61349,129.038186,2021-10-05
농협창고,37.73233,128.878899,2021-10-05
농협창고,37.732395,128.879057,2021-10-05
다리목,37.620466,129.031938,2021-10-05
다리목,37.620558,129.031925,2021-10-05
단오문화관,37.748091,128.896789,2021-10-05
단오문화관,37.748144,128.896996,2021-10-05
닭목골,37.647809,128.78584,2021-10-05
닭목골,37.647875,128.785969,2021-10-05
담산1리,37.717566,128.902462,2021-10-05
담산2리,37.71525,128.901162,2021-10-05
대경상사앞,37.710983,128.897951,2021-10-05
대관령박물관,37.717049,128.80509,2021-10-05
대관령박물관,37.716941,128.804986,2021-10-05
대관령정상,37.684724,128.757731,2021-10-05
대궁산장,37.75672,128.795543,2021-10-05
대궁산장,37.756724,128.795655,2021-10-05
대기1리경로당,37.565671,128.795657,2021-10-05
대기1리경로당,37.565636,128.79577,2021-10-05
대림A삼거리,37.742725,128.896746,2021-10-05
대목A,37.755325,128.910325,2021-10-05
대성사입구,37.7005,128.888089,2021-10-05
대성사입구,37.700517,128.887975,2021-10-05
더샵 후문,37.747974,128.909298,2021-10-05
더샵아파트,37.749689,128.911799,2021-10-05
더샵아파트,37.749895,128.912198,2021-10-05
덕실리,37.806698,128.834182,2021-10-05
덕우동,37.628564,128.969039,2021-10-05
덕우동,37.625909,128.973047,2021-10-05
덕우동,37.626025,128.973021,2021-10-05
덕중상사입구,37.702502,128.841841,2021-10-05
덕중상사입구,37.70242,128.841765,2021-10-05
덕현리,37.705252,128.926243,2021-10-05
덕현리마을회관,37.710279,128.929768,2021-10-05
덕현리마을회관,37.710355,128.929684,2021-10-05
덕현리입구,37.71393,128.933758,2021-10-05
덕현리입구,37.713971,128.93365,2021-10-05
도깨비촬영지,37.8798,128.833633,2021-10-05
도깨비촬영지,37.879656,128.833585,2021-10-05
도마1리경로당,37.675877,128.835706,2021-10-05
도마1리경로당,37.675913,128.835823,2021-10-05
도시보건지소,37.763588,128.901623,2021-10-05
도시보건지소,37.763858,128.901585,2021-10-05
도직리,37.608633,129.068161,2021-10-05
도직리입구,37.608683,129.068331,2021-10-05
도화목이,37.57583,128.798889,2021-10-05
도화목이,37.575858,128.799003,2021-10-05
동광주유소,37.714555,128.988959,2021-10-05
동광주유소,37.714501,128.988866,2021-10-05
동그린,37.716992,128.961125,2021-10-05
동그린,37.716961,128.961248,2021-10-05
동남아파트,37.764693,128.908797,2021-10-05
동명중학교,37.777234,128.916341,2021-10-05
동명중학교,37.776565,128.916083,2021-10-05
동부A,37.784016,128.91515,2021-10-05
동부시장,37.759469,128.900652,2021-10-05
동양석재,37.731028,128.950335,2021-10-05
동양석재,37.731238,128.950297,2021-10-05
동양시멘트입구,37.850532,128.804638,2021-10-05
동양시멘트입구,37.850634,128.804623,2021-10-05
동인병원입구,37.771288,128.909537,2021-10-05
동인병원입구,37.771044,128.909518,2021-10-05
동해식품,37.724589,128.898458,2021-10-05
둔지마을,37.667264,128.840337,2021-10-05
둔지마을,37.667253,128.840208,2021-10-05
들꽃마을,37.650827,128.854505,2021-10-05
들꽃마을,37.650869,128.854405,2021-10-05
등고비,37.716182,128.861751,2021-10-05
등고비,37.716215,128.861619,2021-10-05
등명락가사,37.711312,129.010246,2021-10-05
등명락가사,37.711473,129.009995,2021-10-05
등명해변,37.702029,129.016245,2021-10-05
등명해변,37.702383,129.01588,2021-10-05
똑갑재,37.74376,128.908343,2021-10-05
똑갑재,37.743153,128.908471,2021-10-05
로얄아파트,37.765476,128.909316,2021-10-05
롯데캐슬아파트,37.766914,128.89119,2021-10-05
맘모스마트,37.881524,128.825972,2021-10-05
명륜고교후문,37.761624,128.895612,2021-10-05
명륜고교후문,37.761572,128.895717,2021-10-05
모래내행복센터,37.826464,128.84899,2021-10-05
모래내행복센터,37.826778,128.848857,2021-10-05
모래시계공원,37.685979,129.037193,2021-10-05
모래시계공원,37.685699,129.038071,2021-10-05
모산초교,37.731485,128.900384,2021-10-05
모산초교,37.731469,128.900283,2021-10-05
모안이서낭당,37.783777,128.903337,2021-10-05
모안이서낭당,37.783861,128.903246,2021-10-05
모전1리,37.719852,128.961375,2021-10-05
모전1리,37.719857,128.961472,2021-10-05
모전리,37.712463,128.957722,2021-10-05
모전리,37.712363,128.957765,2021-10-05
모전리.돌평,37.709892,128.950731,2021-10-05
모전리.돌평,37.709836,128.95081,2021-10-05
모전삼거리,37.725692,128.964567,2021-10-05
모전삼거리,37.725744,128.965056,2021-10-05
목계리,37.6468,128.85396,2021-10-05
목계리경로당,37.637584,128.859264,2021-10-05
목계리경로당,37.638156,128.858673,2021-10-05
목계마을회관,37.632747,128.859088,2021-10-05
목계마을회관,37.63269,128.859003,2021-10-05
문성고등학교,37.776732,128.874711,2021-10-05
문성고등학교,37.776884,128.874588,2021-10-05
문암정,37.743707,128.915729,2021-10-05
문암정,37.744493,128.91486,2021-10-05
문화마을,37.72296,128.88033,2021-10-05
문화마을,37.722998,128.880448,2021-10-05
미노리,37.829733,128.864918,2021-10-05
미노마을입구,37.834206,128.863752,2021-10-05
미디어촌A,37.754475,128.865488,2021-10-05
미디어촌A,37.754334,128.865737,2021-10-05
미라보A,37.769157,128.902486,2021-10-05
미라보A,37.769071,128.902568,2021-10-05
박월동마을회관,37.730369,128.914102,2021-10-05
박월동마을회관,37.730431,128.914338,2021-10-05
반쟁이,37.76052,128.933708,2021-10-05
밤재휴게소,37.643647,129.015875,2021-10-05
밤재휴게소,37.643636,129.015986,2021-10-05
방동하리,37.831807,128.875119,2021-10-05
방동하리,37.83173,128.875044,2021-10-05
방축거리,37.773844,128.883697,2021-10-05
방축거리,37.773377,128.883602,2021-10-05
방터골입구,37.642417,128.854331,2021-10-05
방터골입구,37.642418,128.854232,2021-10-05
