위도,경도,name,addr:full,source:date,office
33.2483882555,126.5619181176,극동광고공사,제주특별자치도 서귀포시 중앙로 42 ,2020-09-21,advertising_agency
33.2595869716,126.5559264946,주식회사아트라인,제주특별자치도 서귀포시 홍중로 80 ,2020-09-21,advertising_agency
33.4481940602,126.9158633128,해동광고사,제주특별자치도 서귀포시 성산읍 동류암로39번길 7,2020-09-21,advertising_agency
33.2595869716,126.5559264946,한국광고,제주특별자치도 서귀포시 홍중로 80 ,2020-09-21,advertising_agency
33.4660585889,126.9085128108,동신광고기획,제주특별자치도 서귀포시 성산읍 일주동로 4057,2020-09-21,advertising_agency
33.2584373334,126.5070440522,삼호기획,제주특별자치도 서귀포시 신북로68번길 1 ,2020-09-21,advertising_agency
33.4638619,126.9309182,OK광고,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 6,2020-09-21,advertising_agency
33.2525585753,126.4270211989,그리미현수막,제주특별자치도 서귀포시 천제연로207번길 12 ,2020-09-21,advertising_agency
33.3360470414,126.8277620936,간판병원,제주특별자치도 서귀포시 표선면 번영로 3512-10,2020-09-21,advertising_agency
33.2800212216,126.716569689,화랑광고스포츠,제주특별자치도 서귀포시 남원읍 남원체육관로 292,2020-09-21,advertising_agency
33.2586399715,126.5594189176,제일스포츠 종합광고타운,제주특별자치도 서귀포시 중앙로 159-1 ,2020-09-21,advertising_agency
33.2532440321,126.5560837078,우주광고기획,제주특별자치도 서귀포시 솜반천로43번길 4 ,2020-09-21,advertising_agency
33.2283831832,126.2423984497,조은광고,제주특별자치도 서귀포시 대정읍 동일하모로 96 ,2020-09-21,advertising_agency
33.2268135871,126.2590786524,(주)한솔,제주특별자치도 서귀포시 대정읍 상모대서로 50,2020-09-21,advertising_agency
33.251647535,126.5089562325,미래현수막,제주특별자치도 서귀포시 김정문화로 39 ,2020-09-21,advertising_agency
33.2596287,126.557753,한라광고,제주특별자치도 서귀포시 중앙로 168-1,2020-09-21,advertising_agency
33.2732935861,126.5971355793,정방기획,제주특별자치도 서귀포시 중산간동로 7638 ,2020-09-21,advertising_agency
