위도,경도,name,addr:full,source:date,office,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.250001314,126.5669502107,에스디자인,,2020-09-21,advertising_agency,,동문동로,10,,,,
33.2617568554,126.4506410764,(주)윤산업,,2020-09-21,advertising_agency,,중산간서로,601,,,,
33.2636612384,126.4129132624,우리애드,,2020-09-21,advertising_agency,,색달중앙로,96-1,,,,
33.2617568554,126.4506410764,(주) 에스엠산업,,2020-09-21,advertising_agency,,중산간서로,601,,,,
33.2541918807,126.5631008284,주식회사 제이에스산업,,2020-09-21,advertising_agency,,일주동로8666번길,14,,,,
33.268739917,126.6444364563,디자인향,,2020-09-21,advertising_agency,,일주동로,7860,남원읍,,,
33.2554256872,126.5764227177,태화산업건설(주),,2020-09-21,advertising_agency,,동홍중앙로52번길,39,,,,
33.2496925424,126.5530208694,주식회사한성기전,,2020-09-21,advertising_agency,,서홍로,19,,,,
33.2586985658,126.5114613014,오디자인,,2020-09-21,advertising_agency,,신북로,28,,,,
33.259221489,126.5523912156,아인광고,,2020-09-21,advertising_agency,,서홍로,128,,,,
33.25852448,126.5865164004,유성광고,,2020-09-21,advertising_agency,,검은여로,196,,,,
33.3083593023,126.7991815594,서우하우징주식회사,,2020-09-21,advertising_agency,,세화로26번길,11,표선면,,,
33.3384478877,126.827304175,(주)씨앤피,,2020-09-21,advertising_agency,,번영로,3478-2,표선면,,,
33.2558597421,126.577167536,준커뮤니케이션,,2020-09-21,advertising_agency,,516로,9,,,,
33.2562976399,126.5811300944,신세계광고,,2020-09-21,advertising_agency,,일주동로,8486,,,,
33.2547236293,126.5672430625,파라다이스건설(주),,2020-09-21,advertising_agency,,일주동로,8620-4,,,,
33.4063533393,126.896503314,솜씨광고기획,,2020-09-21,advertising_agency,,일주동로,4754,성산읍,,,
33.3862185414,126.7948822239,지엔컴퍼니,,2020-09-21,advertising_agency,,중산간동로,4709,표선면,,,
33.2467904507,126.3368691526,안덕광고기획,,2020-09-21,advertising_agency,,화순로,89,안덕면,,,
33.2479648759,126.390231214,성공공사기획,,2020-09-21,advertising_agency,,상예로,15,,,,
33.247405491,126.5586574189,캐럿202 유한회사,,2020-09-21,advertising_agency,,중정로,22,,,,
33.246952332,126.3330997903,온누리광고기획,,2020-09-21,advertising_agency,,화순중앙로54번길,24,안덕면,,,
33.2494479318,126.5692200186,이룸광고,,2020-09-21,advertising_agency,,중동로,70,,,,
33.2521984959,126.5691824852,(주)대영산업,,2020-09-21,advertising_agency,,문부로,13,,,,
33.2542646299,126.5691184747,아카데미광고기획,,2020-09-21,advertising_agency,,문부로11번길,24-1,,,,
33.25456644,126.5071727814,RAN DESIGN,,2020-09-21,advertising_agency,,신서귀로97번길,45,,,,
33.2522790413,126.5745074883,리우 커뮤니케이션,,2020-09-21,advertising_agency,,태평로,539,,,,
33.2575658647,126.5226075176,디자인준그래픽,,2020-09-21,advertising_agency,,호근서호로,172,,,,
33.2602944734,126.6161007544,그린종합광고,,2020-09-21,advertising_agency,,일주동로,8155,,,,
33.2729188317,126.5974580204,룩스애드,,2020-09-21,advertising_agency,,중산간동로,7635,,,,
33.2557283429,126.4580195226,디자인 팩토리,,2020-09-21,advertising_agency,,법화로,21,,,,
33.2437873659,126.4637720571,미도광고,,2020-09-21,advertising_agency,,이어도로417번길,15,,,,
33.2635631257,126.5486076761,나우애드,,2020-09-21,advertising_agency,,중산간동로,8126,,,,
33.2144616575,126.2574016796,제이광고,,2020-09-21,advertising_agency,,최남단해안로125번길,35,대정읍,,,
33.3273275605,126.831957894,현대광고스포츠,,2020-09-21,advertising_agency,,표선중앙로,65,표선면,,,
33.246329006,126.5982318221,준광고기획,,2020-09-21,advertising_agency,,문필로,126,,,,
33.2657520874,126.5704160064,늘푸른광고기획,,2020-09-21,advertising_agency,,중산간동로,7918,,,,
33.465161,126.905313,굿디자인,제주특별자치도 서귀포시 성산읍 일주동로 4098번길 92-67,2020-09-21,advertising_agency,,일주동로,92-67,성산읍,,,
33.2479869373,126.2843872099,비타광고,,2020-09-21,advertising_agency,,인안성로,31,대정읍,,,
33.2561650537,126.567784338,대광광고마트,,2020-09-21,advertising_agency,,동홍로,85,,,,
33.2762034329,126.5594520113,주식회사 유원,,2020-09-21,advertising_agency,,지장샘로182번길,47,,,,
33.2668079935,126.5829179279,현디자인,,2020-09-21,advertising_agency,,중산간동로,7799,,,,
33.2467112832,126.570492011,와이제이광고기획,,2020-09-21,advertising_agency,,동부로12번길,15-3,,,,
33.2668600325,126.5620238298,제주아이,,2020-09-21,advertising_agency,,지장샘로,28-45,,,,
33.2542646299,126.5691184747,주식회사 공공디자인그룹아카데미,,2020-09-21,advertising_agency,,문부로11번길,24-1,,,,
33.2481389721,126.557415534,월드광고공사,,2020-09-21,advertising_agency,,중정로5번길,7,,,,
33.2483882555,126.5619181176,극동광고공사,,2020-09-21,advertising_agency,,중앙로,42,,,,
33.2595869716,126.5559264946,주식회사아트라인,,2020-09-21,advertising_agency,,홍중로,80,,,,
33.4481940602,126.9158633128,해동광고사,,2020-09-21,advertising_agency,,동류암로39번길,7,성산읍,,,
33.2595869716,126.5559264946,한국광고,,2020-09-21,advertising_agency,,홍중로,80,,,,
33.4660585889,126.9085128108,동신광고기획,,2020-09-21,advertising_agency,,일주동로,4057,성산읍,,,
33.2584373334,126.5070440522,삼호기획,,2020-09-21,advertising_agency,,신북로68번길,1,,,,
33.4638619,126.9309182,OK광고,,2020-09-21,advertising_agency,,성산중앙로37번길,6,성산읍,,,
33.2525585753,126.4270211989,그리미현수막,,2020-09-21,advertising_agency,,천제연로207번길,12,,,,
33.3360470414,126.8277620936,간판병원,,2020-09-21,advertising_agency,,번영로,3512-10,표선면,,,
33.2800212216,126.716569689,화랑광고스포츠,,2020-09-21,advertising_agency,,남원체육관로,292,남원읍,,,
33.2586399715,126.5594189176,제일스포츠 종합광고타운,,2020-09-21,advertising_agency,,중앙로,159-1,,,,
33.2532440321,126.5560837078,우주광고기획,,2020-09-21,advertising_agency,,솜반천로43번길,4,,,,
33.2283831832,126.2423984497,조은광고,,2020-09-21,advertising_agency,,동일하모로,96,대정읍,,,
33.2268135871,126.2590786524,(주)한솔,,2020-09-21,advertising_agency,,상모대서로,50,대정읍,,,
33.251647535,126.5089562325,미래현수막,,2020-09-21,advertising_agency,,김정문화로,39,,,,
33.2596287,126.557753,한라광고,,2020-09-21,advertising_agency,,중앙로,168-1,,,,
33.2732935861,126.5971355793,정방기획,,2020-09-21,advertising_agency,,중산간동로,7638,,,,
33.2550319435,126.5466808372,대우안전주식회사,,2020-09-21,advertising_agency,,일주동로,8826,,,,
33.250891807,126.5638662671,오색광고사,,2020-09-21,advertising_agency,,동문로,30-2,,,,
33.2430713449,126.4316999423,도시연출,,2020-09-21,advertising_agency,,대포중앙로,92,,,,
33.245163796,126.5531857747,(주)아인산업,,2020-09-21,advertising_agency,,남성중로,151,,,,
33.2537462701,126.5690627482,씨티간판,,2020-09-21,advertising_agency,,문부로11번길,18,,,,
33.222627929,126.254730377,송미사,,2020-09-21,advertising_agency,,신영로,122,대정읍,,,
33.256591148,126.2287454205,(주)대일씨엠,,2020-09-21,advertising_agency,,일주서로3000번길,132,대정읍,,,
33.2477161758,126.5661351246,더존기획,,2020-09-21,advertising_agency,,태평로431번길,24,,,,
33.2389688205,126.4798274074,성원기획,,2020-09-21,advertising_agency,,말질로,140,,,,
33.2467112832,126.570492011,미광,,2020-09-21,advertising_agency,,동부로12번길,15-3,,,,
