철도운영기관명,선명,역명,경도,위도
부산교통공사,2호선,장산(해운대백병원),129.17694,35.17
부산교통공사,2호선,중동,129.16617,35.16669
부산교통공사,2호선,해운대,129.1745,35.18183
부산교통공사,2호선,동백,129.14575,35.16147
부산교통공사,2호선,벡스코(시립미술관),129.13631,35.16919
부산교통공사,2호선,센텀시티(BEXCO·신세계),129.12947,35.16892
부산교통공사,2호선,민락,129.11978,35.16722
부산교통공사,2호선,수영,129.11242,35.16778
부산교통공사,2호선,광안,129.11097,35.15792
부산교통공사,2호선,금련산,129.10883,35.14989
부산교통공사,2호선,남천(KBS·수영구청),129.10797,35.14217
부산교통공사,2호선,경성대·부경대(동명대학교),129.10055,35.13757
부산교통공사,2호선,대연(고려병원),129.09218,35.13512
부산교통공사,2호선,못골(남구청),129.08442,35.13472
부산교통공사,2호선,지게골,129.07436,35.13558
부산교통공사,2호선,문현,129.06736,35.13911
부산교통공사,2호선,국제금융센터·부산은행,129.06672,35.14583
부산교통공사,2호선,전포,129.06533,35.15311
부산교통공사,2호선,서면,129.05917,35.15778
부산교통공사,2호선,부암(온종합병원),129.05019,35.15744
부산교통공사,2호선,가야,129.04283,35.15589
부산교통공사,2호선,동의대,129.0325,35.15411
부산교통공사,2호선,개금,129.02056,35.15325
부산교통공사,2호선,냉정,129.01228,35.15125
부산교통공사,2호선,주례,129.00306,35.1505
부산교통공사,2호선,감전(사상구청),128.99114,35.15553
부산교통공사,2호선,사상(서부터미널),128.98467,35.16218
부산교통공사,2호선,덕포,128.98394,35.17378
부산교통공사,2호선,모덕,128.98561,35.18036
부산교통공사,2호선,모라,128.98864,35.18967
부산교통공사,2호선,구남,128.99492,35.19681
부산교통공사,2호선,구명,128.99931,35.20253
부산교통공사,2호선,덕천(부산과기대),129.00533,35.21011
부산교통공사,2호선,수정(방송통신대),129.00922,35.22336
부산교통공사,2호선,화명,129.00767,35.2345
부산교통공사,2호선,율리,129.01292,35.24672
부산교통공사,2호선,동원,129.01242,35.25864
부산교통공사,2호선,금곡,129.01686,35.26733
부산교통공사,2호선,호포,129.01725,35.281
부산교통공사,2호선,증산,129.01028,35.30828
부산교통공사,2호선,부산대양산캠퍼스,129.01383,35.31697
부산교통공사,2호선,남양산(범어),129.01942,35.32533
부산교통공사,2호선,양산(시청·동원과학기술대학교),129.02673,35.33851
