철도운영기관명,선명,역명,경도,위도
코레일,경강,판교,127.111135,37.394781
코레일,경강,이매,127.128367,37.395731
코레일,경강,삼동,127.203279,37.408654
코레일,경강,경기광주,127.252651,37.399198
코레일,경강,초월,127.299907,37.373487
코레일,경강,곤지암,127.346193,37.350518
코레일,경강,신둔도예촌,127.405249,37.315493
코레일,경강,이천,127.442045,37.26419
코레일,경강,부발,127.490308,37.260411
코레일,경강,세종대왕릉,127.570796,37.293653
코레일,경강,여주,127.62857,37.28288
