철도운영기관명,선명,역명,경도,위도
부산교통공사,1호선,다대포해수욕장,128.965919,35.048429
부산교통공사,1호선,다대포항,128.971251,35.057288
부산교통공사,1호선,낫개,128.979932,35.065179
부산교통공사,1호선,신장림,128.976638,35.074222
부산교통공사,1호선,장림,128.977638,35.081555
부산교통공사,1호선,동매,128.974029,35.089819
부산교통공사,1호선,신평,128.96056,35.09556
부산교통공사,1호선,하단(부산본병원),128.96667,35.10611
부산교통공사,1호선,당리(사하구청),128.97417,35.10333
부산교통공사,1호선,사하,128.98333,35.09972
부산교통공사,1호선,괴정,128.9925,35.1
부산교통공사,1호선,대티(동주대학),128.99972,35.10306
부산교통공사,1호선,서대신,129.01194,35.11083
부산교통공사,1호선,동대신,129.01778,35.11056
부산교통공사,1호선,토성,129.01972,35.10083
부산교통공사,1호선,자갈치,129.02694,35.0975
부산교통공사,1호선,남포,129.03472,35.09778
부산교통공사,1호선,중앙,129.03639,35.10389
부산교통공사,1호선,부산,129.03972,35.11528
부산교통공사,1호선,초량,129.04296,35.12111
부산교통공사,1호선,부산진,129.04778,35.12778
부산교통공사,1호선,좌천,129.05417,35.13417
부산교통공사,1호선,범일,129.05944,35.14139
부산교통공사,1호선,범내골,129.05917,35.14722
부산교통공사,1호선,서면,129.05917,35.15778
부산교통공사,1호선,부전(부산시민공원·송상현광장),129.06278,35.1625
부산교통공사,1호선,양정,129.07119,35.17304
부산교통공사,1호선,시청(연제),129.07667,35.17972
부산교통공사,1호선,연산,129.08167,35.18611
부산교통공사,1호선,교대,129.08,35.19583
부산교통공사,1호선,동래,129.07861,35.20556
부산교통공사,1호선,명륜,129.07944,35.21222
부산교통공사,1호선,온천장,129.08667,35.22056
부산교통공사,1호선,부산대,129.08944,35.23
부산교통공사,1호선,장전(부산가톨릭대학교),129.08806,35.23806
부산교통공사,1호선,구서,129.09139,35.24722
부산교통공사,1호선,두실,129.09139,35.25694
부산교통공사,1호선,남산(부산외국대학교),129.0925,35.26528
부산교통공사,1호선,범어사,129.09278,35.27333
부산교통공사,1호선,노포(종합버스터미널),129.095,35.28361
