철도운영기관명,선명,역명,경도,위도
부산교통공사,3호선,수영,129.11458,35.16775
부산교통공사,3호선,망미(병무청),129.10822,35.17153
부산교통공사,3호선,배산,129.0955,35.1735
부산교통공사,3호선,물만골,129.08575,35.17681
부산교통공사,3호선,연산,129.08147,35.18614
부산교통공사,3호선,거제(법원·검찰청),129.07394,35.18858
부산교통공사,3호선,종합운동장,129.0675,35.19125
부산교통공사,3호선,사직,129.065,35.199
부산교통공사,3호선,미남,129.06806,35.2055
부산교통공사,3호선,만덕,129.0365,35.213
부산교통공사,3호선,남산정(부산폴리텍대학),129.02392,35.21333
부산교통공사,3호선,숙등(부민병원),129.01275,35.21197
부산교통공사,3호선,덕천(부산과기대),129.00525,35.21039
부산교통공사,3호선,구포,128.99711,35.20544
부산교통공사,3호선,강서구청,128.98175,35.21125
부산교통공사,3호선,체육공원,128.96894,35.21261
부산교통공사,3호선,대저,128.95994,35.21353
