    위도,    경도,amenity,sport,office,name,addr:full,source:date
36.079596,128.411335,pitch,billiards ,,토토당구장,"경상북도 칠곡군 석적읍 유학로 10-1, 3층",2018-03-28
35.967847,128.417668,pitch,billiards ,,킹 당구장,경상북도 칠곡군 왜관읍 공단로 198-3,2018-03-28
35.967033,128.418352,pitch,billiards ,,당구치는날,경상북도 칠곡군 왜관읍 공단로4길 18-12,2018-03-28
36.076931,128.416517,pitch,golf,,스카이 골프연습장,경상북도 칠곡군 석적읍 유학로 65,2018-03-28
36.073769,128.412004,internet_cafe,,,캐리비안 pc,경상북도 칠곡군 석적읍 남중리6길 14,2018-03-28
36.076136,128.413109,internet_cafe,,,올레 PC,경상북도 칠곡군 석적읍 동중리1길 16-1,2018-03-28
36.078418,128.410717,internet_cafe,,,시즌아이 pc방,"경상북도 칠곡군 석적읍 북중리3길 42, 2층",2018-03-28
36.078883,128.411408,internet_cafe,,,갤러리PC방(중리점),"경상북도 칠곡군 석적읍 북중리3길 48, 2층",2018-03-28
36.078352,128.411174,internet_cafe,,,조이pc방,경상북도 칠곡군 석적읍 북중리4길 43 (중앙하이츠빌),2018-03-28
36.078659,128.41154,internet_cafe,,,망고톡PC방,경상북도 칠곡군 석적읍 북중리4길 47,2018-03-28
36.078659,128.41154,internet_cafe,,,번개pc,경상북도 칠곡군 석적읍 북중리4길 47 (나동 좌측 3번째),2018-03-28
36.078659,128.41154,internet_cafe,,,드림pc방,"경상북도 칠곡군 석적읍 북중리4길 47, 나동 401호",2018-03-28
36.077181,128.411838,internet_cafe,,,재미로pc,"경상북도 칠곡군 석적읍 북중리9길 14, 1층 101호 (프라다)",2018-03-28
36.07803,128.403205,internet_cafe,,,바이킹 PC CAFE,경상북도 칠곡군 석적읍 서중리1길 20,2018-03-28
36.0765,128.402583,internet_cafe,,,재미로 pc방,경상북도 칠곡군 석적읍 서중리3길 21-8,2018-03-28
36.078434,128.412984,internet_cafe,,,아이센스 PC방,"경상북도 칠곡군 석적읍 유학로 30, 2층",2018-03-28
36.079225,128.413341,internet_cafe,,,맥스pc,경상북도 칠곡군 석적읍 유학로 36,2018-03-28
36.079155,128.413513,internet_cafe,,,이게pc방이다 석적점,"경상북도 칠곡군 석적읍 유학로 48, 2층",2018-03-28
36.07815,128.414656,internet_cafe,,,초콜렛pc zone,경상북도 칠곡군 석적읍 유학로 52 (2층),2018-03-28
36.034437,128.366259,internet_cafe,,,킹콩 pc,"경상북도 칠곡군 약목면 약목로 78, 2층",2018-03-28
36.070726,128.346293,internet_cafe,,,아이비스pc방,경상북도 칠곡군 북삼읍 금오대로 265-1,2018-03-28
36.070159,128.347013,internet_cafe,,,라이도PC,경상북도 칠곡군 북삼읍 금오대로 266,2018-03-28
36.068557,128.349898,internet_cafe,,,pc cafe 올레,경상북도 칠곡군 북삼읍 금오대로2길 43-1,2018-03-28
36.068406,128.350632,internet_cafe,,,샹떼pc방,경상북도 칠곡군 북삼읍 금오대로2길 52,2018-03-28
36.067928,128.351347,internet_cafe,,,네티아이,경상북도 칠곡군 북삼읍 금오대로2길 56 (월스포츠2층),2018-03-28
36.070409,128.345964,internet_cafe,,,엔터타운,경상북도 칠곡군 북삼읍 북삼로 8,2018-03-28
36.066755,128.334516,internet_cafe,,,짱,경상북도 칠곡군 북삼읍 안산2길 19-10,2018-03-28
36.070188,128.339083,internet_cafe,,,이게pc방,경상북도 칠곡군 북삼읍 인강5길 43,2018-03-28
35.998596,128.402719,internet_cafe,,,쨈나pc방,경상북도 칠곡군 왜관읍 석전로 36-1,2018-03-28
35.984379,128.400397,internet_cafe,,,오케이 pc방,경상북도 칠곡군 왜관읍 전원3길 15,2018-03-28
35.989308,128.398997,internet_cafe,,,뻔뻔한 pc,"경상북도 칠곡군 왜관읍 중앙로 147, 2층",2018-03-28
35.998017,128.399193,internet_cafe,,,인터뱅크,경상북도 칠곡군 왜관읍 중앙로 246,2018-03-28
35.986359,128.397393,internet_cafe,,,제로pc방 왜관점,"경상북도 칠곡군 왜관읍 중앙로 73, 2층",2018-03-28
35.986359,128.398297,internet_cafe,,,LION PC,경상북도 칠곡군 왜관읍 중앙로 84 (2층(입구쪽)),2018-03-28
35.993661,128.398694,internet_cafe,,,잘란(왜관점),경상북도 칠곡군 왜관읍 중앙로2길 29  (236-26(1층)),2018-03-28
35.991729,128.398512,internet_cafe,,,더 피씨 엔 카페,경상북도 칠곡군 왜관읍 중앙로2길 48-1,2018-03-28
35.995517,128.401758,,,government,칠곡군청,경상북도 칠곡군 왜관읍 군청1길 80,2018-03-28
