위도,경도,name,addr:full,highway,public_transport,operator
37.3509,127.928627,e편한세상아파트,강원도 원주시 봉화로 76,bus_stop,platform,원주시
37.344972,127.928344,SK텔레콤원주지점,강원도 원주시 서원대로 149,bus_stop,platform,원주시
37.355962,127.923136,농산물도매시장,강원도 원주시 원문로 252,bus_stop,platform,원주시
37.352706,127.92273,농산물도매시장,강원도 원주시 서원대로 48,bus_stop,platform,원주시
37.352966,127.923087,농산물도매시장후문,강원도 원주시 서원대로 41,bus_stop,platform,원주시
37.362311,127.936153,우산덕원아파트,강원도 원주시 원문로100번길 90,bus_stop,platform,원주시
37.354991,127.935684,단계동 주민센터,강원도 원주시 북원로 2352,bus_stop,platform,원주시
37.349801,127.929033,단계삼익아파트,강원도 원주시 봉화로 60,bus_stop,platform,원주시
37.356487,127.93434,단계새마을금고,강원도 원주시 원문로 122,bus_stop,platform,원주시
37.356686,127.935064,단계새마을금고,강원도 원주시 원문로 113,bus_stop,platform,원주시
37.342695,127.935029,단계아파트,강원도 원주시 이화4길 89,bus_stop,platform,원주시
37.342754,127.934463,단계아파트,강원도 원주시 이화4길 83,bus_stop,platform,원주시
37.297793,127.795286,작백,강원도 원주시 문막읍 원문로 2170,bus_stop,platform,원주시
37.322176,127.811674,지샘물,강원도 원주시 문막읍 지샘등안길 46-7,bus_stop,platform,원주시
37.26623,127.832352,충효공원,강원도 원주시 문막읍 서들길 2,bus_stop,platform,원주시
37.266068,127.832314,충효공원,강원도 원주시 문막읍 서들길 2,bus_stop,platform,원주시
37.309361,127.800787,취병1리,강원도 원주시 문막읍 취병로 89,bus_stop,platform,원주시
37.310715,127.799809,취병2리,강원도 원주시 문막읍 취병로 101,bus_stop,platform,원주시
37.312417,127.800704,취병2리,강원도 원주시 문막읍 벌새터길 37-26,bus_stop,platform,원주시
37.304207,127.80609,취병리,강원도 원주시 문막읍 원문로 2000,bus_stop,platform,원주시
37.330188,127.834309,큰앤이,강원도 원주시 문막읍 큰애니길 82,bus_stop,platform,원주시
37.302695,127.769021,퇴골,강원도 원주시 문막읍 원양1로 240,bus_stop,platform,원주시
37.331981,127.832174,남산교,강원도 원주시 문막읍 왕건로 151,bus_stop,platform,원주시
37.281,127.821916,포진,강원도 원주시 문막읍 귀문로 1326-1,bus_stop,platform,원주시
37.284648,127.813763,포진2리,강원도 원주시 문막읍 귀문로 1408,bus_stop,platform,원주시
37.299715,127.798626,현대차원주출고센터,강원도 원주시 문막읍 작백동길 71,bus_stop,platform,원주시
37.299306,127.797981,현대차원주출고센터,강원도 원주시 문막읍 원문로 2129,bus_stop,platform,원주시
37.324776,127.834602,현진종합개발,강원도 원주시 문막읍 큰애니길 18,bus_stop,platform,원주시
37.318098,127.829949,형제주유소,강원도 원주시 문막읍 원문로 1648,bus_stop,platform,원주시
37.318061,127.830274,형제주유소앞,강원도 원주시 문막읍 원문로 1643,bus_stop,platform,원주시
37.274726,127.800611,후용1리,강원도 원주시 문막읍 비야동길 7,bus_stop,platform,원주시
37.271101,127.798897,후용2리,강원도 원주시 문막읍 견훤로 914-1,bus_stop,platform,원주시
37.268138,127.79793,후용용수,강원도 원주시 문막읍 용수터길 1-6,bus_stop,platform,원주시
37.308724,127.81775,문막2리,강원도 원주시 문막읍 문막시장1길 3,bus_stop,platform,원주시
37.388741,127.979847,mbc송신탑,강원도 원주시 소초면 치악로 2403,bus_stop,platform,원주시
37.383724,127.967909,36사단정문,강원도 원주시 소초면 흥양로 189,bus_stop,platform,원주시
37.420069,127.97496,고촌,강원도 원주시 소초면 섬배로 109-4,bus_stop,platform,원주시
37.420195,127.974937,고촌,강원도 원주시 소초면 섬배로 109-4,bus_stop,platform,원주시
37.420498,128.003257,골말,강원도 원주시 소초면 치악로 2828,bus_stop,platform,원주시
37.422975,128.004351,골말,강원도 원주시 소초면 치악로 2854,bus_stop,platform,원주시
37.405395,128.04639,구룡사,강원도 원주시 소초면 구룡사로 425,bus_stop,platform,원주시
37.412148,128.049464,구룡사,강원도 원주시 소초면 구룡사로 327,bus_stop,platform,원주시
37.419033,128.051689,구룡사제1주차장,강원도 원주시 소초면 무쇠점1길 2,bus_stop,platform,원주시
37.414158,128.051189,국립공원사무소,강원도 원주시 소초면 무쇠점2길 26,bus_stop,platform,원주시
37.385543,127.986472,넉마루,강원도 원주시 소초면 황골로 67,bus_stop,platform,원주시
37.385473,127.986519,넉마루,강원도 원주시 소초면 황골로 74,bus_stop,platform,원주시
37.386266,127.982812,넉마루입구,강원도 원주시 소초면 황골로 36,bus_stop,platform,원주시
37.432308,128.011295,다리목,강원도 원주시 소초면 치악로 2985,bus_stop,platform,원주시
37.432133,128.011304,다리목,강원도 원주시 소초면 치악로 2985,bus_stop,platform,원주시
37.432888,128.018452,대동,강원도 원주시 소초면 치악로 3043,bus_stop,platform,원주시
37.439171,128.029282,독점,강원도 원주시 소초면 치악로 3172,bus_stop,platform,원주시
37.439215,128.028159,독점,강원도 원주시 소초면 치악로 3165,bus_stop,platform,원주시
37.439491,128.033227,독점,강원도 원주시 소초면 치악로 3207,bus_stop,platform,원주시
