위도,경도,name,highway,public_transport,operator
37.736744,128.863507,강일운수,bus_stop,platform,강릉시
37.736856,128.863195,강일운수,bus_stop,platform,강릉시
37.723072,128.860851,개화대,bus_stop,platform,강릉시
37.723169,128.860732,개화대,bus_stop,platform,강릉시
37.658141,128.790452,검뎅이골아래,bus_stop,platform,강릉시
37.658072,128.79054,검뎅이골아래,bus_stop,platform,강릉시
37.649737,128.786549,검뎅이골위,bus_stop,platform,강릉시
37.649668,128.786657,검뎅이골위,bus_stop,platform,강릉시
37.78052,128.919007,경포고교,bus_stop,platform,강릉시
37.780721,128.91876,경포고교,bus_stop,platform,강릉시
37.795569,128.897041,경포대.참소리박물관,bus_stop,platform,강릉시
37.795465,128.897224,경포대.참소리박물관,bus_stop,platform,강릉시
37.783732,128.880272,경포동주민센터,bus_stop,platform,강릉시
37.783717,128.880413,경포동주민센터,bus_stop,platform,강릉시
37.79988,128.911453,경포생태습지원,bus_stop,platform,강릉시
37.799844,128.911295,경포생태습지원,bus_stop,platform,강릉시
37.743198,128.900713,경포중학교,bus_stop,platform,강릉시
37.742869,128.900225,경포중학교,bus_stop,platform,강릉시
37.769824,128.87894,경포초등학교,bus_stop,platform,강릉시
37.804763,128.905598,경포해변,bus_stop,platform,강릉시
37.804475,128.905296,경포해변,bus_stop,platform,강릉시
37.804201,128.906221,경포해변,bus_stop,platform,강릉시
37.804239,128.906719,경포해변,bus_stop,platform,강릉시
37.80174,128.903378,경포현대A,bus_stop,platform,강릉시
37.801251,128.903353,경포현대A,bus_stop,platform,강릉시
37.524686,128.835364,고단,bus_stop,platform,강릉시
37.524636,128.835303,고단,bus_stop,platform,강릉시
37.524672,128.835553,고단2.3리교차로,bus_stop,platform,강릉시
37.524622,128.835631,고단2.3리교차로,bus_stop,platform,강릉시
37.717894,128.886554,고시원입구,bus_stop,platform,강릉시
37.717942,128.886646,고시원입구,bus_stop,platform,강릉시
37.757496,128.888944,고용센터,bus_stop,platform,강릉시
37.757189,128.888947,고용센터,bus_stop,platform,강릉시
37.667947,129.047899,곰두리연수원,bus_stop,platform,강릉시
37.667985,129.0478,곰두리연수원,bus_stop,platform,강릉시
37.746339,128.940003,공군부대앞,bus_stop,platform,강릉시
37.740068,128.930016,공군부대입구,bus_stop,platform,강릉시
37.739876,128.930062,공군부대입구,bus_stop,platform,강릉시
37.765385,128.922108,공단,bus_stop,platform,강릉시
37.765369,128.922249,공단,bus_stop,platform,강릉시
37.746124,128.871549,공제마을,bus_stop,platform,강릉시
37.7464,128.87155,공제마을,bus_stop,platform,강릉시
37.739276,128.86989,관솔길,bus_stop,platform,강릉시
37.739238,128.869784,관솔길,bus_stop,platform,강릉시
37.728391,128.829941,관음1리,bus_stop,platform,강릉시
37.738752,128.818115,관음1리,bus_stop,platform,강릉시
37.730349,128.826627,관음1리노인회관,bus_stop,platform,강릉시
37.768441,128.892107,교2동주민센터,bus_stop,platform,강릉시
37.756083,128.884,교동주유소,bus_stop,platform,강릉시
37.755676,128.883883,교동주유소,bus_stop,platform,강릉시
