위도,경도,name,operator,source:date
37.7259,127.53387,박암리,춘천시,2019-11-27
37.72594,127.53405,박암리,춘천시,2019-11-27
37.724,127.5458,박암리,춘천시,2019-11-27
37.7239,127.5458,박암리,춘천시,2019-11-27
37.76118,127.57495,가정3리,춘천시,2019-11-27
37.76105,127.57503,가정3리,춘천시,2019-11-27
37.73465,127.57588,강원학생교육원,춘천시,2019-11-27
37.73592,127.69137,우러니입구,춘천시,2019-11-27
37.73181,127.70472,광판1리,춘천시,2019-11-27
37.73189,127.70461,광판1리,춘천시,2019-11-27
37.73105,127.69658,정보화마을,춘천시,2019-11-27
37.73114,127.69669,정보화마을,춘천시,2019-11-27
37.73432,127.69318,양지마을,춘천시,2019-11-27
37.77349,127.6765,수동1리,춘천시,2019-11-27
37.7739,127.67274,수동1리,춘천시,2019-11-27
37.79902,127.6912,혈동2리,춘천시,2019-11-27
37.81721,127.69999,팔미3리,춘천시,2019-11-27
37.81732,127.69992,팔미3리,춘천시,2019-11-27
37.97955,127.90092,오항리,춘천시,2019-11-27
37.98376,127.89647,천리터,춘천시,2019-11-27
38.03518,127.86793,추곡터널,춘천시,2019-11-27
37.81409,127.57308,백양2리,춘천시,2019-11-27
37.814,127.57299,백양2리,춘천시,2019-11-27
37.81619,127.56958,백양2리,춘천시,2019-11-27
37.8165,127.56951,백양2리,춘천시,2019-11-27
37.819,127.565,백양1리,춘천시,2019-11-27
37.83402,127.59912,당림리,춘천시,2019-11-27
37.85339,127.61666,당림1리,춘천시,2019-11-27
37.85102,127.61598,당림1리,춘천시,2019-11-27
37.85097,127.61607,당림1리,춘천시,2019-11-27
37.90486,127.67173,방동2리마을회관,춘천시,2019-11-27
37.89587,127.68021,방동1리,춘천시,2019-11-27
37.92207,127.72189,인형극장,춘천시,2019-11-27
38.00106,127.68982,송암리,춘천시,2019-11-27
37.99246,127.73033,고성2리,춘천시,2019-11-27
37.98016,127.69175,해피초원목장,춘천시,2019-11-27
37.97477,127.598,눈썰매장입구,춘천시,2019-11-27
37.97761,127.60217,지암리,춘천시,2019-11-27
37.97932,127.60439,지암리,춘천시,2019-11-27
37.98266,127.61635,지암리,춘천시,2019-11-27
37.97671,127.62906,지암리,춘천시,2019-11-27
37.97614,127.63234,지암리,춘천시,2019-11-27
38.01951,127.637,신포리,춘천시,2019-11-27
38.01945,127.63713,신포리,춘천시,2019-11-27
38.00358,127.63427,원평리,춘천시,2019-11-27
37.96624,127.67465,고탄입구,춘천시,2019-11-27
37.96041,127.68148,용산2리,춘천시,2019-11-27
37.96037,127.68184,용산2리,춘천시,2019-11-27
37.9465,127.7074,용산3리종점,춘천시,2019-11-27
