위도,경도,name,ref,source:date
35.50524626,129.0895473,방기,5067,2020-07-27
35.66724703,129.4577716,수렴,5406,2020-07-27
35.66703164,129.4572336,수렴,5407,2020-07-27
35.55321902,129.3435994,중앙여고,11101,2020-07-27
35.5533087,129.3436213,중앙여고,11102,2020-07-27
35.55444066,129.347783,강변이편한세상,11104,2020-07-27
35.55466941,129.346563,강변이편한세상,11105,2020-07-27
35.55293966,129.3474516,대산빌라,11106,2020-07-27
35.55287274,129.3473022,대산빌라,11107,2020-07-27
35.57241144,129.3393257,약사아이파크,11201,2020-07-27
35.57340562,129.3392538,약사아이파크,11202,2020-07-27
35.56976683,129.3401627,약사중학교,11203,2020-07-27
35.57033389,129.3402082,약사중학교,11204,2020-07-27
35.56868375,129.3428227,선우시장,11205,2020-07-27
35.56890697,129.3422645,선우시장,11206,2020-07-27
35.56866654,129.3414458,선우시장,11207,2020-07-27
35.57939889,129.3489688,한국폴리텍대학앞,11301,2020-07-27
35.57975509,129.3488391,한국폴리텍대학앞,11302,2020-07-27
35.57770245,129.3499393,산전교앞,11303,2020-07-27
35.57794531,129.3499497,산전교앞,11304,2020-07-27
35.57442417,129.3503997,산전마을,11305,2020-07-27
35.57442735,129.3505253,산전마을,11306,2020-07-27
35.57195771,129.3496292,현대골든아파트앞,11307,2020-07-27
35.57262531,129.3501983,현대골든아파트앞,11308,2020-07-27
35.58455332,129.3424915,외솔중학교,11400,2020-07-27
35.59632409,129.3452495,성혜마을,11401,2020-07-27
35.59641091,129.3452562,성혜마을,11402,2020-07-27
35.59603764,129.3387807,바깥시례,11403,2020-07-27
35.5958288,129.3388791,바깥시례,11404,2020-07-27
35.58301708,129.3469828,서동현대,11405,2020-07-27
35.58353934,129.3469719,서동현대,11406,2020-07-27
35.58464445,129.3422652,외솔중학교,11407,2020-07-27
35.58813473,129.3440216,골드클래스,11408,2020-07-27
35.58829133,129.3439035,골드클래스,11409,2020-07-27
35.58111857,129.3401155,KCC스위첸,11410,2020-07-27
35.58128142,129.3398892,KCC스위첸,11411,2020-07-27
35.57049371,129.3310639,중구청입구,11412,2020-07-27
35.57064471,129.3309298,중구청입구,11413,2020-07-27
35.56580337,129.3205599,안전보건공단 동서발전,11414,2020-07-27
35.56597471,129.3205525,안전보건공단 동서발전,11415,2020-07-27
35.5645911,129.313709,근로복지공단 산업인력공단,11416,2020-07-27
35.56477018,129.3137679,근로복지공단 산업인력공단,11417,2020-07-27
35.56372995,129.3088101,한국석유공사,11418,2020-07-27
35.5639475,129.3090948,한국석유공사,11419,2020-07-27
35.56265478,129.2814288,울산테크노파크,11420,2020-07-27
35.56266319,129.2802944,울산테크노파크,11421,2020-07-27
35.56215121,129.2935621,동원 로얄듀크2차,11422,2020-07-27
35.56231613,129.2936054,동원 로얄듀크2차,11423,2020-07-27
35.56216452,129.2903679,변전소,11424,2020-07-27
35.56327904,129.3004822,중부소방서,11425,2020-07-27
35.56298364,129.3004528,중부소방서,11426,2020-07-27
35.57418357,129.3351234,약사고등학교,11427,2020-07-27
35.57397344,129.3351559,약사고등학교,11428,2020-07-27
35.56247237,129.2900358,변전소,11429,2020-07-27
35.57730691,129.339255,약사제방전시관,11430,2020-07-27
35.57726042,129.3389227,약사제방전시관,11431,2020-07-27
35.56665214,129.3247103,한국전기안전공사,11432,2020-07-27
35.56680248,129.3246236,한국전기안전공사,11433,2020-07-27
35.56881409,129.3287454,도화골입구,11434,2020-07-27
35.56862614,129.3280584,도화골입구,11435,2020-07-27
35.56346137,129.3040885,"동원1차,에일린3차",11436,2020-07-27
35.5636245,129.3040394,"동원1차,에일린3차",11437,2020-07-27
35.57979251,129.3378051,약사골사거리,11438,2020-07-27
35.58030284,129.3376228,약사골사거리,11439,2020-07-27
35.58488984,129.3433737,외솔중학교,11450,2020-07-27
35.58429328,129.3442777,외솔중학교,11451,2020-07-27
35.55848198,129.3289798,복산성당앞,11501,2020-07-27
35.55862253,129.3286216,복산성당앞,11502,2020-07-27
35.55781913,129.3312257,남운학성타운앞,11503,2020-07-27
35.55791047,129.3313538,남운학성타운앞,11504,2020-07-27
35.56033316,129.33224,MBC앞,11506,2020-07-27
35.57982546,129.3164098,성안청구,11701,2020-07-27
35.58025652,129.3164029,성안청구아파트,11702,2020-07-27
35.57852314,129.318844,성안청구아파트입구,11704,2020-07-27
35.57860834,129.3186893,성안청구아파트입구,11705,2020-07-27
35.58063584,129.322982,성안파출소,11706,2020-07-27
35.5807809,129.3228773,성안파출소,11707,2020-07-27
35.58519491,129.3248953,내약마을,11708,2020-07-27
35.58486233,129.3236131,내약마을,11709,2020-07-27
35.58067759,129.3168369,성안청구아파트,11711,2020-07-27
35.57946166,129.3232384,KCC인테리어,11712,2020-07-27
35.57938178,129.3233746,KCC인테리어,11713,2020-07-27
35.57615264,129.3059498,성안금호아파트,11801,2020-07-27
35.57580894,129.3062288,성안금호아파트,11802,2020-07-27
35.57514547,129.3089015,국토정보공사,11803,2020-07-27
35.57535673,129.3088403,국토정보공사,11804,2020-07-27
35.57412667,129.3122554,백양사,11805,2020-07-27
35.5742986,129.3121451,백양사,11806,2020-07-27
35.57823249,129.3065687,함월구민운동장,11807,2020-07-27
35.57820908,129.3066149,함월구민운동장,11808,2020-07-27
35.58321309,129.3062212,돌담집,11809,2020-07-27
35.58329865,129.3062082,돌담집,11810,2020-07-27
35.53443844,129.326211,달동주공아파트,12101,2020-07-27
35.53439738,129.3268166,달동주공아파트,12102,2020-07-27
35.53362255,129.3242696,동평중학교,12103,2020-07-27
35.53368413,129.3243709,동평중학교,12104,2020-07-27
35.551931,129.2743811,삼호,12201,2020-07-27
35.55173038,129.2745077,삼호,12202,2020-07-27
35.5497402,129.2729883,삼호주공아파트앞,12203,2020-07-27
35.54993676,129.2733616,삼호주공아파트앞,12204,2020-07-27
35.56391081,129.2805754,테크노파크(종점),12301,2020-07-27
35.54017305,129.35327,태화강역(종점),12308,2020-07-27
35.53992879,129.3533469,태화강역,12309,2020-07-27
35.53890689,129.3523643,태화강역,12310,2020-07-27
35.5386578,129.3523561,태화강역,12312,2020-07-27
35.51960927,129.312573,우주그린아파트앞,12401,2020-07-27
35.51973647,129.312424,우주그린아파트앞,12402,2020-07-27
35.51901668,129.3142723,한실청실맨션앞,12404,2020-07-27
35.51626164,129.3161054,삼일여고앞,12405,2020-07-27
35.5163845,129.3164065,삼일여고앞,12406,2020-07-27
35.51611988,129.3163301,삼일여고앞,12407,2020-07-27
35.51756562,129.3157824,카프로사택,12408,2020-07-27
35.53670843,129.3032963,문수로2차아이파크,12411,2020-07-27
35.53781072,129.3032825,문수로2차아이파크,12413,2020-07-27
35.53784827,129.3010095,에쓰오일사택,12415,2020-07-27
35.53660956,129.3011112,넝쿨아파트,12417,2020-07-27
35.53883579,129.3027704,평화시장,12421,2020-07-27
35.52642,129.32358,홈플러스,12501,2020-07-27
35.52353049,129.3239504,동부3단지아파트,12503,2020-07-27
35.52364198,129.3240698,동부3단지아파트,12504,2020-07-27
35.52996342,129.324776,신정현대홈타운단지내,12505,2020-07-27
35.52810337,129.3257486,울산세관입구,12507,2020-07-27
35.53694278,129.2891755,천호탕앞,12605,2020-07-27
35.53695356,129.2892725,천호탕앞,12606,2020-07-27
35.53826702,129.2886704,서강파크앞,12607,2020-07-27
35.53843088,129.2885825,서강파크앞,12608,2020-07-27
35.54115736,129.293236,청암현대아파트,12611,2020-07-27
35.54127702,129.2933907,청암현대아파트,12612,2020-07-27
35.54095539,129.2947618,대륙2차현대아파트앞,12613,2020-07-27
35.54128832,129.2944872,대륙2차현대아파트앞,12614,2020-07-27
35.53365837,129.2568754,문수경기장,12701,2020-07-27
35.53425145,129.2572321,문수경기장,12704,2020-07-27
35.53211843,129.260879,문수수영장,12710,2020-07-27
35.53191781,129.2609464,문수수영장,12711,2020-07-27
35.53252434,129.2637721,울산야구장,12712,2020-07-27
35.53286365,129.2647766,울산야구장,12713,2020-07-27
35.4981401,129.4183381,울산과학대학앞,13201,2020-07-27
35.49839633,129.4184328,울산과학대학앞,13202,2020-07-27
35.49837827,129.4227633,화진중학교,13203,2020-07-27
35.49853032,129.4231362,화진중학교,13204,2020-07-27
35.49757661,129.4253095,일산해수욕장입구,13205,2020-07-27
35.4970895,129.4270572,일산해수욕장입구,13206,2020-07-27
35.49320036,129.4223208,화정엠코타운,13301,2020-07-27
35.49309726,129.4224075,화정엠코타운,13302,2020-07-27
35.48975824,129.4214934,신진파크,13303,2020-07-27
35.4905669,129.4215507,신진파크,13304,2020-07-27
35.51366126,129.4251799,한마음아파트,13401,2020-07-27
35.51364292,129.42527,한마음아파트,13402,2020-07-27
35.50346559,129.4221603,생활과학고등학교,13409,2020-07-27
35.50375666,129.4216844,생활과학고등학교,13410,2020-07-27
35.64801314,129.4224348,대안,14001,2020-07-27
35.64805565,129.4225048,대안,14002,2020-07-27
35.64674297,129.4279768,효원산업,14005,2020-07-27
35.64695173,129.4278971,효원산업,14006,2020-07-27
35.64014746,129.4346598,신명동,14007,2020-07-27
35.64023292,129.4346444,신명동,14008,2020-07-27
35.58883091,129.4298556,구남군부대앞,14009,2020-07-27
35.58881341,129.4297737,구남군부대앞,14010,2020-07-27
35.63971794,129.4397092,대안입구,14011,2020-07-27
35.63979402,129.4396664,대안입구,14012,2020-07-27
35.64105237,129.4323398,신명천,14013,2020-07-27
35.64104423,129.4325342,신명천,14014,2020-07-27
35.64107562,129.3575573,월드메르디앙2단지,14101,2020-07-27
35.64129028,129.3576381,월드메르디앙2단지,14102,2020-07-27
35.64050558,129.3586709,월드메르디앙1단지,14103,2020-07-27
35.64011874,129.359927,월드메르디앙1단지,14104,2020-07-27
35.63970552,129.360227,매곡,14105,2020-07-27
35.63990467,129.3602909,매곡종점,14106,2020-07-27
35.63936285,129.3636419,매곡,14107,2020-07-27
35.63935853,129.3635631,매곡,14108,2020-07-27
35.63985536,129.3618899,매곡,14110,2020-07-27
35.6363013,129.3633057,"매곡에일린의뜰1,2차",14111,2020-07-27
35.63703568,129.3635909,"매곡에일린의뜰1,2차",14112,2020-07-27
35.63886107,129.3622882,마동,14114,2020-07-27
35.63870316,129.3621276,마동,14115,2020-07-27
35.64575989,129.3257246,천곡,14201,2020-07-27
35.64578246,129.3257923,천곡,14202,2020-07-27
35.64273777,129.3293635,천곡회관앞,14203,2020-07-27
35.64277529,129.3294223,천곡회관앞,14204,2020-07-27
35.65073104,129.3191031,선창골못,14205,2020-07-27
35.65099956,129.3186661,선창골못,14206,2020-07-27
35.65300851,129.3142379,관문성입구,14207,2020-07-27
35.65304698,129.3142873,관문성입구,14208,2020-07-27
35.63425081,129.3297663,달천 아이파크1차,14209,2020-07-27
35.63292655,129.3280194,달천아이파크2차,14210,2020-07-27
35.63444417,129.3299395,달천 아이파크1차,14211,2020-07-27
35.63295463,129.3282561,달천아이파크2차,14212,2020-07-27
35.63729572,129.3289389,벽산블루밍,14213,2020-07-27
35.63701381,129.3286645,벽산블루밍,14214,2020-07-27
35.63520394,129.3283678,달천아이파크1차,14215,2020-07-27
35.63843438,129.3288823,대동아파트입구,14216,2020-07-27
35.63886356,129.3295198,대동아파트입구,14217,2020-07-27
35.63832314,129.3241137,우방아파트,14301,2020-07-27
35.63873787,129.3240911,우방아파트,14302,2020-07-27
35.6387595,129.3272743,대동아파트앞,14303,2020-07-27
35.63888451,129.3269366,대동아파트앞,14304,2020-07-27
35.6391097,129.3303868,천곡마을입구,14306,2020-07-27
35.63913474,129.3315126,천곡마을입구,14307,2020-07-27
35.63942339,129.3312099,천곡마을입구,14308,2020-07-27
35.63873914,129.3386624,일지리버아파트,14309,2020-07-27
35.63889732,129.3386946,일지리버아파트,14310,2020-07-27
35.63872296,129.3253395,황토방아파트,14311,2020-07-27
35.63884331,129.3254064,황토방아파트,14312,2020-07-27
35.62740181,129.3298082,상안중학교,14401,2020-07-27
35.62769652,129.3297862,상안중학교,14402,2020-07-27
35.62464598,129.3319852,양지마을,14403,2020-07-27
35.62514283,129.3319196,양지마을,14404,2020-07-27
35.61617857,129.3298929,동산,14405,2020-07-27
35.61630026,129.3299601,동산,14406,2020-07-27
35.61539509,129.3381702,샛터,14407,2020-07-27
35.61557803,129.3382152,샛터,14408,2020-07-27
35.63070574,129.3252752,그린카운티입구,14501,2020-07-27
35.6386699,129.3157944,달천농공단지내,14503,2020-07-27
35.63884306,129.3160435,달천농공단지내,14504,2020-07-27
35.61586757,129.3113632,대방마을입구,14505,2020-07-27
35.61585457,129.3114538,대방마을입구,14506,2020-07-27
35.63144213,129.3168647,달천농공단지입구,14507,2020-07-27
35.63126052,129.3167378,달천농공단지입구,14508,2020-07-27
35.63063455,129.315003,달천회관앞,14509,2020-07-27
35.63033868,129.3147685,달천회관앞,14510,2020-07-27
35.62659627,129.312481,진덕골,14511,2020-07-27
35.62645361,129.3123674,진덕골,14512,2020-07-27
35.61905881,129.3119697,대방마을,14513,2020-07-27
35.61957536,129.3121963,대방마을,14514,2020-07-27
35.61445347,129.3112756,숯고개,14515,2020-07-27
35.61445539,129.3113516,숯고개,14516,2020-07-27
35.61109453,129.3115872,가대입구,14517,2020-07-27
35.61100919,129.3116909,가대입구,14518,2020-07-27
35.6091044,129.3115528,가대구회관앞,14519,2020-07-27
35.60911576,129.3116648,가대구회관앞,14520,2020-07-27
35.60463582,129.3139837,가대회관앞,14521,2020-07-27
35.60478887,129.3139434,가대회관앞,14522,2020-07-27
35.5966271,129.3240334,시례동,14523,2020-07-27
35.59661058,129.324171,시례동,14524,2020-07-27
35.63129153,129.3280132,달천,14525,2020-07-27
35.63137568,129.3277826,달천,14526,2020-07-27
35.60619984,129.3122457,버덩길,14529,2020-07-27
35.60628739,129.3123199,버덩길,14530,2020-07-27
35.59756752,129.320662,주연동,14531,2020-07-27
35.5976253,129.3206403,주연동,14532,2020-07-27
35.58759622,129.3272592,황방산생태야영장,14533,2020-07-27
35.58767083,129.3275219,황방산생태야영장,14534,2020-07-27
35.62160774,129.3376247,상안마을,14602,2020-07-27
35.58089253,129.3655059,상방마을,14701,2020-07-27
35.58111242,129.3658904,상방마을,14702,2020-07-27
35.58024981,129.3691482,연암,14703,2020-07-27
35.5808479,129.3682912,연암,14704,2020-07-27
35.55744816,129.3567733,명촌동,14805,2020-07-27
35.55775563,129.3570042,명촌동,14806,2020-07-27
35.55348101,129.3545087,평창리비에르3차,14807,2020-07-27
35.55325482,129.3546716,평창리비에르3차,14808,2020-07-27
35.55970223,129.3571846,우정교회,14809,2020-07-27
35.57571761,129.3562639,롯데마트진장점,14816,2020-07-27
35.57581516,129.3565834,롯데마트진장점,14817,2020-07-27
35.57824319,129.3563955,농수산물유통센터정문,14818,2020-07-27
35.57365978,129.356652,울산우편집중국앞,14819,2020-07-27
35.57338828,129.3563813,울산우편집중국앞,14820,2020-07-27
35.57101162,129.3568318,차량등록사업소입구,14821,2020-07-27
35.57037734,129.3558079,차량등록사업소입구,14822,2020-07-27
35.57859742,129.3561134,농수산물유통센터정문,14824,2020-07-27
35.57023876,129.3576226,차량등록사업소입구,14826,2020-07-27
35.63967344,129.1175696,상차리,15101,2020-07-27
35.63976587,129.1178536,상차리,15102,2020-07-27
35.6364956,129.1223783,중차리,15103,2020-07-27
35.6365741,129.1223923,중차리,15104,2020-07-27
35.63228295,129.1269465,하차리,15105,2020-07-27
35.63234685,129.1270095,하차리,15106,2020-07-27
35.62393492,129.1367109,중리,15108,2020-07-27
35.6219681,129.1382449,중리마을,15109,2020-07-27
35.63557191,129.124461,중하차리,15110,2020-07-27
35.63555941,129.1243486,중하차리,15111,2020-07-27
35.61636069,129.1485111,송정,15113,2020-07-27
35.61640643,129.1486576,송정,15114,2020-07-27
35.61751223,129.1246514,갈전,15115,2020-07-27
35.61743272,129.1247786,갈전,15116,2020-07-27
35.61285562,129.1229273,다개,15117,2020-07-27
35.61341066,129.1229158,다개,15118,2020-07-27
35.6090689,129.1275173,평리,15119,2020-07-27
35.60907981,129.1276651,평리,15120,2020-07-27
35.60293181,129.1354473,개말,15121,2020-07-27
35.60300538,129.135557,개말,15122,2020-07-27
35.61105029,129.1239493,새말,15123,2020-07-27
35.61116549,129.1241203,새말,15124,2020-07-27
35.62112177,129.1243141,보림마을,15126,2020-07-27
35.62111862,129.1242288,보림마을,15127,2020-07-27
35.7138569,129.197825,봉계시장,15200,2020-07-27
35.71368677,129.1977218,봉계시장,15201,2020-07-27
35.71379903,129.1974782,봉계시장,15202,2020-07-27
35.70728651,129.2043749,계당,15203,2020-07-27
35.70756739,129.2044431,계당,15204,2020-07-27
35.70439859,129.2065097,두동농공단지,15205,2020-07-27
35.70443199,129.206599,두동농공단지,15206,2020-07-27
35.70135068,129.2076583,봉월초등학교,15207,2020-07-27
35.70136291,129.2077503,봉월초등학교,15208,2020-07-27
35.69862706,129.2089769,하월평,15209,2020-07-27
35.69855562,129.2091136,하월평,15210,2020-07-27
35.69531929,129.2121417,월평회관,15211,2020-07-27
35.69547384,129.2121407,월평회관,15212,2020-07-27
35.69363203,129.2140676,하월평입구,15213,2020-07-27
35.69351244,129.2143846,하월평입구,15214,2020-07-27
35.6887815,129.2218406,상월평입구,15215,2020-07-27
35.68893952,129.2216275,상월평입구,15216,2020-07-27
35.68846261,129.2246861,상월평,15217,2020-07-27
35.68853929,129.2246813,상월평,15218,2020-07-27
35.68700771,129.2273038,유지터,15219,2020-07-27
35.68706654,129.2274118,유지터,15220,2020-07-27
35.68351163,129.2260616,못안,15221,2020-07-27
35.6834866,129.226159,못안,15222,2020-07-27
35.66732424,129.2227968,당산,15223,2020-07-27
35.66731289,129.2229091,당산,15224,2020-07-27
35.66876848,129.2057839,당산중리,15225,2020-07-27
35.66868394,129.2056552,당산중리,15226,2020-07-27
35.66400015,129.1997844,주원마을,15227,2020-07-27
35.66406156,129.1998758,주원마을,15228,2020-07-27
35.66017769,129.2013376,두동대밀,15229,2020-07-27
35.66015856,129.2015632,두동대밀,15230,2020-07-27
35.65139078,129.2203198,두동양지,15231,2020-07-27
35.65142525,129.2202155,두동양지,15232,2020-07-27
