위도,경도,highway,public_transport,bus,name,source,source:date,addr:subdistrict
37.18331,128.071909,bus_stop,platform,yes,노목종점(옥전2리 마을회관 앞),공공데이터포털,2020-04-28,봉양읍
37.171387,128.097944,bus_stop,platform,yes,옥전길,공공데이터포털,2020-04-28,봉양읍
37.171387,128.097944,bus_stop,platform,yes,옥전길,공공데이터포털,2020-04-28,봉양읍
37.150808,128.146708,bus_stop,platform,yes,일진제2공장,공공데이터포털,2020-04-28,봉양읍
37.089389,128.111594,bus_stop,platform,yes,마곡리,공공데이터포털,2020-04-28,봉양읍
37.089389,128.111594,bus_stop,platform,yes,마곡리,공공데이터포털,2020-04-28,봉양읍
37.088923,128.117555,bus_stop,platform,yes,마곡리(벚나무길),공공데이터포털,2020-04-28,봉양읍
37.133416,128.10548,bus_stop,platform,yes,연박리(마곡입구 삼거리),공공데이터포털,2020-04-28,봉양읍
37.110822,128.155519,bus_stop,platform,yes,삼거리 풍미산장 앞,공공데이터포털,2020-04-28,봉양읍
37.199467,128.125445,bus_stop,platform,yes,명암리,공공데이터포털,2020-04-28,봉양읍
37.199467,128.125445,bus_stop,platform,yes,명암리,공공데이터포털,2020-04-28,봉양읍
37.190501,128.141041,bus_stop,platform,yes,명암리(목우동),공공데이터포털,2020-04-28,봉양읍
37.189981,128.139373,bus_stop,platform,yes,명암리(539펜션 앞),공공데이터포털,2020-04-28,봉양읍
37.17936,128.128373,bus_stop,platform,yes,봉양명암미륵당,공공데이터포털,2020-04-28,봉양읍
37.17936,128.128373,bus_stop,platform,yes,봉양명암미륵당,공공데이터포털,2020-04-28,봉양읍
37.194592,128.162699,bus_stop,platform,yes,명암리 밤나무골 앞,공공데이터포털,2020-04-28,봉양읍
37.133316,128.115913,bus_stop,platform,yes,봉양초 입구 삼거리,공공데이터포털,2020-04-28,봉양읍
37.11442,128.113983,bus_stop,platform,yes,닷돈이 ,공공데이터포털,2020-04-28,봉양읍
37.114121,128.115884,bus_stop,platform,yes,닷돈이 앞,공공데이터포털,2020-04-28,봉양읍
37.098889,128.087544,bus_stop,platform,yes,자양영당,공공데이터포털,2020-04-28,봉양읍
37.098799,128.087724,bus_stop,platform,yes,자양영당 앞,공공데이터포털,2020-04-28,봉양읍
37.099727,128.088231,bus_stop,platform,yes,장담마을,공공데이터포털,2020-04-28,봉양읍
37.099664,128.088434,bus_stop,platform,yes,장담마을 앞,공공데이터포털,2020-04-28,봉양읍
37.088284,128.1168,bus_stop,platform,yes,마곡리 문화생활관,공공데이터포털,2020-04-28,봉양읍
37.088284,128.1168,bus_stop,platform,yes,마곡리 문화생활관앞,공공데이터포털,2020-04-28,봉양읍
37.089394,128.147994,bus_stop,platform,yes,삼거리(본동),공공데이터포털,2020-04-28,봉양읍
37.089394,128.147994,bus_stop,platform,yes,삼거리(본동),공공데이터포털,2020-04-28,봉양읍
37.069049,128.145166,bus_stop,platform,yes,사곡리,공공데이터포털,2020-04-28,금성면
37.068788,128.144985,bus_stop,platform,yes,사곡리,공공데이터포털,2020-04-28,금성면
37.072313,128.229158,bus_stop,platform,yes,대장리(마을회관 앞),공공데이터포털,2020-04-28,금성면
37.030273,128.177631,bus_stop,platform,yes,성내리,공공데이터포털,2020-04-28,금성면
37.030273,128.177631,bus_stop,platform,yes,성내리,공공데이터포털,2020-04-28,금성면
37.024895,128.176292,bus_stop,platform,yes,성내리,공공데이터포털,2020-04-28,금성면
37.024895,128.176292,bus_stop,platform,yes,성내리,공공데이터포털,2020-04-28,금성면
37.055542,128.170966,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.055542,128.170966,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.062531,128.16735,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.065767,128.166851,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.069333,128.169018,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.069314,128.169288,bus_stop,platform,yes,구룡리,공공데이터포털,2020-04-28,금성면
37.101707,128.220427,bus_stop,platform,yes,동막리,공공데이터포털,2020-04-28,금성면
37.067265,128.121547,bus_stop,platform,yes,활산리 ,공공데이터포털,2020-04-28,금성면
37.067282,128.121704,bus_stop,platform,yes,활산리,공공데이터포털,2020-04-28,금성면
37.046592,128.159434,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.046871,128.1593,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.044479,128.174629,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.044479,128.174629,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.048998,128.172335,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.049999,128.171797,bus_stop,platform,yes,월굴리,공공데이터포털,2020-04-28,금성면
37.072758,128.180643,bus_stop,platform,yes,월림리,공공데이터포털,2020-04-28,금성면
37.072884,128.180677,bus_stop,platform,yes,월림리,공공데이터포털,2020-04-28,금성면
37.074538,128.188925,bus_stop,platform,yes,월림리,공공데이터포털,2020-04-28,금성면
37.075083,128.19744,bus_stop,platform,yes,양화리,공공데이터포털,2020-04-28,금성면
37.082756,128.205322,bus_stop,platform,yes,양화리,공공데이터포털,2020-04-28,금성면
37.086856,128.205468,bus_stop,platform,yes,양화리,공공데이터포털,2020-04-28,금성면
