위도,경도,ref,name,name:ko,highway,public_transport
38.15172,127.28464,4320117,구은사,구은사,bus_stop,platform
38.15061,127.28241,4320115,신사곡,신사곡,bus_stop,platform
38.14242,127.28231,4320280,근남면사무소,근남면사무소,bus_stop,platform
38.14418,127.28075,4320253,육단1리,육단1리,bus_stop,platform
38.14575,127.27869,4320311,사곡1리,사곡1리,bus_stop,platform
38.1514,127.27216,4320112,와수5리,와수5리,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.15132,127.27222,4320111,와수5리,와수5리,bus_stop,platform
38.14573,127.27856,4320310,사곡1리,사곡1리,bus_stop,platform
38.14405,127.28058,4320252,육단1리,육단1리,bus_stop,platform
38.14355,127.28174,4320114,근남초교,근남초교,bus_stop,platform
38.14242,127.28231,4320280,근남면사무소,근남면사무소,bus_stop,platform
38.14009,127.28324,4320314,필승회관,필승회관,bus_stop,platform
38.13774,127.28338,4320127,육단3리,육단3리,bus_stop,platform
38.1351,127.28457,4320316,내수동교회,내수동교회,bus_stop,platform
38.12997,127.28427,4320129,문수동,문수동,bus_stop,platform
38.12423,127.28346,4320319,잠곡교회,잠곡교회,bus_stop,platform
38.12088,127.28133,4320131,매월대폭포,매월대폭포,bus_stop,platform
38.10764,127.27876,4320133,샘말,샘말,bus_stop,platform
38.10481,127.277,4320322,구잠곡초교,구잠곡초교,bus_stop,platform
38.10048,127.2766,4320137,도덕동,도덕동,bus_stop,platform
38.09136,127.27802,4320135,방화동,방화동,bus_stop,platform
38.1004,127.2768,4320136,도덕동,도덕동,bus_stop,platform
38.10476,127.27718,4320323,구잠곡초교,구잠곡초교,bus_stop,platform
38.10762,127.27886,4320134,샘말,샘말,bus_stop,platform
38.12082,127.28143,4320132,매월대폭포,매월대폭포,bus_stop,platform
38.12415,127.2836,4320318,잠곡교회,잠곡교회,bus_stop,platform
38.12995,127.28436,4320130,문수동,문수동,bus_stop,platform
