위도,경도,name,addr:full,public_transport,bus
35.934109,126.686388,월명장례예식장,전라북도 군산시 신관동 42-89번지,platform,yes
35.964593,126.767836,율북마을,전라북도 군산시 개정면 아동리 251-1번지,platform,yes
35.976717,126.679756,은적사,전라북도 군산시 소룡동 815-1번지,platform,yes
35.976992,126.68058,은적사입구,전라북도 군산시 소룡동 1513-13번지,platform,yes
35.96739,126.674875,시영아파트,전라북도 군산시 산북동 166-11번지,platform,yes
35.990417,126.789264,식천,전라북도 군산시 성산면 도암리 426-2번지,platform,yes
35.944165,126.67305,신관동,전라북도 군산시 신관동 643-3번지,platform,yes
35.928466,126.639959,신동,전라북도 군산시 옥서면 옥봉리 625-6번지,platform,yes
35.918883,126.643644,신성산,전라북도 군산시 옥서면 옥봉리 1332-1번지,platform,yes
35.945109,126.813347,대야사거리,전라북도 군산시 대야면 산월리 387-16번지,platform,yes
35.963258,126.763304,동안마을입구,전라북도 군산시 개정동 57-16번지,platform,yes
35.98437,126.709723,명산사거리,전라북도 군산시 명산동 23-7번지,platform,yes
35.956251,126.657022,미성동,전라북도 군산시 산북동 891-12번지,platform,yes
35.980108,126.718678,미원동전북은행,전라북도 군산시 중앙로3가 53-16번지,platform,yes
35.970378,126.728453,미장현대파인빌1차,전라북도 군산시 미장동 53-29번지,platform,yes
35.969177,126.819866,분토,전라북도 군산시 대야면 보덕리 611-4번지,platform,yes
35.959707,126.697753,비사벌아파트,전라북도 군산시 나운동 153-11번지,platform,yes
35.913514,126.660187,사호촌,전라북도 군산시 옥구읍 어은리 1042-6번지,platform,yes
36.009171,126.876267,산간,전라북도 군산시 서수면 관원리 611번지,platform,yes
35.964223,126.723446,삼성쉐르빌아파트,전라북도 군산시 미장동 54-34번지,platform,yes
35.975165,126.70565,삼일교회,전라북도 군산시 문화동 883-39번지,platform,yes
36.005551,126.885279,상장곤,전라북도 군산시 서수면 마룡리 201-5번지,platform,yes
35.954049,126.86502,임피역,전라북도 군산시 임피면 술산리 226-113번지,platform,yes
35.982263,126.754058,잠두,전라북도 군산시 구암동 121-23번지,platform,yes
35.926494,126.686926,정리,전라북도 군산시 옥구읍 선제리 136-14번지,platform,yes
35.975551,126.745008,조촌삼성아파트,전라북도 군산시 조촌동 563-1번지,platform,yes
35.96892,126.710622,주공4차,전라북도 군산시 나운동 38-9번지,platform,yes
35.98181,126.718033,중앙초등학교,전라북도 군산시 중앙로2가 146-1번지,platform,yes
35.960368,126.710818,수송동신,전라북도 군산시 지곡동 259-9번지,platform,yes
35.9599,126.600818,지엠대우자동차,전라북도 군산시 소룡동 1641-2번지,platform,yes
35.983573,126.820842,창오,전라북도 군산시 성산면 창오리 188번지,platform,yes
35.903436,126.840366,청하면사무소,전라북도 김제시 청하면 동지산리 886-13번지,platform,yes
35.995051,126.845642,축산저수지,전라북도 군산시 임피면 축산리 436-4번지,platform,yes
35.973906,126.772844,충량마을,전라북도 군산시 개정면 아동리 486-2번지,platform,yes
35.94338,126.855422,탑동,전라북도 군산시 대야면 죽산리 14-7번지,platform,yes
35.976545,126.722921,시외버스터미널,전라북도 군산시 대명동 384-29번지,platform,yes
35.976455,126.72338,팔마광장.터미널,전라북도 군산시 대명동 388-19번지,platform,yes
35.932102,126.766312,표산,전라북도 군산시 옥산면 남내리 산251번지,platform,yes
35.932137,126.766402,표산,전라북도 군산시 옥산면 남내리 산251번지,platform,yes
36.020543,126.737899,하구둑관광단지,충청남도 서천군 마서면 도삼리 235-9번지,platform,yes
36.070606,126.934035,하와,전라북도 익산시 성당면 대선리 산73-1번지,platform,yes
35.959706,126.729095,한국타이어(미장동),전라북도 군산시 미장동 61-111번지,platform,yes
35.963083,126.719761,한라비발디1단지,전라북도 군산시 수송동 18-32번지,platform,yes
36.057456,126.908436,행동,전라북도 익산시 함라면 함열리 265-75번지,platform,yes
35.98195,126.680793,현대차서비스,전라북도 군산시 소룡동 927-3번지,platform,yes
36.071238,126.93562,회선,전라북도 익산시 성당면 와초리 131-4번지,platform,yes
35.927477,126.62289,수라마을,전라북도 군산시 옥서면 선연리 253-8번지,platform,yes
35.910129,126.638973,신오산촌마을,전라북도 군산시 옥서면 옥봉리 1616-2번지,platform,yes
35.97153,126.554561,군산항6부두,전라북도 군산시 오식도동 516번지,platform,yes
35.9344,126.673378,개사리,전라북도 군산시 개사동 280-1번지,platform,yes
35.945392,126.688085,미룡주공2단지,전라북도 군산시 미룡동 364-5번지,platform,yes
35.889625,126.832602,구장산마을,전라북도 김제시 청하면 장산리 738-1번지,platform,yes
35.930083,126.827383,장좌,전라북도 군산시 대야면 복교리 464-10번지,platform,yes
35.983069,126.808239,고봉재정상,전라북도 군산시 성산면 고봉리 산26-5번지,platform,yes
35.975732,126.902558,만석,전라북도 군산시 임피면 영창리 16-43번지,platform,yes
35.986577,126.790277,고봉마을,전라북도 군산시 성산면 고봉리 54-5번지,platform,yes
35.953323,126.868064,계산,전라북도 군산시 임피면 술산리 135-9번지,platform,yes
35.910479,126.763501,광지산사거리,전라북도 군산시 회현면 학당리 862-4번지,platform,yes
35.968954,126.710778,중앙여고,전라북도 군산시 나운동 38-9번지,platform,yes
35.974512,126.78666,당산경노당,전라북도 군산시 개정면 운회리 163-9번지,platform,yes
35.963549,126.797878,원발산,전라북도 군산시 개정면 발산리 272-10번지,platform,yes
35.970421,126.770463,충량,전라북도 군산시 개정면 아동리 산290번지,platform,yes
35.954975,126.567127,SNS인더스트리사거리,전라북도 군산시 오식도동 860번지,platform,yes
36.014856,126.699163,장항터미널,충청남도 서천군 장항읍 창선2리 338-4번지,platform,yes
35.961885,126.586028,교통공원사거리,전라북도 군산시 소룡동 1657-2 ,platform,yes
35.984482,126.851861,임피,전라북도 군산시 임피면 읍내리 482-4번지,platform,yes
35.953273,126.8228,남흥마을,전라북도 군산시 대야면 산월리 677-6번지,platform,yes
35.966198,126.715351,롯데마트,전라북도 군산시 수송동 43-18번지,platform,yes
35.903332,126.840195,청하면사무소,전라북도 김제시 청하면 동지산리 1061-86번지,platform,yes
35.970256,126.875883,소령,전라북도 군산시 임피면 영창리 820-5번지,platform,yes
35.951496,126.715428,외당마을,전라북도 군산시 옥산면 당북리 431-14번지,platform,yes
35.950344,126.800839,조선이기앞,전라북도 군산시 개정면 통사리 229-6번지,platform,yes
35.981018,126.722619,경암사거리,전라북도 군산시 경암동 371-5번지,platform,yes
35.991436,126.850065,교축,전라북도 군산시 임피면 축산리 349-1번지,platform,yes
35.972614,126.715499,수송초등학교,전라북도 군산시 수송동 399-15번지,platform,yes
35.971347,126.760726,군산간호대기숙사,전라북도 군산시 개정동 30-39번지,platform,yes
35.98005,126.681931,전북외고,전라북도 군산시 소룡동 977-1번지,platform,yes
35.937681,126.650198,거사마을,전라북도 군산시 개사동 672-45번지,platform,yes
35.967859,126.732864,경장삼거리,전라북도 군산시 경장동 517-4번지,platform,yes
35.993405,126.850227,교축,전라북도 군산시 임피면 축산리 364-1번지,platform,yes
35.974062,126.725567,장미목욕탕,전라북도 군산시 경장동 473번지,platform,yes
35.987003,126.721182,구시장입구,전라북도 군산시 금암동 72-35번지,platform,yes
35.98008,126.751405,구암현대아파트,전라북도 군산시 구암동 126-1번지,platform,yes
35.943552,126.81646,신월마을,전라북도 군산시 대야면 산월리 375-1번지,platform,yes
35.959528,126.635885,신창,전라북도 군산시 산북동 2642-26번지,platform,yes
35.898952,126.637238,신하제,전라북도 군산시 옥서면 선연리 1471-3번지,platform,yes
35.938839,126.775325,신흥,전라북도 군산시 회현면 원우리 335-1번지,platform,yes
35.955504,126.823667,안정마을,전라북도 군산시 대야면 보덕리 782-5번지,platform,yes
35.898109,126.675453,어은,전라북도 군산시 옥구읍 어은리 103-6번지,platform,yes
35.917083,126.760498,구학당,전라북도 군산시 회현면 학당리 1093-5번지,platform,yes
35.977892,126.672977,군산장례식장,전라북도 군산시 산북동 1214-2번지,platform,yes
35.970527,126.6287,군산항1부두,전라북도 군산시 소룡동 45-5번지,platform,yes
35.905887,126.759516,금당마을,전라북도 군산시 회현면 금광리 620-4번지,platform,yes
35.899689,126.713719,김제촌,전라북도 군산시 옥구읍 수산리 158-32번지,platform,yes
35.960297,126.704725,나운동신아파트,전라북도 군산시 지곡동 483-1번지,platform,yes
35.967534,126.696058,나운지구대,전라북도 군산시 나운동 789-23번지,platform,yes
35.922286,126.797658,남고마을,전라북도 군산시 대야면 지경리 2110-4번지,platform,yes
35.888669,126.725431,오봉,전라북도 군산시 회현면 월연리 492-3번지,platform,yes
35.959947,126.63214,옥성마을,전라북도 군산시 산북동 2628-5번지,platform,yes
35.977541,126.883871,용성마을,전라북도 군산시 서수면 서수리 317-5번지,platform,yes
35.97928,126.881624,용회,전라북도 군산시 서수면 서수리 252-18번지,platform,yes
35.910388,126.713906,우포,전라북도 군산시 옥구읍 수산리 45-46번지,platform,yes
35.909999,126.716292,우포마을,전라북도 군산시 옥구읍 수산리 83-2번지,platform,yes
36.019379,126.882238,운원,전라북도 군산시 서수면 관원리 66-4번지,platform,yes
35.953335,126.822746,남흥마을,전라북도 군산시 대야면 산월리 661-8번지,platform,yes
36.019738,126.800777,내촌마을,전라북도 군산시 나포면 서포리 425-3번지,platform,yes
35.908994,126.686787,다기,전라북도 군산시 옥구읍 오곡리 237-9번지,platform,yes
35.998539,126.775647,대동,전라북도 군산시 성산면 둔덕리 175-4번지,platform,yes
35.959549,126.698625,서해초등학교,전라북도 군산시 나운동 153-11번지,platform,yes
35.948439,126.822106,석화,전라북도 군산시 대야면 산월리 513-1번지,platform,yes
35.975751,126.738975,세풍사원아파트,전라북도 군산시 조촌동 474-5번지,platform,yes
36.028199,126.713423,송내,충청남도 서천군 마서면 송내리 350-2번지,platform,yes
35.977483,126.781618,송호마을,전라북도 군산시 개정면 운회리 269-4번지,platform,yes
35.969963,126.714903,수송다나소아과,전라북도 군산시 수송동 31-7번지,platform,yes
36.003033,126.833203,원부곡,전라북도 군산시 나포면 부곡리 98-3번지,platform,yes
35.964763,126.767769,율북마을,전라북도 군산시 개정면 아동리 254-2번지,platform,yes
35.96485,126.719761,보건소,전라북도 군산시 수송동 16-6번지,platform,yes
35.9532,126.724817,신당마을,전라북도 군산시 옥산면 당북리 411-28번지,platform,yes
36.040677,126.862412,신방마을,전라북도 군산시 나포면 나포리 59-3번지,platform,yes
35.918875,126.643736,신성산,전라북도 군산시 옥서면 옥봉리 1292-18번지,platform,yes
35.818658,126.477114,새만금광장,전라북도 군산시 옥도면 신시도리 산4-162번지,platform,yes
35.992386,126.707509,도선장,전라북도 군산시 금동 61-6번지,platform,yes
35.970202,126.684426,동아아파트,전라북도 군산시 소룡동 1452번지,platform,yes
36.006571,126.794195,동요,전라북도 군산시 성산면 여방리 726-3번지,platform,yes
35.944686,126.689933,군산시평생학습관,전라북도 군산시 미룡동 903-1번지,platform,yes
35.97321,126.653469,롯데주류,전라북도 군산시 소룡동 633-1번지,platform,yes
35.939685,126.772662,망동마을,전라북도 군산시 옥산면 남내리 106-1번지,platform,yes
35.963948,126.724811,LH휴먼시아APT,전라북도 군산시 미장동 56-79번지,platform,yes
36.009913,126.836751,부곡저수지,전라북도 군산시 나포면 부곡리 27-8번지,platform,yes
35.935487,126.526194,비응항(월명유람선),전라북도 군산시 비응도동 92번지,platform,yes
35.938567,126.53173,비응항환승장,전라북도 군산시 비응도동 99번지,platform,yes
35.964657,126.750036,사정금호2차아파트,전라북도 군산시 사정동 119-32번지,platform,yes
36.011617,126.866814,산간마을,전라북도 군산시 서수면 축동리 122-1번지,platform,yes
35.976679,126.709617,삼학대우,전라북도 군산시 삼학동 812-41번지,platform,yes
35.911724,126.663633,상산,전라북도 군산시 옥구읍 어은리 609-22번지,platform,yes
35.978364,126.70566,서문교회,전라북도 군산시 신풍동 1000-10번지,platform,yes
35.980478,126.847869,서상마을,전라북도 군산시 임피면 읍내리 166번지,platform,yes
36.013912,126.878946,서수농공단지,전라북도 군산시 서수면 마룡리 26-34번지,platform,yes
35.958537,126.586544,인력개발원,전라북도 군산시 소룡동 1637-7번지,platform,yes
36.044401,126.89372,입남,전라북도 익산시 함라면 신등리 산79-1번지,platform,yes
35.982779,126.75428,잠두,전라북도 군산시 구암동 156-2번지,platform,yes
35.988574,126.716215,진포해양테마공원,전라북도 군산시 장미동 10-1번지,platform,yes
35.983045,126.710762,창성주공아파트,전라북도 군산시 명산동 16-6번지,platform,yes
35.936049,126.704446,척동,전라북도 군산시 옥구읍 옥정리 133-3번지,platform,yes
36.020452,126.764775,철새조망대,전라북도 군산시 성산면 성덕리 421-7번지,platform,yes
35.955831,126.66856,미성삼거리,전라북도 군산시 산북동 385-17번지,platform,yes
35.927414,126.77927,표산마을,전라북도 군산시 회현면 원우리 539-25번지,platform,yes
35.919065,126.768818,풍촌,전라북도 군산시 회현면 학당리 606-5번지,platform,yes
36.021082,126.736083,하구둑관광단지,충청남도 서천군 마서면 도삼리 230-4번지,platform,yes
35.9639,126.71844,수송동주민센터,전라북도 군산시 수송동 17-1번지,platform,yes
35.927774,126.717861,한림,전라북도 군산시 옥산면 당북리 산148-1번지,platform,yes
36.062407,126.918584,함라중학교,전라북도 익산시 함라면 금성리 산137-6번지,platform,yes
36.045968,126.85442,혜곡,전라북도 군산시 나포면 나포리 714-1번지,platform,yes
35.988736,126.880426,호산,전라북도 군산시 서수면 서수리 1635번지,platform,yes
36.047184,126.705806,홍덕리,충청남도 서천군 마서면 덕암리 550-2번지,platform,yes
35.912724,126.75662,회현면사무소,전라북도 군산시 회현면 대정리 59-2번지,platform,yes
35.913574,126.755852,회현중학교,전라북도 군산시 회현면 대정리 28-5번지,platform,yes
35.969837,126.546744,대우로지스틱스,전라북도 군산시 오식도동 500-9,platform,yes
36.007747,126.757539,채만식문학관,전라북도 군산시 내흥동 322-6번지,platform,yes
35.973065,126.784493,와룡,전라북도 군산시 개정면 운회리 112-8번지,platform,yes
35.905193,126.758264,금당,전라북도 군산시 회현면 금광리 625-5번지,platform,yes
35.998105,126.870057,행운가든(수서저수지),전라북도 군산시 서수면 마룡리 820-2번지,platform,yes
35.973449,126.890555,신기,전라북도 군산시 임피면 영창리 43-4번지,platform,yes
35.950355,126.866584,금암,전라북도 군산시 대야면 접산리 496-28번지,platform,yes
35.893574,126.857327,대신,전라북도 김제시 청하면 대청리 237-10번지,platform,yes
35.97249,126.771575,충량마을,전라북도 군산시 개정면 아동리 390-1번지,platform,yes
35.964499,126.76783,율북마을,전라북도 군산시 개정면 아동리 230-9번지,platform,yes
35.944004,126.720352,원당마을,전라북도 군산시 옥산면 당북리 539-5번지,platform,yes
35.95229,126.830595,외덕물문교,전라북도 군산시 대야면 보덕리 290-1번지,platform,yes
35.950769,126.842032,고척마을,전라북도 군산시 대야면 죽산리 710-6번지,platform,yes
36.080688,126.967096,함열여고,전라북도 익산시 함열읍 와리 226-6번지,platform,yes
35.950362,126.75203,봉서마을,전라북도 군산시 옥산면 쌍봉리 618-6번지,platform,yes
36.020205,126.699456,장항초교,충청남도 서천군 장항읍 창선2리 39-2번지,platform,yes
35.9537,126.549035,KB중공업,전라북도 군산시 오식도동 865-5번지,platform,yes
35.821977,126.476772,신시도입구,전라북도 군산시 옥도면 신시도리 262-1번지,platform,yes
35.910124,126.645272,구호촌,전라북도 군산시 옥서면 옥봉리 1261-1번지,platform,yes
35.971516,126.702789,우진아파트,전라북도 군산시 나운동 1496-4번지,platform,yes
35.976216,126.785146,운회교회,전라북도 군산시 개정면 운회리 378-9번지,platform,yes
35.969622,126.706429,주공5차,전라북도 군산시 문화동 27-8번지,platform,yes
35.959636,126.719155,한라비발디아파트,전라북도 군산시 수송동 21-60번지,platform,yes
35.95233,126.652085,미성동,전라북도 군산시 산북동 3153번지,platform,yes
35.979258,126.672897,소룡동제이파크,전라북도 군산시 소룡동 524번지,platform,yes
36.064712,126.924142,간성마을,전라북도 익산시 함라면 금성리 593-7번지,platform,yes
35.920458,126.710298,개정,전라북도 군산시 옥구읍 이곡리 550-2번지,platform,yes
