위도,경도,highway,public_transport,bus,name,addr:full,source,source:date
37.11207,128.11183,bus_stop,platform,yes,원박리,충청북도 제천시 봉양읍 연박리 287-1,공공데이터포털,2020-04-28
37.107722,128.125336,bus_stop,platform,yes,삼거리,충청북도 제천시 봉양읍 삼거리 1338-5,공공데이터포털,2020-04-28
37.107722,128.125336,bus_stop,platform,yes,삼거리,충청북도 제천시 봉양읍 삼거리 1338-5,공공데이터포털,2020-04-28
37.133886,128.152505,bus_stop,platform,yes,태산정사,충청북도 제천시 봉양읍 장평리 236-5,공공데이터포털,2020-04-28
37.13378,128.151436,bus_stop,platform,yes,태산정사,충청북도 제천시 봉양읍 장평리 236-4,공공데이터포털,2020-04-28
37.133524,128.147271,bus_stop,platform,yes,봉양읍,충청북도 제천시 봉양읍 장평리 191-19,공공데이터포털,2020-04-28
37.130685,128.132375,bus_stop,platform,yes,봉양지구대,충청북도 제천시 봉양읍 장평리 795-3,공공데이터포털,2020-04-28
37.131405,128.147672,bus_stop,platform,yes,장평리 봉양방면,충청북도 제천시 봉양읍 장평리 596-25,공공데이터포털,2020-04-28
37.160957,128.171712,bus_stop,platform,yes,미당리 농업기술센터,충청북도 제천시 봉양읍 미당리 1020-3,공공데이터포털,2020-04-28
37.160007,128.174626,bus_stop,platform,yes,미당리 농업기술센터,충청북도 제천시 봉양읍 미당리 218-3,공공데이터포털,2020-04-28
37.149671,128.124708,bus_stop,platform,yes,동일레미콘앞,충청북도 제천시 봉양읍 봉양리 497-2,공공데이터포털,2020-04-28
37.149671,128.124708,bus_stop,platform,yes,동일레미콘앞,충청북도 제천시 봉양읍 봉양리 497-2,공공데이터포털,2020-04-28
37.170927,128.099035,bus_stop,platform,yes,옥전리,충청북도 제천시 봉양읍 옥전리 254,공공데이터포털,2020-04-28
37.171107,128.098923,bus_stop,platform,yes,옥전리,충청북도 제천시 봉양읍 옥전리 253-6,공공데이터포털,2020-04-28
37.173411,128.09173,bus_stop,platform,yes,옥전길,충청북도 제천시 봉양읍 옥전리 286-3,공공데이터포털,2020-04-28
37.173411,128.09173,bus_stop,platform,yes,옥전길,충청북도 제천시 봉양읍 옥전리 286-3,공공데이터포털,2020-04-28
37.18331,128.071909,bus_stop,platform,yes,노목종점(옥전2리 마을회관 앞),충청북도 제천시 봉양읍 옥전리 542,공공데이터포털,2020-04-28
37.171387,128.097944,bus_stop,platform,yes,옥전길,충청북도 제천시 봉양읍 옥전리 977,공공데이터포털,2020-04-28
37.171387,128.097944,bus_stop,platform,yes,옥전길,충청북도 제천시 봉양읍 옥전리 977,공공데이터포털,2020-04-28
37.150808,128.146708,bus_stop,platform,yes,일진제2공장,충청북도 제천시 봉양읍 명도리 604,공공데이터포털,2020-04-28
37.089389,128.111594,bus_stop,platform,yes,마곡리,충청북도 제천시 봉양읍 마곡리 617-1,공공데이터포털,2020-04-28
37.089389,128.111594,bus_stop,platform,yes,마곡리,충청북도 제천시 봉양읍 마곡리 617-1,공공데이터포털,2020-04-28
37.088923,128.117555,bus_stop,platform,yes,마곡리(벚나무길),충청북도 제천시 봉양읍 마곡리 633,공공데이터포털,2020-04-28
37.133416,128.10548,bus_stop,platform,yes,연박리(마곡입구 삼거리),충청북도 제천시 봉양읍 연박리 1048-4,공공데이터포털,2020-04-28
37.110822,128.155519,bus_stop,platform,yes,삼거리 풍미산장 앞,충청북도 제천시 봉양읍 삼거리 245-4,공공데이터포털,2020-04-28
37.199467,128.125445,bus_stop,platform,yes,명암리,충청북도 제천시 봉양읍 명암리 437,공공데이터포털,2020-04-28
37.199467,128.125445,bus_stop,platform,yes,명암리,충청북도 제천시 봉양읍 명암리 437,공공데이터포털,2020-04-28
37.190501,128.141041,bus_stop,platform,yes,명암리(목우동),충청북도 제천시 봉양읍 명암리 537-1,공공데이터포털,2020-04-28
37.189981,128.139373,bus_stop,platform,yes,명암리(539펜션 앞),충청북도 제천시 봉양읍 명암리 539-1,공공데이터포털,2020-04-28
37.17936,128.128373,bus_stop,platform,yes,봉양명암미륵당,충청북도 제천시 봉양읍 명암리 642-3,공공데이터포털,2020-04-28
37.17936,128.128373,bus_stop,platform,yes,봉양명암미륵당,충청북도 제천시 봉양읍 명암리 642-3,공공데이터포털,2020-04-28
37.194592,128.162699,bus_stop,platform,yes,명암리 밤나무골 앞,충청북도 제천시 봉양읍 명암리 663,공공데이터포털,2020-04-28
37.133316,128.115913,bus_stop,platform,yes,봉양초 입구 삼거리,충청북도 제천시 봉양읍 연박리 1459-1,공공데이터포털,2020-04-28
37.11442,128.113983,bus_stop,platform,yes,닷돈이 ,충청북도 제천시 봉양읍 연박리 361-1,공공데이터포털,2020-04-28
37.114121,128.115884,bus_stop,platform,yes,닷돈이 앞,충청북도 제천시 봉양읍 연박리 1453-39,공공데이터포털,2020-04-28
37.098889,128.087544,bus_stop,platform,yes,자양영당,충청북도 제천시 봉양읍 공전리 486-7,공공데이터포털,2020-04-28
37.098799,128.087724,bus_stop,platform,yes,자양영당 앞,충청북도 제천시 봉양읍 공전리 486-2,공공데이터포털,2020-04-28
37.099727,128.088231,bus_stop,platform,yes,장담마을,충청북도 제천시 봉양읍 공전리 461-16,공공데이터포털,2020-04-28
37.099664,128.088434,bus_stop,platform,yes,장담마을 앞,충청북도 제천시 봉양읍 공전리 461-8,공공데이터포털,2020-04-28
37.088284,128.1168,bus_stop,platform,yes,마곡리 문화생활관,충청북도 제천시 봉양읍 마곡리 566-1,공공데이터포털,2020-04-28
37.088284,128.1168,bus_stop,platform,yes,마곡리 문화생활관앞,충청북도 제천시 봉양읍 마곡리 566-1,공공데이터포털,2020-04-28
37.089394,128.147994,bus_stop,platform,yes,삼거리(본동),충청북도 제천시 봉양읍 삼거리 490-1,공공데이터포털,2020-04-28
37.089394,128.147994,bus_stop,platform,yes,삼거리(본동),충청북도 제천시 봉양읍 삼거리 490-1,공공데이터포털,2020-04-28
37.069049,128.145166,bus_stop,platform,yes,사곡리,충청북도 제천시 금성면 사곡리 467-1,공공데이터포털,2020-04-28
