위도,경도,public_transport,bus,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.49326,129.12457,platform,yes,주유소앞(효가.시청방면),,2020-11-24,,,1049,송정동,,,
37.50678,129.10313,platform,yes,지흥골숫골입구(북평.삼척방면),,2020-11-24,,,498-3,지흥동,,,
37.50753,129.10341,platform,yes,북삼동숫골입구(시청방면),강원도 동해시 지흥동 산54-1,2020-11-24,,,,지흥동,,,
37.5798,129.11264,platform,yes,대진(발한.시청방면),,2020-11-24,,,32-5,대진동,,,
37.57994,129.11264,platform,yes,대진(대진종점),,2020-11-24,,,196-4,대진동,,,
37.57538,129.1167,platform,yes,대진등대(발한.시청방면),,2020-11-24,,,185,대진동,,,
37.57539,129.1169,platform,yes,대진등대(대진방면),,2020-11-24,,,199-6,대진동,,,
37.5776,129.11551,platform,yes,대진삼거리(발한.시청방면),,2020-11-24,,,148-8,대진동,,,
37.5781,129.11515,platform,yes,대진동(대진방면),,2020-11-24,,,10-16,대진동,,,
37.47914,129.10615,platform,yes,동성교회(삼화.무릉방면),,2020-11-24,,,431-3,이도동,,,
37.4791,129.1062,platform,yes,동성교회(북평.시청방면),,2020-11-24,,,452-6,이도동,,,
37.47212,129.13836,platform,yes,만리사(북평.삼척방면),,2020-11-24,,,541,대구동,,,
37.47257,129.13723,platform,yes,북평공단(북평.시청방면),,2020-11-24,,,542,대구동,,,
37.55525,129.11644,platform,yes,논골길(등대방면),,2020-11-24,,,102-3,묵호진동,,,
37.55373,129.11624,platform,yes,논골담길(대진.시청방면),,2020-11-24,,,38-4,묵호진동,,,
37.48287,129.12645,platform,yes,북평농협(북평.삼척방면),,2020-11-24,,,15-3,북평동,,,
37.48385,129.12596,platform,yes,북평동주민센터(시청.발한방면),,2020-11-24,,,8-1,북평동,,,
37.56774,129.07529,platform,yes,만우골프장(발한.시청방면),,2020-11-24,,,72-1,만우동,,,
37.56778,129.07516,platform,yes,만우골프장(만우방면),,2020-11-24,,,72-1,만우동,,,
37.53063,129.10449,platform,yes,제1함대사령부(시청.북평방면),,2020-11-24,,,200-4,평릉동,,,
37.53043,129.10493,platform,yes,제1함대사령부(발한.옥계방면),,2020-11-24,,,184-1,평릉동,,,
37.55821,129.12124,platform,yes,횟집타운(발한.시청방면),,2020-11-24,,,2-47,묵호진동,,,
37.55833,129.12117,platform,yes,꿈의궁전동해비치호텔(대진방면),,2020-11-24,,,2-34,묵호진동,,,
37.5231,129.11642,platform,yes,동해시보건소(북평.대동방면),,2020-11-24,,,842,천곡동,,,
37.52257,129.11693,platform,yes,동해시보건소(시청.발한방면),,2020-11-24,,,841,천곡동,,,
37.51206,129.0272,platform,yes,동해시승화원(신흥방면),강원도 동해시 신흥동 산12-4,2020-11-24,,,,신흥동,,,
37.51196,129.0272,platform,yes,동해시승화원(대동.북평방면),강원도 동해시 신흥동 산9-1,2020-11-24,,,,신흥동,,,
37.49751,129.12508,platform,yes,동해역(북평.추암방면),,2020-11-24,,,841-25,송정동,,,
37.4977,129.12526,platform,yes,동해역(효가.시청방면),,2020-11-24,,,846-32,송정동,,,
