위 도,경 도,internet_access,internet_access:fee,internet_access:operator,start_date,addr:full,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.257809,128.521046,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 호계안길 91, 서광2차아파트",,호계안길,91,내서읍,,,
35.268282,128.523893,wlan,no,LGU+,2020-06-01,"경상남도 창원시 마산회원구 내서읍 광려천북로 208,(화인태양맨션)",,광려천북로,208,내서읍,,,
35.236306,128.587822,wlan,no,SKB,2020-06-01,,,합성남15길,5,,,,
35.236112,128.587953,wlan,no,SKB,2020-06-01,,,합성남15길,9,,,,
35.235695,128.590074,wlan,no,SKB,2020-06-01,,,합성남19길,4,,,,
35.240284,128.589795,wlan,no,SKB,2020-06-01,,,합성동13길,9,,,,
35.255839,128.520392,wlan,no,SKB,2020-06-01,,,호계안길,22,내서읍,,,
35.241004,128.586205,wlan,no,SKB,2020-06-01,,,합성옛길,224,,,,
35.178927,128.560266,wlan,no,SKB,2020-06-01,,,월영동서로,10,,,,
35.255803,128.513265,wlan,no,SKB,2020-06-01,,,유통단지로,35,내서읍,,,
35.256812,128.6072,wlan,no,SKB,2020-06-01,,,의창대로,67,,,,
35.119616,128.582076,wlan,no,SKB,2020-06-01,,,수정1길,62-44,구산면,,,
35.150555,128.377778,wlan,no,SKB,2020-06-01,,,의산삼일로,195,진전면,,,
35.355635,128.654508,wlan,no,SKB,2020-06-01,,,동읍로1187번길,16-4,동읍,,,
35.3169,128.595772,wlan,no,SKB,2020-06-01,,,동전무동길,36-7,북면,,,
35.202325,128.571018,wlan,no,LGU+;SKB,2020-06-01,,,동서남1길,5,,,,
35.128642,128.464267,wlan,no,SKB,2020-06-01,,,대평길,46,진북면,,,
35.138054,128.484442,wlan,no,SKB,2020-06-01,,,망곡길,150,진북면,,,
35.137699,128.486691,wlan,no,SKB,2020-06-01,,,연동1길,41,진북면,,,
35.117486,128.453504,wlan,no,SKB,2020-06-01,,,의림로,99,진북면,,,
35.134582,128.462965,wlan,no,SKB,2020-06-01,,,학동로,238,진북면,,,
35.126244,128.437307,wlan,no,SKB,2020-06-01,,,진북정곡길,267,진북면,,,
35.115737,128.464892,wlan,no,SKB,2020-06-01,,,지산1길,66,진북면,,,
35.115267,128.468642,wlan,no,SKB,2020-06-01,,,지산5길,59,진북면,,,
35.119431,128.393727,wlan,no,SKB,2020-06-01,,,동산1길,32-7,진전면,,,
35.119681,128.394169,wlan,no,SKB,2020-06-01,,,동산1길,59,진전면,,,
35.131308,128.368973,wlan,no,SKB,2020-06-01,,,팔의사로,209,진전면,,,
35.100205,128.416426,wlan,no,SKB,2020-06-01,,,대실로,120,진전면,,,
35.098295,128.431137,wlan,no,SKB,2020-06-01,경상남도 창원시 마산합포구 진전면 오서리 31-6,,,31-6,진전면,,,
35.101853,128.416691,wlan,no,SKB,2020-06-01,경상남도 창원시 마산합포구 진전면 오서리 637-3,,,637-3,진전면,,,
35.150879,128.400753,wlan,no,SKB,2020-06-01,,,미천1길,68,진전면,,,
35.189239,128.564548,wlan,no,KT,2020-06-01,,,,2-120,월포동,,,
35.277108,128.700344,wlan,no,KT;SKB,2018-04-01,,,자여로,64,동읍,,,
35.29961,128.602767,wlan,no,KT;SKB,2018-04-01,,,천주로,483-7,북면,,,
35.265176,128.620625,wlan,no,KT;SKB,2018-04-01,,,읍성로,25,,,,
35.257275,128.599992,wlan,no,LGU+;SKB,2018-04-01,,,소계로84번길,7,,,,
35.232523,128.650511,wlan,no,KT;SKB,2018-04-01,,,대원로27번길,28,,,,
35.245781,128.649145,wlan,no,KT;SKB,2018-04-01,,,명지로122번길,20,,,,
35.243279,128.641763,wlan,no,KT;SKB,2018-04-01,,,우곡로101번길,28,,,,
35.242373,128.682047,wlan,no,KT;SKB,2018-04-01,,,창이대로,415,,,,
35.227793,128.692296,wlan,no,KT;SKB,2018-04-01,,,신월로,48,,,,
35.240625,128.662497,wlan,no,LGU+;SKB,2018-04-01,,,반송로,52,,,,
35.217375,128.669514,wlan,no,KT;SKB,2018-04-01,,,연덕로184번길,35,,,,
35.221819,128.698309,wlan,no,KT;SKB,2018-04-01,,,창이대로706번길,16-23,,,,
35.208619,128.697185,wlan,no,KT;SKB,2018-04-01,,,원이대로883번길,15-38,,,,
35.262246,128.523372,wlan,no,KT;SKB,2018-04-01,,,호원로,323,내서읍,,,
35.099831,128.814376,wlan,no,SKB,2020-03-01,,,,1219-3,용원동,,,
35.182526,128.563165,wlan,no,SKB,2019-07-01,,,월영동북로,15,,,,
35.158748,128.658824,wlan,no,KT,2019-03-01,,,여명로25번길,55,,,,
35.218703,128.682683,wlan,no,SKB,2019-12-01,,,마디미로73번길,12,,,,
