위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.2505672,126.5720227,휴게음식점,요거프레소제주동홍점,제주특별자치도 서귀포시 태평로 509 2층 209호 (동홍동 제이원타워),제주특별자치도 서귀포시 동홍동 179번지 ,2018-02-23
33.2522495,126.5107549,휴게음식점,못난이찹쌀꽈배기신시가지점,제주특별자치도 서귀포시 신서귀로 35 (법환동 신시가지점),제주특별자치도 서귀포시 법환동 740번지 5호 ,2018-02-23
33.2825685,126.2875448,휴게음식점,바람곶,제주특별자치도 서귀포시 대정읍 중산간서로 2576 나동,제주특별자치도 서귀포시 대정읍 신평리 565번지 5호 ,2018-02-23
33.2800152,126.7216566,휴게음식점,씨유서귀남원태위로점,제주특별자치도 서귀포시 남원읍 태위로 703,제주특별자치도 서귀포시 남원읍 남원리 209번지 1호 ,2018-02-23
33.2503593,126.5681351,휴게음식점,슈가얌,제주특별자치도 서귀포시 동홍로 20 (서귀동),제주특별자치도 서귀포시 서귀동 250번지 19호 ,2018-02-23
33.236924,126.297902,휴게음식점,바람불어좋은날,제주특별자치도 서귀포시 안덕면 사계로 68,제주특별자치도 서귀포시 안덕면 사계리 2982번지 1호 ,2018-02-23
33.4268965,126.8647243,휴게음식점,GS25성산수산점,제주특별자치도 서귀포시 성산읍 서성일로 872-18,  ,2018-02-23
33.2442635,126.5599329,휴게음식점,제주특산품할인마트휴게음식점,제주특별자치도 서귀포시 남성중로 2-11 (서홍동),제주특별자치도 서귀포시 서홍동 668번지 ,2018-02-23
33.4621467,126.9364271,휴게음식점,세븐일레븐성산일출봉점,제주특별자치도 서귀포시 성산읍 일출로 284-12 2호,제주특별자치도 서귀포시 성산읍 성산리 114번지 ,2018-02-23
33.2480975,126.5624592,휴게음식점,세븐일레븐서귀포스타점(농업법인헬로팜(주)),제주특별자치도 서귀포시 중정로 57 (서귀동),제주특별자치도 서귀포시 서귀동 293번지 3호 ,2018-02-23
33.2540281,126.5590945,휴게음식점,세븐일레븐서귀포시청점,제주특별자치도 서귀포시 홍중로 12 1층 (서홍동),제주특별자치도 서귀포시 서홍동 440번지 2호 ,2018-02-23
33.2297757,126.293107,휴게음식점,향스토리,제주특별자치도 서귀포시 안덕면 사계남로 102 1층,제주특별자치도 서귀포시 안덕면 사계리 2166번지 3호 ,2018-02-23
33.233888,126.484374,휴게음식점,씨유서귀강정천점,제주특별자치도 서귀포시 이어도로 638 1층 (강정동),제주특별자치도 서귀포시 강정동 2881번지 6호 ,2018-02-23
33.3211393,126.8306756,휴게음식점,씨유제주표선마을점,제주특별자치도 서귀포시 표선면 표선동서로 192,제주특별자치도 서귀포시 표선면 표선리 1018번지 4호 ,2018-02-23
33.2644895,126.3924634,휴게음식점,상예휴게마트,제주특별자치도 서귀포시 우남로2번길 8 1층 (상예동),제주특별자치도 서귀포시 상예동 1717번지 6호 ,2018-02-23
33.2352359,126.3129553,휴게음식점,몽마르카부덴,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-68 1층,제주특별자치도 서귀포시 안덕면 사계리 171번지 ,2018-02-23
33.259148,126.5727969,휴게음식점,씨유서귀동홍중앙점,제주특별자치도 서귀포시 동홍북로 74 (동홍동),제주특별자치도 서귀포시 동홍동 65번지 1호 ,2018-02-23
