위도,경도,연번,name,cuisine,addr:full,phone,기타,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
34.984077,126.962474,1,남도명가,,,061-371-0085,,2020-09-25,,능주농공길,3,능주면,,,
34.991046,126.956823,2,빛고을회관,청국장,,061-372-1616,,2020-09-25,,석고길,13,능주면,,,
34.984805,126.962224,3,전원,짱뚱어탕,,061-372-1663,"남도명가, 모범",2020-09-25,,죽수길,4,능주면,,,
35.017017,126.912507,4,남도의 향기,애호박찌개,,061-373-8989,,2020-09-25,,지강로,212,도곡면,,,
35.019288,126.908537,5,둥근지붕,게장.조림,,061-371-3333,,2020-09-25,,지강로,260,도곡면,,,
35.020478,126.906505,6,쭈꾸미사랑,쭈꾸미피자쌈,"전라남도 화순군 도곡면 지강로 279,1층",061-371-0008,,2020-09-25,,지강로,,도곡면,,,
35.032559,126.907046,7,시골돼지담양숯불갈비,담양식돼지갈비,,061-375-8833,,2020-09-25,,지강로,431,도곡면,,,
35.033355,126.907899,8,색동두부,포두부보쌈,,061-375-5066,"남도명가, 모범",2020-09-25,,지강로,438,도곡면,,,
35.034264,126.907598,9,만강장어명품관,장어구이,,061-375-5525,,2020-09-25,,지강로,444,도곡면,,1,
35.040149,126.905343,10,옥수정,한정식,,061-371-7881,,2020-09-25,,지강로,514,도곡면,,,
35.042372,126.904398,11,달맞이 흑두부,흑두부보쌈,,061-375-8465,"남도명가, 모범",2020-09-25,,지강로,542,도곡면,,,
35.043461,126.904253,12,수려재,떡갈비,,061-374-4400,,2020-09-25,,지강로,558,도곡면,,,
34.983721,126.893047,13,구백가든,해물전골,,061-373-8117,,2020-09-25,,천태로,1020,도곡면,,,
35.029606,127.048866,14,달맞이 흑두부,흑두부보쌈,전라남도 화순군 동면 충의로 849(천덕리 480),061-372-8465,"남도명가, 모범",2020-09-25,,충의로,849,동면,,,
35.163821,127.084242,15,적벽,"한정식, 곰탕",,061-370-5116,,2020-09-25,,옥리길,14-21,북면,,1,
35.064344,126.983984,16,석란,한정식,,061-375-5333,,2020-09-25,,교동길,20,화순읍,,,
35.060828,126.991113,17,다원정,감자탕,,061-375-7892,,2020-09-25,,만연로,60-8,화순읍,,,
35.073484,127.001106,18,금막동갈비,돼지갈비,,061-374-8892,,2020-09-25,,만연로,66-8,화순읍,,,
35.053101,126.988356,19,약산흑염소,흑염소탕,,061-373-9292,"남도명가, 모범",2020-09-25,,상삼2길,13-9,화순읍,,,
35.068717,126.988758,20,오메!인자오셨소,흑두부 ,,061-371-7722,,2020-09-25,,서양로,478,화순읍,,,
35.055577,126.973647,21,사평다슬기수제비,다슬기수제비 등,,061-372-6004,,2020-09-25,,서양로,79,화순읍,,,
35.070316,126.999233,22,저녁노을,갈치조림,,061-375-9797,,2020-09-25,,안양산로,68,화순읍,,,
35.062257,126.996263,23,예술보리밥,돌솥밥,,061-373-6789,,2020-09-25,,용곡1길,46,화순읍,,,
35.060614,126.982688,24,금강민물,쏘가리탕,,061-374-4898,,2020-09-25,,중앙로,11,화순읍,,,
35.064774,126.987535,25,수림정,한정식,전라남도 화순군 화순읍 진각로 154(신기리 242-2),061-374-6560,"남도명가, 모범",2020-09-25,,진각로,154,화순읍,,,
35.065213,126.987588,26,다도복집,복어취급,전라남도 화순군 화순읍 진각로 160(신기리 243-2),061-375-1547,,2020-09-25,,진각로,160,화순읍,,,
35.065824,126.987589,27,"달가 우리밀팥죽,칼국수",우리밀칼국수,,061-375-8889,,2020-09-25,,진각로,166,화순읍,,,
35.073952,126.989452,28,초향,"생고기, 구이",,061-375-4321,,2020-09-25,,진각로,260,화순읍,,,
35.05367,126.973856,29,백두대간,"생고기, 구이",,061-371-9292,,2020-09-25,,칠충로,13,화순읍,,,
35.040412,126.963047,30,경복궁,숯불돼지갈비,,061-371-2222,,2020-09-25,,학포로,2584-1,화순읍,,,
35.051069,126.961629,31,들녘,오리백숙,,061-371-1530,,2020-09-25,,학포로,2655,화순읍,,,
35.05055,126.965406,32,외갓집,흑염소탕,,061-375-1818,,2020-09-25,,학포로,2699,화순읍,,,
35.062622,126.986572,33,남해바다,"회, 회무침",,061-372-8555,,2020-09-25,,진각로,128,화순읍,,,
34.98189,126.891394,34,은성가든,"족발, 청국장",,061-373-9230,,2020-09-25,,천태로,996,도암면,,,
35.064589,126.989876,35,현대찜갈비,돼지갈비,,061-371-8295,,2020-09-25,,만연로,99,화순읍,,,
35.041485,126.904639,36,행복한임금님,퓨전한정식,,061-374-0211,,2020-09-25,,지강로,532,도곡면,,,
35.052943,126.977483,37,여미꽃,퓨전한정식,,061-375-5710,,2020-09-25,,서양로,41,화순읍,,,
