위도,경도,name,addr:full,cuisine,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.894439,128.61956,큐브30,,한식,2020-10-13,,동북로,261,복현동,,,
35.925145,128.546731,팔공산맥,"대구광역시 북구 칠곡중앙대로 329 (태전동,외 2필지)",한식,2020-10-13,,칠곡중앙대로,329,,,,
35.942889,128.559044,피제리아칠곡점,,경양식,2020-10-13,,동천로,125-15,동천동,,2,
35.885673,128.587758,한가네,대구광역시 북구 침산로21길 23 (칠성동2가),한식,2020-10-13,,침산로21길,23,,,,
35.932328,128.556463,한만수의통영멸치국수,,한식,2020-10-13,,동천로,5-15,동천동,,,
35.934982,128.556317,한서회,,일식,2020-10-13,,팔거천동로,122,동천동,,,
35.924882,128.546697,한통정육식당,,식육(숯불구이),2020-10-13,,칠곡중앙대로,327,태전동,,,
35.897046,128.616622,해바라기숯불갈비,,식육(숯불구이),2020-10-13,,공항로,10-10,복현동,,,
35.9046,128.609203,해송,,한식,2020-10-13,,유통단지로8길,21-29,산격동,,,
35.93715,128.605665,호야암소한마리,,식육(숯불구이),2020-10-13,,이곡길,24-1,서변동,,,
35.875894,128.596312,화요옥대구점,"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점)",식육(숯불구이),2020-10-13,,태평로,161,,,10,
35.947952,128.5741,황금코다리대구칠곡점,,식육(숯불구이),2020-10-13,,구리로,173,국우동,,,
35.904367,128.610476,황장군유통단지점,,식육(숯불구이),2020-10-13,,유통단지로8길,50,산격동,,,
35.88381,128.586928,황장군침산점,"대구광역시 북구 옥산로 106 (고성동3가,외 1필지)",한식,2020-10-13,,옥산로,106,,,,
