업종명,업소명,소재지(도로명),소재지(지번),위도,경도,데이터기준일자
제과점영업,시스터필드,제주특별자치도 서귀포시 월드컵로 8 1층 (강정동),제주특별자치도 서귀포시 강정동 231번지 2호 ,33.2489574,126.5073438,2018-02-23
제과점영업,봉주르마담,제주특별자치도 서귀포시 대청로 33 1층 (강정동),제주특별자치도 서귀포시 강정동 208번지 4호 ,33.2541205,126.560076,2018-02-23
제과점영업,로뎀베이커리,제주특별자치도 서귀포시 남원읍 남원체육관로 342 상가101호 (남원LH아파트),제주특별자치도 서귀포시 남원읍 남원리 40번지 1호 ,33.2784254,126.7000067,2018-02-23
제과점영업,금미대만대왕카스테라,제주특별자치도 서귀포시 중정로 56 1층 (서귀동),제주특별자치도 서귀포시 서귀동 424번지 ,33.24753,126.5624288,2018-02-23
제과점영업,파리바게뜨제주화순점,제주특별자치도 서귀포시 안덕면 화순중앙로 29 1층,제주특별자치도 서귀포시 안덕면 화순리 1291번지 8호 ,33.2496646,126.3357732,2018-02-23
제과점영업,디저트팩토리제주쇠소깍점,제주특별자치도 서귀포시 효돈순환로 217-3 1층 (하효동),제주특별자치도 서귀포시 하효동 951번지 1호 ,33.2565479,126.6215097,2018-02-23
제과점영업,채점석베이커리 혁신도시점,제주특별자치도 서귀포시 서호남로32번길 29 1층 (서호동),제주특별자치도 서귀포시 서호동 1554번지 4호 ,33.2318981,126.2977226,2018-02-23
제과점영업,제일성심당 성산항점,제주특별자치도 서귀포시 성산읍 성산등용로 130-21 1층,제주특별자치도 서귀포시 성산읍 성산리 347번지 9호 ,33.4721117,126.9331983,2018-02-23
제과점영업,브릭공장,제주특별자치도 서귀포시 성산읍 성산등용로 130-21 1층,제주특별자치도 서귀포시 성산읍 성산리 347번지 9호 ,33.4721117,126.9331983,2018-02-23
제과점영업,안덕농협사계지점베이커리,제주특별자치도 서귀포시 안덕면 사계북로 5,제주특별자치도 서귀포시 안덕면 사계리 3437번지 ,33.2307269,126.2920597,2018-02-23
제과점영업,게우지코지인갤러리,제주특별자치도 서귀포시 보목포로 179 1층 (하효동),제주특별자치도 서귀포시 하효동 1371번지 ,33.2421595,126.6100897,2018-02-23
제과점영업,핀크스베이커리,제주특별자치도 서귀포시 안덕면 산록남로762번길 79 지하1 지상1층,제주특별자치도 서귀포시 안덕면 상천리 795번지 ,33.3036005,126.39036,2018-02-23
제과점영업,파리바게뜨서귀포시강정지구,제주특별자치도 서귀포시 대청로 39 1층 101 102호 (강정동),제주특별자치도 서귀포시 강정동 208번지 7호  1층 101 102호 ,33.2541205,126.560076,2018-02-23
제과점영업,로타리과자점,제주특별자치도 서귀포시 동문로 16 1층 (서귀동),제주특별자치도 서귀포시 서귀동 286번지 31호 ,33.2516189,126.5628308,2018-02-23
제과점영업,미스터브레들리(Mr.Breadley),제주특별자치도 서귀포시 성산읍 동류암로 20 C동 1층,제주특별자치도 서귀포시 성산읍 고성리 297번지 1호 ,33.448917,126.9175588,2018-02-23
제과점영업,옵써빵집,제주특별자치도 서귀포시 표선면 표선동서로 240 1층,제주특별자치도 서귀포시 표선면 표선리 631번지 4호 ,33.3251759,126.8325861,2018-02-23
제과점영업,파리바게뜨신화월드점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 139 1층 (제주신화빌라스 일본테라스),제주특별자치도 서귀포시 안덕면 서광리 2518번지 제주신화빌라스 일본테라스 1층 ,33.301546,126.317122,2018-02-23
제과점영업,라이즈앤다인제과,제주특별자치도 서귀포시 태평로 436 1층 (서귀동),제주특별자치도 서귀포시 서귀동 162번지 1호 ,33.245396,126.5668909,2018-02-23
제과점영업,가파도청보리빵,제주특별자치도 서귀포시 법환로38번길 13 1층 (법환동),제주특별자치도 서귀포시 법환동 331번지 ,33.2381265,126.5135941,2018-02-23
제과점영업,위호텔델리,제주특별자치도 서귀포시 1100로 453-95 (회수동),제주특별자치도 서귀포시 회수동 30번지 ,33.2862186,126.4442655,2018-02-23
제과점영업,달달콤콤,제주특별자치도 서귀포시 일주동로 8106 1층 (하효동),제주특별자치도 서귀포시 하효동 314번지 1층 ,33.2622164,126.6206179,2018-02-23
제과점영업,(주)쿱스토어제주동홍점,제주특별자치도 서귀포시 동홍로 49-7 1층 (동홍동),제주특별자치도 서귀포시 동홍동 448번지 2호 ,33.253352,126.5671399,2018-02-23
제과점영업,세피베이글,제주특별자치도 서귀포시 동홍중앙로 58-16 1층 (동홍동),제주특별자치도 서귀포시 동홍동 472번지 9호 1층 ,33.2557864,126.5727888,2018-02-23
제과점영업,다올베이커리,제주특별자치도 서귀포시 태평로 554 (동홍동),제주특별자치도 서귀포시 동홍동 190번지 1호 ,33.2528509,126.5762661,2018-02-23
제과점영업,뚜레쥬르제주영어도시점,제주특별자치도 서귀포시 대정읍 에듀시티로 102 1층 106~108호 (한신더휴상가),제주특별자치도 서귀포시 대정읍 보성리 2417번지 ,33.286509,126.281098,2018-02-23
제과점영업,랜딩델리(Landing Deli),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 지하1층,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  지하1층 ,33.3052583,126.3149549,2018-02-23
제과점영업,본본델리(Bon Bon Deli),제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 1층,제주특별자치도 서귀포시 안덕면 서광리 산 24번지  1층 ,33.3052583,126.3149549,2018-02-23
제과점영업,아델린,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 호텔동 지하1층,제주특별자치도 서귀포시 안덕면 서광리 산 24번지 지하1층 호텔동 ,33.3052583,126.3149549,2018-02-23
제과점영업,달콤해,제주특별자치도 서귀포시 대정읍 상모로290번길 30 1층,제주특별자치도 서귀포시 대정읍 상모리 3938번지 1층 ,33.2238304,126.2555824,2018-02-23
