위도,경도,office,name,addr:full,phone,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.254703,126.519929,public_attorney,이룸행정사사무소,,+82 64 738 9495,2020-05-30,,서호중앙로,55,,,,
33.2498869,126.5676686,public_attorney,혜안행정사사무소,,+82 64 763 0740,2020-05-30,,516로97번길,2,,,,
33.221472,126.260719,public_attorney,진산행정사사무소,,+82 64 794 6424,2020-05-30,,상모로273번길,23,대정읍,,,
33.2448521,126.5718032,public_attorney,제주 행정사 사무소,,+82 64 733 1288,2020-05-30,,동홍서로,37,,,,
33.2802024,126.7162018,public_attorney,행정사 정창휴사무소,,,2020-05-30,,남원체육관로,289,남원읍,,,
33.247167,126.5510603,public_attorney,봄봄행정사사무소,,+82 64 762 0664,2020-05-30,,태평로,542,,,,
33.2535531,126.4266326,public_attorney,고중령행정사사무소,,+82 64 738 9588,2020-05-30,,중문상로,62,,,,
