위도,경도,office,name,operator,addr:full
35.14982679,129.1144673,estate_agent,(주)부동산중개법인 에스와이,정태미,"부산광역시 수영구 광남로 88 4층, 402호"
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,김윤영,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,김윤진,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,민순옥,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,송대윤,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,안수철,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,이영숙,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,이용규,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,최옥희,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,추혁,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,한상헌,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,홍성숙,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,황동욱,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.18541388,129.0806536,estate_agent,(주)부동산중개법인개벽,황태송,부산광역시 연제구 중앙대로 1091 602호(연산동)
35.1542267,129.0642823,estate_agent,(주)부동산중개법인동우홀딩스,서미화,"부산광역시 부산진구 전포대로199번길 15 1005호(전포동,현대오피스텔)"
35.14828501,129.0654779,estate_agent,(주)비앤비컴퍼니부동산중개,이동호,"부산광역시 남구 전포대로 133 4503(문현동, 문현금융단지 아이에프씨)"
35.14509355,128.9879915,estate_agent,(주)삼일로부동산중개,고진아,부산광역시 사상구 학감대로 157 (학장동)
35.14983976,129.0199967,estate_agent,(주)세븐부동산중개법인,오재민,"부산광역시 부산진구 복지로 36 2층, 201호 (개금동,금강블루빌)"
