위도,경도,operator,addr:full
37.5910096,127.0032284,성북동,서울특별시 성북구 성북로 37 성북동 주민센터 후문 주차장
37.5910096,127.0032284,성북동,서울특별시 성북구 성북로 37 성북동 주민센터 후문 주차장 앞 도로
37.5911454,127.0079042,성북동,서울특별시 성북구 동소문로3길 69(삼선중학교)
37.59405236,126.9987771,성북동,서울특별시 성북구 성북로 102-10(성북초등학교)
37.5940995,127.0032562,성북동,서울특별시 성북구 성북로 14가길 23(홍익사대부고)
37.5940409,126.9912731,성북동,서울특별시 성북구 성북로 31길 5-15(서울다원학교)
37.5921622,127.004745,성북동,서울특별시 성북구 성북로 8다길 17
37.5929667,126.9912446,성북동,서울특별시 성북구 성북로 29길 26-21
37.59233635,127.0111599,성북동,서울특별시 성북구 동소문로3길 101(송산아파트 101동 앞)
37.59233635,127.0111599,성북동,서울특별시 성북구 동소문로3길 101(송산아파트 103동 앞)
37.59084392,127.0146425,삼선동,서울특별시 성북구 보문로 190
37.5856164,127.0074398,삼선동,서울특별시 성북구 삼선교로4길 47-1
37.6041499,127.0284669,돈암1동,서울특별시 성북구 정릉로 404 현대아파트 경로당 앞
37.60385912,127.0276322,돈암1동,서울특별시 성북구 정릉로 402-16 범양아파트 관리사무소 앞
37.6024713,127.0281433,돈암1동,서울특별시 성북구 정릉로 52길 46 성일우리미아파트 101동 앞
37.602143,127.0262382,돈암1동,서울특별시 성북구 정릉로 388 동부센트레빌아파트 104동 앞
37.5972816,127.0208682,돈암1동,서울특별시 성북구 동소문로31길 6-1 대성유니드아파트 지하주차장
37.5960076,127.0231576,돈암1동,서울특별시 성북구 북악산로 913 풍림아파트 101동 앞
37.5960076,127.0231576,돈암1동,서울특별시 성북구 북악산로 913  풍림아파트 106동 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 108동 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 107동 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 관리사무소 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 102동 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 101동 앞
37.599028,127.0233899,돈암1동,서울특별시 성북구 동소문로 34길 24 돈암삼성아파트 103동 옆
37.5908381,127.0171039,돈암1동,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 105동 옆
37.5908381,127.0171039,돈암1동,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 104동 앞
37.5908381,127.0171039,돈암1동,서울특별시 성북구 동소문로 34길 73 금호어울림아파트 103동 관리사무소 앞
37.5975955,127.01787,돈암2동,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 101동과 102동 사이
37.5975955,127.01787,돈암2동,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 관리사무소 옆
37.5975955,127.01787,돈암2동,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 115동과 116동 앞
37.5975955,127.01787,돈암2동,서울특별시 성북구 북악산로 844 돈암브라운스톤아파트 104동 앞
37.5974374,127.0100538,돈암2동,서울특별시 성북구 아리랑로5길 85 돈암동더騁팎컷 107동 후문 앞
37.5974374,127.0100538,돈암2동,서울특별시 성북구 아리랑로5길 85 돈암동더騁팎컷 101동 쓰레기장
37.5986227,127.0150616,돈암2동,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 101동 재활용쓰레기장
37.5986227,127.0150616,돈암2동,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 103동 재활용쓰레기장
37.5986227,127.0150616,돈암2동,서울특별시 성북구 아리랑로 68 돈암힐스테이트아파트 105동 재활용쓰레기장
37.5979805,127.0129354,돈암2동,서울특별시 성북구 아리랑로5길 50-8 동소문현대아파트 101동 관리실 옆
