위도,경도,amenity,name,addr:full
37.44135421,127.1357417,bar,스케줄,"경기도 성남시 수정구 수정남로 71-1 (수진동,1층)"
37.4413047,127.1339003,bar,황제 7080,경기도 성남시 수정구 수정로 지하 122 (수진동)
37.44264359,127.1395693,bar,여궁,"경기도 성남시 수정구 시민로175번길 29-1, 지1층 (신흥동)"
37.43999624,127.1311806,bar,가인노래빵,"경기도 성남시 수정구 수정남로 29 (수진동,지층)"
37.44173635,127.1486882,bar,워싱턴,"경기도 성남시 수정구 산성대로 287 (신흥동,지층)"
37.44206049,127.1436556,bar,쎄봉 노래짱,"경기도 성남시 수정구 시민로 156, 2층 (신흥동)"
37.44323524,127.1416306,bar,잉카노래바,"경기도 성남시 수정구 시민로175번길 9 (신흥동,1층)"
37.44323524,127.1416306,bar,쇼우7080노래바,"경기도 성남시 수정구 시민로175번길 9 (신흥동,1층)"
37.44166289,127.1484969,bar,오렌지노래빵,"경기도 성남시 수정구 산성대로 285, 지하1층 (신흥동)"
37.44294688,127.1366727,bar,디올,"경기도 성남시 수정구 탄리로74번길 7-1 (태평동,지층)"
37.43944506,127.143335,bar,소나타노래빵,"경기도 성남시 수정구 산성대로 233, 지층 (신흥동)"
37.4434287,127.1409729,bar,딸기 노래빵,"경기도 성남시 수정구 수정로 190 (신흥동,지층)"
37.44187751,127.1432734,bar,아세안 노래바,"경기도 성남시 수정구 시민로 155 (신흥동,2층)"
37.44181468,127.1483031,bar,황진이,"경기도 성남시 수정구 산성대로283번길 6, 지하1층 (신흥동)"
37.44311507,127.142457,bar,보리,"경기도 성남시 수정구 수정남로 136 (신흥동,지하1층)"
37.44249565,127.1390511,bar,에이스노래빵,경기도 성남시 수정구 수정로170번길 6 (신흥동)
37.4416895,127.1471857,bar,별밤노래빠,"경기도 성남시 수정구 산성대로269번길 6-5 (신흥동,지하1층)"
37.44230851,127.1430651,bar,진주 노래빵,"경기도 성남시 수정구 시민로 159, 2층 (신흥동)"
37.4430212,127.1431813,bar,핑크노래빵,"경기도 성남시 수정구 시민로 168, 지하1층 (신흥동)"
37.44235729,127.138612,bar,썬샤인,경기도 성남시 수정구 시민로175번길 지하 39 (신흥동)
37.44140925,127.1358767,bar,조아조아노래짱,"경기도 성남시 수정구 수정남로 73 (수진동,(2층))"
