위도,경도,shop,name,addr:full
37.88690363,128.8256091,hairdresser,손미용실,강원도 강릉시 주문진읍 주문로 34
37.88070426,128.8260398,hairdresser,아트헤어,강원도 강릉시 주문진읍 연주로 317-1
37.76136102,128.9058048,hairdresser,시온헤어샾,강원도 강릉시 용지각길 20 (포남동)
37.75105038,128.8864244,hairdresser,그린미용실,강원도 강릉시 홍제로 33 (홍제동)
37.82317326,128.8490346,hairdresser,사천미용실,강원도 강릉시 사천면 미노길 63
37.76391682,128.9148916,hairdresser,레이디미용실,강원도 강릉시 강변로 508 (입암동)
37.76391246,128.8749569,hairdresser,이미숙뷰티,"강원도 강릉시 솔올로5번길 33, 104호 (교동)"
37.76373478,128.9067483,hairdresser,위드헤어,강원도 강릉시 남구길 3 (포남동)
37.76558981,128.9062516,hairdresser,윤정헤어벨,강원도 강릉시 경강로2245번길 21 (포남동)
37.76930767,128.9197482,hairdresser,신세계헤어타운,강원도 강릉시 남강초교2길 38 (포남동)
37.89064687,128.8256609,hairdresser,박영남헤어라인,강원도 강릉시 주문진읍 작은다리길 11
37.88544804,128.824693,hairdresser,누리머리방,강원도 강릉시 주문진읍 연주로 372-1
37.75329757,128.8998715,hairdresser,수향미용실,"강원도 강릉시 중앙시장2길 46-1 (성남동,새마을금고앞)"
37.89522165,128.8305321,hairdresser,엘림미용실,강원도 강릉시 주문진읍 주문로 143
37.89121671,128.8272356,hairdresser,지성미용실,강원도 강릉시 주문진읍 시장길 39 (2층)
37.89485481,128.8292941,hairdresser,아씨머리방,강원도 강릉시 주문진읍 주문로 133
37.75402359,128.8986233,hairdresser,유선미용실,강원도 강릉시 금성로 21 (성남동)
37.77104705,128.9122076,hairdresser,명헤어연출,강원도 강릉시 하평2길 7 (포남동)
37.77097392,128.9167069,hairdresser,라헬헤어,강원도 강릉시 하평3길 18 (포남동)
37.60851111,129.0346622,hairdresser,모델미용타운,강원도 강릉시 옥계면 현내시장길 84
37.88970807,128.8257157,hairdresser,대림미용타운,강원도 강릉시 주문진읍 주문로 65
37.74524805,128.8969554,hairdresser,신화미용실,강원도 강릉시 임영로 32-2 (노암동)
37.89578597,128.8314849,hairdresser,여왕헤어샵,강원도 강릉시 주문진읍 주문북로 10-1
37.89002849,128.8270282,hairdresser,머리가예쁜나라,"강원도 강릉시 주문진읍 시장길 25-1, 1층"
37.75263638,128.897349,hairdresser,차미랑헤어숍,강원도 강릉시 중앙시장2길 23 (성남동)
37.7610727,128.9049224,hairdresser,금강미용실,강원도 강릉시 용지각길 11 (포남동)
37.77539538,128.9130125,hairdresser,준영뷰티헤어샵,강원도 강릉시 강릉대로469번길 9 (포남동)
37.75313785,128.900112,hairdresser,미성미용실,강원도 강릉시 중앙시장3길 52-1 (성남동)
37.76783857,128.9051327,hairdresser,심미숙헤어샾,강원도 강릉시 강릉대로359번길 9 (포남동)
37.76970557,128.9149552,hairdresser,데일리헤어,강원도 강릉시 하평길 58 (포남동)
37.76436692,128.8907956,hairdresser,장헤어스케치,강원도 강릉시 옛강일길 57 (교동)
37.76419718,128.889764,hairdresser,머리쉼터,강원도 강릉시 옛강일길 47 (교동)
37.75815148,128.9060626,hairdresser,함은실미용타운,강원도 강릉시 수문길 60-1 (옥천동)
37.75426353,128.8912161,hairdresser,필헤어샵,강원도 강릉시 토성로 132 (용강동)
37.77336263,128.9116318,hairdresser,케어올데이,강원도 강릉시 강릉대로443번길 5 (포남동)
37.77078599,128.9169019,hairdresser,조엘헤어,강원도 강릉시 하평3길 16 (포남동)
37.76194086,128.8762303,hairdresser,블랙헤어샵,강원도 강릉시 정원로 53-9 (교동)
37.74668166,128.9025648,hairdresser,환희머리방,강원도 강릉시 노가니길 45 (노암동)
37.75866061,128.9201161,hairdresser,고영희헤어샾,"강원도 강릉시 성덕포남로 37, 205호 (입암동, 입암6주공아파트상가)"
37.76011332,128.9151949,hairdresser,박근혜헤어스튜디오,"강원도 강릉시 월대산로 43, 101호 (입암동, 입암5주공아파트상가)"
37.71487504,128.829347,hairdresser,소담미용실,강원도 강릉시 성산면 구산길 73
37.75585696,128.8997426,hairdresser,홍나영뷰티샵,강원도 강릉시 율곡로 2814 (옥천동)
37.75243322,128.8986416,hairdresser,은진미용실,"강원도 강릉시 중앙시장3길 36, 1층 (성남동)"
37.76189745,128.9076708,hairdresser,페이지헤어샵,강원도 강릉시 경강로2224번길 13 (포남동)
37.76472811,128.8809338,hairdresser,이가위헤어모드,강원도 강릉시 율곡초교길43번길 22 (교동)
37.77420641,128.9103623,hairdresser,오키헤어샵,강원도 강릉시 강릉대로443번길 19-1 (포남동)
37.77946982,128.9173261,hairdresser,송현주헤어팜,"강원도 강릉시 강릉대로527번길 8, 1층 (포남동)"
37.76490972,128.8908378,hairdresser,머리마당,"강원도 강릉시 화부산로 118 (교동,825-3)"
37.76311195,128.9075603,hairdresser,오투헤어,강원도 강릉시 경강로2234번길 4 (포남동)
37.87851704,128.8270258,hairdresser,뷰티헤어샵,강원도 강릉시 주문진읍 연주로 291
37.75261242,128.8942916,hairdresser,1040 헤어,강원도 강릉시 신대학길 8-1 (금학동)
37.76412346,128.8881872,hairdresser,굳 앤 에이스헤어,강원도 강릉시 화부산로 92-1 (교동)
37.75473276,128.9009907,hairdresser,까꼬뽀꼬헤어샵,강원도 강릉시 율곡로 2798 (성남동)
37.75434014,128.868188,hairdresser,머리이야기,"강원도 강릉시 선수촌로 11, 103호 (홍제동, 엘에이치미디어촌5단지)"
37.7627246,128.9035719,hairdresser,승빈미용실,강원도 강릉시 중기길 20 (포남동)
37.76903431,128.8840293,hairdresser,권민재헤어갤러리,"강원도 강릉시 가작로 71 (교동,부영상가 101호)"
37.76903431,128.8840293,hairdresser,장지연헤어넷,"강원도 강릉시 가작로 71 (교동,부영상가 204호)"
37.76199869,128.9049827,hairdresser,박계출헤어샵,강원도 강릉시 남구길5번길 25 (포남동)
37.75807604,128.8935125,hairdresser,훌러덩머리방,강원도 강릉시 강릉대로210번길 2 (교동)
37.87076023,128.836818,hairdresser,영진미용실,"강원도 강릉시 연곡면 영진길 6, 1층"
37.60990429,129.0363781,hairdresser,박애림미용실,강원도 강릉시 옥계면 현내시장길 61-1
37.6086704,129.0351675,hairdresser,향미미용실,강원도 강릉시 옥계면 현내시장길 79
37.76465328,128.909207,hairdresser,화이트 헤어샵,강원도 강릉시 경강로2256번길 4 (포남동)
37.75208933,128.8956288,hairdresser,이채림헤어,강원도 강릉시 금성로 53 (성남동)
37.76122141,128.9031118,hairdresser,우진미용실,강원도 강릉시 중기5길 13-2 (옥천동)
37.76966906,128.9120227,hairdresser,M.K 헤어,강원도 강릉시 성덕포남로182번길 33 (포남동)
37.77493067,128.9101298,hairdresser,요술가위미용실,강원도 강릉시 보래미상길 70-1 (포남동)
37.77211084,128.9121134,hairdresser,신데렐라 헤어뉴스,강원도 강릉시 강릉대로 436 (포남동)
37.76006572,128.9006624,hairdresser,희망미용실,"강원도 강릉시 옥천로 48, 1층 21호 (옥천동, 동부시장)"
37.74490931,128.8987184,hairdresser,영진헤어테크닉,강원도 강릉시 노암등길46번길 16 (노암동)
37.74598562,128.9023946,hairdresser,보궁헤어샵,강원도 강릉시 노암길42번길 19 (노암동)
37.74351057,128.8935348,hairdresser,김은선헤어코디,강원도 강릉시 남부로125번길 18 (노암동)
37.77597392,128.8724147,hairdresser,신아름미용실,강원도 강릉시 지변길 170 (지변동)
37.75772897,128.8890944,hairdresser,고은아미용실,"강원도 강릉시 강릉대로159번안길 12, 1층 (교동)"
37.76500108,128.8819372,hairdresser,맘스헤어,강원도 강릉시 원대로 115 (교동)
37.76429578,128.8812394,hairdresser,헤어짱,강원도 강릉시 교동광장로 149 (교동)
37.76312979,128.8798587,hairdresser,란헤어매직,"강원도 강릉시 교동광장로 138-13, 202호 (교동, 현대2차아파트상가)"
37.76884778,128.8935616,hairdresser,신유화머리방,강원도 강릉시 율곡로2968번길 25 (교동)
37.76625422,128.8833761,hairdresser,우리들헤어방,강원도 강릉시 가작로 78 (교동)
37.77112854,128.8814057,hairdresser,여우가머리하는날,"강원도 강릉시 원대로 191, 1층 (교동)"
37.74072064,128.8783054,hairdresser,미즈헤어크리닉,강원도 강릉시 관대길16번길 9 (내곡동)
37.73979101,128.8784438,hairdresser,크라크라미용실,강원도 강릉시 관대길 19 (내곡동)
37.75690009,128.9038084,hairdresser,모아헤어샵,강원도 강릉시 옥천로 7 (옥천동)
37.77524862,128.910999,hairdresser,헤어포인트,강원도 강릉시 강릉대로457번길 23 (포남동)
37.75478084,128.8902702,hairdresser,누리미용실,"강원도 강릉시 토성로123번길 7 (홍제동, 1층)"
37.77479512,128.9109167,hairdresser,이정윤미용실,강원도 강릉시 보래미하길53번길 16 (포남동)
37.75545116,128.9107203,hairdresser,헤어스투디오로리아,강원도 강릉시 용지로 42 (입암동)
37.76391704,128.908394,hairdresser,한성미용실,강원도 강릉시 경강로2246번길 4 (포남동)
37.77631955,128.9116532,hairdresser,노랑머리미용실,강원도 강릉시 강릉대로469번길 25 (포남동)
37.7594223,128.9067694,hairdresser,신머리방,"강원도 강릉시 용지로96번길 12, 1층 (포남동)"
37.76398619,128.9068721,hairdresser,최주원의 컬펌,강원도 강릉시 남구길 6-1 (포남동)
37.76287917,128.9083113,hairdresser,이민경헤어,강원도 강릉시 성덕포남로149번길 44 (포남동)
37.74929723,128.899775,hairdresser,한일미용실,강원도 강릉시 노가니길 8 (노암동)
37.74968598,128.8993868,hairdresser,레이디헤어,강원도 강릉시 노가니길 2 (노암동)
37.7571237,128.8887627,hairdresser,쥬쥬헤어클럽,강원도 강릉시 강릉대로 166 (교동)
37.76985739,128.8850895,hairdresser,민혜정헤어,"강원도 강릉시 가작로 85 (교동, 교동주공2단지아파트상가)"
37.76733985,128.8823996,hairdresser,밍크아리헤어샵,강원도 강릉시 원대로143번길 1 (교동)
37.78833169,128.9246286,hairdresser,이대석갤러리,강원도 강릉시 창해로 261 (강문동)
37.74503392,128.8839914,hairdresser,춤추는머리나라,강원도 강릉시 범일로 657 (내곡동)
37.76239437,128.9156362,hairdresser,가연이네머리방,강원도 강릉시 성덕포남로 95 (입암동)
37.77841641,128.9325328,hairdresser,미강미용실,"강원도 강릉시 팔송길35번길 30, 102호 (송정동, 삼익비치맨션상가)"
37.75840274,128.9021935,hairdresser,지예헤어아트,강원도 강릉시 옥천로 30 (옥천동)
37.89637296,128.830952,hairdresser,머리하는 날,강원도 강릉시 주문진읍 주문북로 17
37.89361275,128.8280647,hairdresser,현대미용실,강원도 강릉시 주문진읍 항구윗길 7
37.88977847,128.8259972,hairdresser,까까머리미용실,강원도 강릉시 주문진읍 주문로 66
37.7545185,128.8914219,hairdresser,이춘화 헤어붐,강원도 강릉시 토성로 133 (용강동)
37.76064165,128.9004823,hairdresser,인태리미용실,강원도 강릉시 옥가로50번길 2 (옥천동)
37.75695144,128.893607,hairdresser,멋쟁이헤어샵,강원도 강릉시 강릉대로210번길 13 (임당동)
37.75505587,128.8942302,hairdresser,홍수경헤어팜,강원도 강릉시 문화의길 13 (임당동)
37.7568256,128.8959369,hairdresser,미미헤어샵,강원도 강릉시 토성로 182 (임당동)
37.78448024,128.9174052,hairdresser,아름헤어,강원도 강릉시 초당원길 26-2 (초당동)
37.7644486,128.9080786,hairdresser,미다모아헤어샵,강원도 강릉시 경강로 2245 (포남동)
37.77448812,128.9099608,hairdresser,가람헤어샵,강원도 강릉시 강릉대로443번길 25 (포남동)
37.77367869,128.9106795,hairdresser,김헤어라인,강원도 강릉시 보래미길 48 (포남동)
37.77077696,128.9125968,hairdresser,현 헤어샵,"강원도 강릉시 하평2길 6, 207호 (포남동, 청송아파트상가)"
37.75236629,128.8838541,hairdresser,이수연헤어샵,강원도 강릉시 새냉이길 24 (홍제동)
37.75515453,128.8799999,hairdresser,머리나라,"강원도 강릉시 하슬라로 18 (홍제동,1층)"
37.89133168,128.8259279,hairdresser,노경헤어필,강원도 강릉시 주문진읍 주문로 83
37.7523629,128.8971967,hairdresser,변영애 헤어커커,강원도 강릉시 곶감전길 9 (성남동)
37.77179176,128.9143988,hairdresser,가위손미용실,"강원도 강릉시 하평3길 37, 1층 119호 (포남동, 일송아파트)"
37.75835991,128.9016603,hairdresser,뉴그린미용실,강원도 강릉시 경강로 2158-1 (옥천동)
37.76735624,128.9092964,hairdresser,김민영미용실,강원도 강릉시 남구길18번길 44 (포남동)
37.88069347,128.8264216,hairdresser,가위사랑미용실,강원도 강릉시 주문진읍 연주로 316
37.83940592,128.8765901,hairdresser,서선이헤어연구실,강원도 강릉시 사천면 진리해변길 83-1
37.76841143,128.9111552,hairdresser,우리헤어샵,강원도 강릉시 성덕포남로174번길 18 (포남동)
37.8932258,128.8276325,hairdresser,뉴준헤어,강원도 강릉시 주문진읍 항구로 55
37.7840674,128.9155108,hairdresser,헤어코리아미용실,강원도 강릉시 연당길 70 (초당동)
37.75913398,128.9008633,hairdresser,쭈니와비니,강원도 강릉시 옥천로 41 (옥천동)
37.76625422,128.8833761,hairdresser,엄쌤헤어,강원도 강릉시 가작로 78 (교동)
37.7425776,128.8939249,hairdresser,헤어팡,"강원도 강릉시 남부로125번길 8, 1층 (노암동)"
37.77062707,128.9170685,hairdresser,플러스 헤어,강원도 강릉시 하평3길 14 (포남동)
37.74265769,128.8922427,hairdresser,유정헤어,"강원도 강릉시 남부로125번길 11 (노암동,노암현대아파트 상가 101호)"
37.74498727,128.8998957,hairdresser,영숙헤어스케치,강원도 강릉시 노암등길 44 (노암동)
37.76180182,128.9161999,hairdresser,이미자 미용타운,"강원도 강릉시 성덕포남로 87, 상가동 105호 (입암동,입암주공4차아파트상가)"
37.77059955,128.9226487,hairdresser,이가자헤어비스,"강원도 강릉시 경강로 2398-10 (송정동, 이마트)"
37.74451728,128.8790951,hairdresser,아이비헤어샵,"강원도 강릉시 강변로 92, 상가동 101호 (회산동,회산주공)"
37.78037698,128.9172419,hairdresser,T=머리,강원도 강릉시 산양큰길 40-1 (포남동)
37.75332219,128.8959554,hairdresser,민헤어,강원도 강릉시 금성로42번길 5 (금학동)
37.75602805,128.9100487,hairdresser,미성헤어클럽,강원도 강릉시 용지로 52 (입암동)
37.766931,128.9044181,hairdresser,머리세상헤어,강원도 강릉시 강릉대로359번길 5-12 (포남동)
37.8504777,128.7930978,hairdresser,예쁜머리샵,강원도 강릉시 연곡면 신왕길 21-13
37.75333243,128.9073205,hairdresser,골드머리방,강원도 강릉시 강중길 24 (입암동)
37.78009526,128.9169338,hairdresser,송죽헤어샵,강원도 강릉시 산양큰길 36 (포남동)
37.77975147,128.9165316,hairdresser,샘미용실,강원도 강릉시 강릉대로527번길 15 (포남동)
37.75953412,128.8921847,hairdresser,석헤어필,"강원도 강릉시 임영로 206, 1층 (교동)"
37.7619157,128.9146973,hairdresser,현미용실,"강원도 강릉시 강변로440번길 36-4 (입암동,외1필지)"
37.75252918,128.8976057,hairdresser,멋쟁이 머리,강원도 강릉시 금성로35번길 12 (성남동)
37.77107671,128.8777212,hairdresser,김나영헤어시티,강원도 강릉시 하슬라로232번길 17-7 (교동)
37.75121992,128.9062207,hairdresser,한가비미용실,강원도 강릉시 율곡로 2736 (노암동)
37.89537501,128.8310973,hairdresser,헤어포커스,강원도 강릉시 주문진읍 주문로 149
37.76452061,128.881709,hairdresser,인스타일헤어,강원도 강릉시 원대로 109 (교동)
37.77024061,128.9047347,hairdresser,중앙미용실,강원도 강릉시 가작로 272 (포남동)
37.7607611,128.8704418,hairdresser,머리박사미용실,"강원도 강릉시 선수촌로 110, 1층 (유천동)"
37.75838703,128.8865536,hairdresser,팡팡헤어클럽,강원도 강릉시 화부산로 16 (교동)
37.75297255,128.8983736,hairdresser,롯데미용실,"강원도 강릉시 중앙시장2길 33, 1층 (성남동)"
