WGS84위도,WGS84경도,amenity,parking,access,name,addr:full,소재지지번주소,operator,operator:type,phone,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.8383392,127.0779907,parking,surface,private,은현교통 차고지,,경기도 양주시 회암동 607-10,은현교통,private,+82 31 8082 6627,,화합로,1547,,,,
37.88713597,126.9961664,parking,surface,private,신암운수 차고지,,경기도 양주시 남면 입암리 231-1,신암운수,,+82 31 8082 6627,,삼일로,818,남면,,,
37.89874581,127.0116887,parking,surface,private,현성교통 차고지,,경기도 양주시 은현면 봉암리 93,(주)현성교통,,+82 31 8082 6627,,은현로,401-15,은현면,,,
37.85223054,127.0662615,parking,surface,private,진명여객 차고지,경기도 양주시 화합로 1325번길 222,경기도 양주시 덕정동 69-1,(주)진명여객,,+82 31 8082 6627,,화합로,222,,,,
37.69731757,126.9361682,parking,surface,private,장흥공영버스 차고지,,경기도 양주시 삼상리 169-5,장흥공영버스삼상1리운영위원회,,+82 31 8082 6627,,유원지로,51,장흥면,,,
37.83305334,127.102924,parking,surface,private,양주교통 본사 차고지,경기도 양주시 화합로 1796번길 162-18,경기도 양주시 율정동 236-3,(주)양주교통,,+82 31 8082 6627,,화합로,162-18,,,,
37.82231131,127.0700911,parking,surface,private,양주교통 고암영업소 차고지,"경기도 양주시 청담로 247, 251","경기도 양주시 고암동 334-4, 337",(주)양주교통,,+82 31 8082 6627,,청담로,247,,,,
37.77320256,127.0526573,parking,surface,private,마전공영버스 차고지,,경기도 양주시 마전동 235-9,마전2통공영버스운영위원회,,+82 31 8082 6627,,마전로,165,,,,
