위도,경도,데이터기준일자,highway,support,light_method,light:lit,light:shape,light:tilt
37.4747587,126.6309345,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4744854,126.6306794,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4742036,126.6304585,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4739304,126.6302147,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4736301,126.6299602,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4734116,126.6297607,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4730847,126.6295405,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472785,126.6293425,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4724674,126.6291448,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4724139,126.629191,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720452,126.6315944,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721893,126.6300317,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720305,126.6303172,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.471945,126.6307144,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4718709,126.6313263,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720608,126.6305993,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4719404,126.6310989,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4722291,126.6295788,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4723231,126.6291362,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721166,126.6299765,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4719964,126.6304874,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721208,126.6303382,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720091,126.6308037,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4718499,126.6310666,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4719546,126.6315508,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.471952,126.6313248,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720872,126.6321024,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4724876,126.6340056,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4727017,126.6346009,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
