노선명,기점,기점 위도,기점 경도,종점,종점 위도,종점 경도,연장(km),관리기관명,데이터기준일자
정방연로,제주특별자치도 서귀포시 토평동 580-1,33.2480341960,126.5781961898,제주특별자치도 서귀포시 동홍동 68-12,33.254683,126.576934,0.8,서귀포시 건설과,2016-08-31
하원로,제주특별자치도 서귀포시 하원동 394-4,33.254041,126.461109,제주특별자치도 서귀포시 하원동 674-1,33.2612150909,126.4604057268,0.8,서귀포시 건설과,2016-08-31
쇠소깍로,제주특별자치도 서귀포시 하효동 371,33.2631873067,126.6238134064,제주특별자치도 서귀포시 하효동 1070,33.2527302,126.6154031,2.2,서귀포시 건설과,2016-08-31
하신상로,제주특별자치도 서귀포시 하효동 639,33.2609670609,126.6171732812,제주특별자치도 서귀포시 상효동 1301-8,33.293558,126.594753,4.5,서귀포시 건설과,2016-08-31
남성로,제주특별자치도 서귀포시 호근동 317-4,33.2447406465,126.5442361017,제주특별자치도 서귀포시 서홍동 581-3,33.2442786501,126.5550930428,1.5,서귀포시 건설과,2016-08-31
호근서호로,제주특별자치도 서귀포시 호근동 689-3,33.2549563180,126.5398862279,제주특별자치도 서귀포시 서호동 777,33.2572700633,126.5203639589,2,서귀포시 건설과,2016-08-31
중산간동로,제주특별자치도 서귀포시 성산읍 수산리 4299,33.4548548,126.8295091,제주특별자치도 서귀포시 서호동 1131,33.2606047,126.5079706,57.2,서귀포시 건설과,2016-08-31
일주동로,제주특별자치도 서귀포시 성산읍 시흥리 1206-1,33.481812,126.898039,제주특별자치도 서귀포시 법환동 843,33.2489925759,126.5082191860,53.9,서귀포시 건설과,2016-08-31
남태해안로,제주특별자치도 서귀포시 남원읍 남원리 1418-1,33.276319,126.709218,제주특별자치도 서귀포시 남원읍 태흥리 358-1,33.289672,126.751747,5.5,서귀포시 건설과,2016-08-31
수은로,제주특별자치도 서귀포시 남원읍 남원리 1577,33.2818552,126.7006512,제주특별자치도 서귀포시 남원읍 남원리 1627,33.2858055,126.7006765,0.5,서귀포시 건설과,2016-08-31
