지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
보도포장,13010,광도면,348021443D,통영시,13007,RD20130001,신설,미분류,105.08,378.59,3.85,미분류,소형고압블럭,,,1,11,128.4132477,34.87632069
보도포장,13011,광도면,348021464A,통영시,12101,RD20130001,신설,미분류,4.76,6.39,2.1,미분류,소형고압블럭,,,1,12,128.4151112,34.8690956
보도포장,13012,광도면,348021443D,통영시,13006,RD20130001,신설,미분류,40.61,135.81,3.67,미분류,소형고압블럭,,,1,13,128.4131099,34.87570381
보도포장,13013,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,22.87,54.07,2.56,미분류,소형고압블럭,,,1,14,128.3978877,34.82681442
보도포장,13014,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,5.9,15.59,2.65,미분류,콘크리트,,,1,15,128.397773,34.82674406
보도포장,13015,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,5.03,13.82,2.78,미분류,소형고압블럭,,,1,16,128.3977245,34.82671522
보도포장,13016,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,6.48,17.9,2.8,미분류,콘크리트,,,1,17,128.3976748,34.82668463
보도포장,13017,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,6.48,17.83,2.75,미분류,콘크리트,,,1,18,128.3975455,34.82660704
보도포장,13018,미수동,348021850C,통영시,2036,RD20130006,신설,미분류,25.15,27.01,2.75,미분류,소형고압블럭,,,1,19,128.3974734,34.82656349
보도포장,13019,미수동,348021850D,통영시,2036,RD20130006,신설,미분류,8.2,23.01,2.81,미분류,소형고압블럭,,,1,20,128.3976103,34.82664602
보도포장,13020,미수동,348021850C,통영시,2036,RD20130006,신설,미분류,5.7,15.52,2.75,미분류,콘크리트,,,1,21,128.3974053,34.82652241
보도포장,13021,미수동,348021850C,통영시,2036,RD20130006,신설,미분류,9.25,19.04,2.71,미분류,소형고압블럭,,,1,22,128.3973495,34.82648863
보도포장,13022,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,7.22,12.84,2.43,미분류,소형고압블럭,,,1,23,128.3972034,34.82640038
보도포장,13023,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,6.08,14.73,2.43,미분류,콘크리트,,,1,24,128.3971535,34.82637184
보도포장,13024,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,7.06,12.13,2.41,미분류,소형고압블럭,,,1,25,128.3971047,34.82634108
보도포장,13025,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,79.32,175.03,2.35,미분류,소형고압블럭,,,1,26,128.3967071,34.82610236
보도포장,13026,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,39.62,79.08,2.17,미분류,소형고압블럭,,,1,27,128.3961433,34.82576193
보도포장,13027,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,8.08,13.29,2.08,미분류,소형고압블럭,,,1,28,128.39586,34.82559136
보도포장,13028,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,17.77,36.03,2,미분류,콘크리트,,,1,29,128.3957536,34.82552742
보도포장,13029,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,26.05,51.38,1.98,미분류,소형고압블럭,,,1,30,128.3955597,34.82541054
보도포장,13030,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,8.01,15.81,1.98,미분류,콘크리트,,,1,31,128.3954091,34.82532001
보도포장,13031,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,20.04,37.74,1.95,미분류,소형고압블럭,,,1,32,128.3952876,34.82524695
보도포장,13032,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,17.48,12.17,1.82,미분류,콘크리트,,,1,33,128.3951653,34.82517364
보도포장,13033,미수동,348021850C,통영시,11098,RD20130006,신설,미분류,7.32,9.21,1.82,미분류,소형고압블럭,,,1,34,128.3951125,34.8251388
보도포장,13034,미수동,348021859B,통영시,8166,RD20130010,기타,미분류,114.14,293.94,2.03,미분류,소형고압블럭,,,1,35,128.39443,34.82470134
보도포장,13035,미수동,348021859B,통영시,8166,RD20130010,기타,미분류,84.95,244.99,3.03,미분류,소형고압블럭,,,1,36,128.3936024,34.823984
차도면,350,욕지면,348061127B,통영시,11190,RD20150017,신설,미분류,606.04,5591.45,8,콘크리트,미분류,,,1,37,128.2873254,34.63895077
차도면,351,한산면,348022076B,통영시,11180,RD20150016,신설,미분류,367.71,4091.2,10,콘크리트,미분류,,,1,38,128.478435,34.81119532
차도면,352,한산면,348022076B,통영시,11192,RD20150016,신설,미분류,2.7,43.33,10,콘크리트,미분류,,,1,39,128.4776671,34.8128943
차도면,353,한산면,348022076B,통영시,11187,RD20150016,신설,미분류,40.75,164.57,4,콘크리트,미분류,,,1,40,128.4774253,34.81291759
차도면,354,한산면,348022076B,통영시,11182,RD20150016,신설,미분류,33.93,348.58,10,콘크리트,미분류,,,1,41,128.4775862,34.81306224
차도면,355,한산면,348022076B,통영시,11183,RD20150016,신설,미분류,4.77,120.01,10,콘크리트,미분류,,,1,42,128.4775442,34.81324848
차도면,356,한산면,348022076B,통영시,11189,RD20150016,신설,미분류,45.77,261.54,6,콘크리트,미분류,,,1,43,128.4776203,34.81351139
차도면,357,한산면,348022076B,통영시,11185,RD20150016,신설,미분류,50.4,414.35,8,콘크리트,미분류,,,1,44,128.4775246,34.81351588
차도면,358,용남면,348021064B,통영시,11177,RD20150015,신설,미분류,775.16,5635.13,22,콘크리트,미분류,,,1,45,128.4654917,34.91489288
차도면,361,용남면,348021064B,통영시,11176,RD20150015,신설,미분류,114.3,532.81,6.2,콘크리트,미분류,,,1,46,128.4689018,34.91817924
보도포장,150001,사량면,348012026B,통영시,150011,,신설,미분류,50.81,111.59,2.07,미분류,소형고압블럭,미분류,소형고압블럭,1,47,128.2298151,34.83762018
차도포장,150002,사량면,348012026D,통영시,150011,,신설,미분류,509.19,4759.25,13.71,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,48,128.227729,34.83743424
