위도,경도,man_made,surveillance,surveillance:zone,surveillance:type,name,addr:full,source:date
35.85652575,129.2231078,surveillance,outdoor,traffic,camera,동천우체국앞,경상북도 경주시 동천동 790,2019-10-18
35.85020774,129.2052982,surveillance,outdoor,traffic,camera,흥무초등학교앞,경상북도 경주시 성건동 466-3,2019-10-18
35.83818905,129.203965,surveillance,outdoor,traffic,camera,시외버스터미널앞,경상북도 경주시 사정동 485-9,2019-10-18
35.86810438,129.2171738,surveillance,outdoor,traffic,camera,청우아파트앞,경상북도 경주시 황성동 273-1,2019-10-18
35.85328552,129.2066512,surveillance,outdoor,traffic,camera,해동주유소앞,경상북도 경주시 성건동 697-5,2019-10-18
35.80465738,129.5026226,surveillance,outdoor,traffic,camera,감포,경상북도 경주시 감포읍 감포리 384-12,2019-10-18
36.00308431,129.1977407,surveillance,outdoor,traffic,camera,산대초교(안강),경상북도 경주시 안강읍 산대리 2387,2019-10-18
35.86468556,129.2139104,surveillance,outdoor,traffic,camera,황성농협앞,경상북도 경주시 황성동 451,2019-10-18
35.85999001,129.224545,surveillance,outdoor,traffic,camera,동천농협사거리,경상북도 경주시 용강동 1338-2,2019-10-18
35.87603689,129.2294211,surveillance,outdoor,traffic,camera,용강초교앞,경상북도 경주시 용강동 1293,2019-10-18
35.84755917,129.2326893,surveillance,outdoor,traffic,camera,경희학교앞,경상북도 경주시 동천동 902-6,2019-10-18
35.8426479,129.1897531,surveillance,outdoor,traffic,camera,경주초교앞,경상북도 경주시 충효동 3012,2019-10-18
35.99230511,129.222741,surveillance,outdoor,traffic,camera,금강당사거리,경상북도 경주시 안강읍 양월리 1195-3,2019-10-18
35.99168835,129.2257702,surveillance,outdoor,traffic,camera,박외과의원앞,경상북도 경주시 안강읍 안강리 319-162,2019-10-18
35.71580404,129.3238746,surveillance,outdoor,traffic,camera,외동파출소사거리(입실초등학교),경상북도 경주시 외동읍 입실리 1046-14,2019-10-18
35.85674776,129.2190038,surveillance,outdoor,traffic,camera,푸르지오아파트삼거리,경상북도 경주시 황성동 401-18,2019-10-18
35.84481501,129.2118693,surveillance,outdoor,traffic,camera,신한은행사거리,경상북도 경주시 동부동 113-6,2019-10-18
35.86883581,129.2027348,surveillance,outdoor,traffic,camera,나원초등학교,경상북도 경주시 현곡면 금장리 441-7,2019-10-18
35.84735712,129.2180518,surveillance,outdoor,traffic,camera,경주역,경상북도 경주시 황오동 169-2,2019-10-18
35.85563572,129.2050704,surveillance,outdoor,traffic,camera,통일화랑아파트,경상북도 경주시 성건동 620-496,2019-10-18
35.84209434,129.2170968,surveillance,outdoor,traffic,camera,제2공영주차장앞,경상북도 경주시 황오동 119-3,2019-10-18
35.84295989,129.2081439,surveillance,outdoor,traffic,camera,월성초등학교앞,경상북도 경주시 노서동 35-1,2019-10-18
35.87262627,129.2031244,surveillance,outdoor,traffic,camera,금장아파트앞,경상북도 경주시 현곡면 금장리 384-8,2019-10-18
35.85577028,129.2211809,surveillance,outdoor,traffic,camera,보림칼라앞,경상북도 경주시 동천동 760,2019-10-18
35.78652047,129.3277687,surveillance,outdoor,traffic,camera,불국사관광안내소,경상북도 경주시 진현동 64-6,2019-10-18
35.84791531,129.2287207,surveillance,outdoor,traffic,camera,동천초등학교앞,경상북도 경주시 동천동 911-3,2019-10-18
35.84968113,129.2172903,surveillance,outdoor,traffic,camera,경주세무서삼거리,경상북도 경주시 성동동 174-17,2019-10-18
35.86183686,129.216646,surveillance,outdoor,traffic,camera,주공1단지아파트앞,경상북도 경주시 황성동 299-2,2019-10-18
35.8331225,129.2263562,surveillance,outdoor,traffic,camera,안압지앞,경상북도 경주시 인왕동 502-4,2019-10-18
35.86644489,129.2119442,surveillance,outdoor,traffic,camera,현대2차아파트앞,경상북도 경주시 황성동 533,2019-10-18
35.79889547,129.1419038,surveillance,outdoor,traffic,camera,신경주역,경상북도 경주시 건천읍 화천리 1018-2,2019-10-18
35.8483832,129.2270342,surveillance,outdoor,traffic,camera,동천초등학교후문,경상북도 경주시 동천동 586-10,2019-10-18
35.85017993,129.2293646,surveillance,outdoor,traffic,camera,부호사우나 삼거리,경상북도 경주시 동천동 888,2019-10-18
35.84403698,129.2103741,surveillance,outdoor,traffic,camera,제1공영주차장앞,경상북도 경주시 노동동 183,2019-10-18
35.84136955,129.2067582,surveillance,outdoor,traffic,camera,서성로 현대자동차 앞(파크랜드앞),경상북도 경주시 노서동 121-3,2019-10-18
35.8551876,129.2066136,surveillance,outdoor,traffic,camera,동대로사거리(동국약국 맞은편) 앞,경상북도 경주시 성건동 682-1,2019-10-18
35.84429926,129.2138539,surveillance,outdoor,traffic,camera,KT삼거리 (KT경주지사 맞은편),경상북도 경주시 황오동 203-36,2019-10-18
