위도,경도,shop,name,addr:full,source,source:date
33.2750705,126.6612576,bakery,오뚜기제과점,제주특별자치도 서귀포시 남원읍 태위로 129,공공데이터포털,2018-02-23
33.2487665,126.567381,bakery,동문당,제주특별자치도 서귀포시 중정로 103 (서귀동),공공데이터포털,2018-02-23
33.2491685,126.5635416,bakery,정옥빵집,제주특별자치도 서귀포시 중앙로48번길 18 (서귀동),공공데이터포털,2018-02-23
33.2600441,126.561786,bakery,동명찐빵,제주특별자치도 서귀포시 중앙로150번길 29-1 (동홍동),공공데이터포털,2018-02-23
33.2460024,126.5810125,bakery,서귀포칼호텔제과점,제주특별자치도 서귀포시 칠십리로 242 (토평동),공공데이터포털,2018-02-23
33.2455761,126.4055533,bakery,하얏트리젠시제주과자점,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동),공공데이터포털,2018-02-23
33.2224539,126.2543751,bakery,온누리,제주특별자치도 서귀포시 대정읍 신영로 117-1,공공데이터포털,2018-02-23
33.2213484,126.2546813,bakery,빙그레제과점,제주특별자치도 서귀포시 대정읍 하모리 824번지 ,공공데이터포털,2018-02-23
33.2221335,126.2541541,bakery,신세계제과,제주특별자치도 서귀포시 대정읍 하모상가로 51,공공데이터포털,2018-02-23
33.2475582,126.4081161,bakery,패스트리부티크,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),공공데이터포털,2018-02-23
33.3262102,126.8325057,bakery,한아름,제주특별자치도 서귀포시 표선면 표선중앙로 80,공공데이터포털,2018-02-23
33.2511482,126.5109453,bakery,뉴궁전제과,제주특별자치도 서귀포시 김정문화로 57 (서호동),공공데이터포털,2018-02-23
33.2515893,126.424481,bakery,파리바게뜨 중문점,제주특별자치도 서귀포시 천제연로 186 (중문동),공공데이터포털,2018-02-23
33.2489282,126.5681134,bakery,파리바게뜨,제주특별자치도 서귀포시 동홍로 4 1 2층 (서귀동),공공데이터포털,2018-02-23
33.448007,126.9152566,bakery,보룡제과,제주특별자치도 서귀포시 성산읍 고성오조로 48-1,공공데이터포털,2018-02-23
33.3262981,126.8329309,bakery,빵굽는집,제주특별자치도 서귀포시 표선면 표선동서로 251,공공데이터포털,2018-02-23
33.2515834,126.5610812,bakery,한라베이커리,제주특별자치도 서귀포시 중앙로 77 (서귀동),공공데이터포털,2018-02-23
33.3793187,126.8758328,bakery,쑥이네진빵,제주특별자치도 서귀포시 성산읍 신산중앙로18번길 18-7,공공데이터포털,2018-02-23
33.4500206,126.9150766,bakery,케나라,제주특별자치도 서귀포시 성산읍 고성오조로 70-2,공공데이터포털,2018-02-23
33.447961,126.9149463,bakery,제일성심당,제주특별자치도 서귀포시 성산읍 고성오조로 47,공공데이터포털,2018-02-23
33.263813,126.6174354,bakery,남양당,제주특별자치도 서귀포시 효돈로 173-1 (하효동),공공데이터포털,2018-02-23
33.3244501,126.8331639,bakery,갓구운베이커리,제주특별자치도 서귀포시 표선면 표선중앙로90번길 13,공공데이터포털,2018-02-23
33.3190481,126.7087521,bakery,하나로빵집,제주특별자치도 서귀포시 남원읍 남조로 52,공공데이터포털,2018-02-23
33.3056347,126.7921182,bakery,델리팜,제주특별자치도 서귀포시 표선면 일주동로 6347-17,공공데이터포털,2018-02-23
33.2663197,126.5671727,bakery,빵하우스, ,공공데이터포털,2018-02-23
33.325318,126.8320654,bakery,하나로빵이벤트,제주특별자치도 서귀포시 표선면 표선동서로 237-2,공공데이터포털,2018-02-23
33.2552151,126.5741555,bakery,플러스제과점,제주특별자치도 서귀포시 일주동로 8554 (동홍동),공공데이터포털,2018-02-23
33.2604879,126.5600101,bakery,몽블랑제서귀포점,제주특별자치도 서귀포시 중앙로 180 (동홍동),공공데이터포털,2018-02-23
33.2640429,126.5603253,bakery,칠십리베이커리,제주특별자치도 서귀포시 중산간동로 8019 (동홍동),공공데이터포털,2018-02-23
33.2507993,126.430737,bakery,중문하나로베이커리,제주특별자치도 서귀포시 천제연로 242 (중문동),공공데이터포털,2018-02-23
33.2484335,126.5092187,bakery,(주)신세계푸드이-베이커리서귀포점,제주특별자치도 서귀포시 일주동로 9209 (법환동),공공데이터포털,2018-02-23
33.2609942,126.6172426,bakery,효돈농협하나로베이커리,제주특별자치도 서귀포시 하신상로 1 (하효동),공공데이터포털,2018-02-23
33.2195093,126.2525008,bakery,중앙베이커리,제주특별자치도 서귀포시 대정읍 최남단해안로 13,공공데이터포털,2018-02-23
33.2483036,126.5640665,bakery,맛짱먹거리,제주특별자치도 서귀포시 중정로73번길 1 (서귀동),공공데이터포털,2018-02-23
33.252717,126.5604842,bakery,파리바게뜨 서귀포1호 광장점,제주특별자치도 서귀포시 중앙로 91 (서귀동),공공데이터포털,2018-02-23
33.2413649,126.4245153,bakery,제주국제컨벤선센터 베이커리,제주특별자치도 서귀포시 중문관광로 224 (중문동),공공데이터포털,2018-02-23
33.2475384,126.5625338,bakery,뚜레쥬르서귀포점,제주특별자치도 서귀포시 중정로 56-1 (서귀동),공공데이터포털,2018-02-23
33.2465809,126.333321,bakery,풍차베이커리,제주특별자치도 서귀포시 안덕면 화순로 122,공공데이터포털,2018-02-23
33.2511667,126.5726439,bakery,플러스마트2호점베이커리,제주특별자치도 서귀포시 동홍중앙로 2 (동홍동),공공데이터포털,2018-02-23
33.2223125,126.2547019,bakery,파리바게뜨대정점,제주특별자치도 서귀포시 대정읍 상모로 326,공공데이터포털,2018-02-23
33.2576277,126.5718713,bakery,나드리빵집,제주특별자치도 서귀포시 동홍중앙로 77 (동홍동),공공데이터포털,2018-02-23
33.2785051,126.7176468,bakery,옥이네 빵집,제주특별자치도 서귀포시 남원읍 태위로 662,공공데이터포털,2018-02-23
33.4143696,126.8999778,bakery,성산일출봉농업협동조합,제주특별자치도 서귀포시 성산읍 일주동로 4282,공공데이터포털,2018-02-23
33.3258943,126.8336204,bakery,파리바게뜨제주표선점,제주특별자치도 서귀포시 표선면 표선중앙로 89,공공데이터포털,2018-02-23
33.4305782,126.9277688,bakery,휘닉스제과,제주특별자치도 서귀포시 성산읍 섭지코지로 107,공공데이터포털,2018-02-23
33.4305782,126.9277688,bakery,민트베이커리,제주특별자치도 서귀포시 성산읍 섭지코지로 107,공공데이터포털,2018-02-23
33.4305782,126.9277688,bakery,섭지베이커리,제주특별자치도 서귀포시 성산읍 섭지코지로 107,공공데이터포털,2018-02-23
33.246956,126.5634715,bakery,플러스제과점3호점,제주특별자치도 서귀포시 명동로 14 (서귀동),공공데이터포털,2018-02-23
33.2444327,126.4161942,bakery,르방블랑제베이커리앤카페,제주특별자치도 서귀포시 중문관광로 154-17 (색달동),공공데이터포털,2018-02-23
33.2866384,126.2229014,bakery,황금륭스마일버거,제주특별자치도 서귀포시 대정읍 칠전로 434,공공데이터포털,2018-02-23
33.2866384,126.2229014,bakery,황금륭버거,제주특별자치도 서귀포시 대정읍 칠전로 434,공공데이터포털,2018-02-23
33.2604879,126.5600101,bakery,몽블랑제서귀포점(행사매대),제주특별자치도 서귀포시 중앙로 180 (동홍동),공공데이터포털,2018-02-23
33.2529828,126.5110086,bakery,르방베이커리앤커피,제주특별자치도 서귀포시 신서귀로 43 (법환동),공공데이터포털,2018-02-23
