위도,경도,amenity,name,addr:full,source,source:date,shop,branch,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
33.2422082,126.5995245,restaurant,보몽드,,공공데이터포털,2018-02-23,,,,보목로,21-11,보목동,,,,
33.222384,126.2543347,restaurant,제주흑돈만두대정점,,공공데이터포털,2018-02-23,,,,신영로,117,대정읍,,,,
33.2956392,126.2896818,,CU 제주영어마을점,,공공데이터포털,2018-02-23,convenience,제주영어마을점,,글로벌에듀로145번길,40,대정읍,,,106,
33.2541205,126.560076,,CU 서귀남고사거리점,,공공데이터포털,2018-02-23,convenience,서귀남고사거리점,,중산간동로,7936,동홍동,,,,
33.240469,126.493008,,GS25 강정점,,공공데이터포털,2018-02-23,convenience,강정점,,이어도로,752,강정동,,1,,
33.2701369,126.590941,restaurant,카페50번길,,공공데이터포털,2018-02-23,,,,토평로50번길,23,토평동,,1,,
33.2739606,126.676409,restaurant,르브아,,공공데이터포털,2018-02-23,,,,태위로266번길,15,남원읍,,,,
33.2541205,126.560076,restaurant,놀숲서귀포신시가지점,,공공데이터포털,2018-02-23,,,,대청로25번길,4,강정동,,4,,
33.2540922,126.5601945,restaurant,바끄레카페,,공공데이터포털,2018-02-23,,,,중앙로,105,서홍동,별관,1,,
33.2835671,126.7051642,,CU 서귀태흥점,,공공데이터포털,2018-02-23,convenience,서귀태흥점,,일주동로,6745,남원읍,,,,
33.2511409,126.5095568,,세븐일레븐 밸류호텔점,,공공데이터포털,2018-02-23,convenience,,,김정문화로,51,법환동,B,-1,101,제이에스밸류호텔
33.4364523,126.9217313,,CU 제주섭지코지점,,공공데이터포털,2018-02-23,convenience,제주섭지코지점,,신양로,114,성산읍,,,,
33.3092112,126.7811922,restaurant,테쉬폰카페,,공공데이터포털,2018-02-23,,,,토산중앙로16번길,15-1,표선면,,,,
33.4689283,126.9199121,restaurant,담다,,공공데이터포털,2018-02-23,,,,해맞이해안로,2768,성산읍,나,,,
