위도,경도,amenity,name,addr:full,cuisine,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
35.9052,128.612405,restaurant,(맥)참숯불한우갈비살돼지항정살,,korean,공공데이터포털,2020-10-13,,유통단지로8길,70,산격동,,3,,
35.925153,128.543372,restaurant,24시교동촌콩나물해장국밥,,korean,공공데이터포털,2020-10-13,,태전로,55,태전동,,,,
35.93951,128.569584,restaurant,3바다낙지해물,,korean,공공데이터포털,2020-10-13,,구암로60길,58,구암동,,,,
35.889164,128.579806,restaurant,감포생밀복,,korean,공공데이터포털,2020-10-13,,침산남로7길,2-1,노원동1가,,2; 3,,
35.940191,128.570345,restaurant,강북오리박사,,korean,공공데이터포털,2020-10-13,,구암로60길,66,구암동,,,,
35.938613,128.604032,restaurant,거산이가네더덕밥,,korean,공공데이터포털,2020-10-13,,이곡길,35-41,서변동,,,,
35.888422,128.603406,restaurant,고기한마당,,korean; meat,공공데이터포털,2020-10-13,,대현로9길,52,산격동,,,,
35.877836,128.591413,restaurant,곰내미,,korean,공공데이터포털,2020-10-13,,칠성남로26길,32,칠성동2가,,2,,
35.938106,128.553347,restaurant,기와집보쌈,,korean,공공데이터포털,2020-10-13,,대천로7길,6-10,읍내동,,,,
35.950688,128.566379,restaurant,꽃바위낙지,,korean,공공데이터포털,2020-10-13,,학남로1길,24,학정동,,1,,
35.900256,128.609522,restaurant,남다른감자탕대구산격점,,korean,공공데이터포털,2020-10-13,,동북로,149-2,산격동,,,,
35.892621,128.589012,restaurant,남도뚝배기,,korean,공공데이터포털,2020-10-13,,성북로,47,침산동,,1,,
35.918694,128.606325,restaurant,내고향식당,,korean,공공데이터포털,2020-10-13,,동변로18길,43,동변동,,,,
35.943258,128.564546,restaurant,녹야원대구칠곡점,,korean,공공데이터포털,2020-10-13,,동암로,128-10,구암동,,3,,
35.895672,128.515745,restaurant,놀부보쌈부대찌개(금호사수점),,korean,공공데이터포털,2020-10-13,,한강로6길,15,사수동,,2,203,썸.필링타워
35.92407,128.54374,restaurant,누리마을감자탕(태전점),,korean,공공데이터포털,2020-10-13,,태전로,43,태전동,,,,
35.898177,128.616089,restaurant,"누리마을감자탕,등뼈찜",,korean,공공데이터포털,2020-10-13,,공항로,9,복현동,,2,,
35.943844,128.554882,restaurant,대양횟집,,japanese,공공데이터포털,2020-10-13,,동천로23길,62,동천동,,,,
35.882819,128.603569,restaurant,대현옻닭식당,,korean,공공데이터포털,2020-10-13,,대현로10길,54,대현동,,,,
