위도,경도,amenity,name,addr:full,source,source:date,shop
33.2216083,126.2523872,cafe,중앙다방,제주특별자치도 서귀포시 대정읍 하모상가로 31,공공데이터포털,2018-02-23,
33.2487665,126.567381,cafe,돌다방,제주특별자치도 서귀포시 동문로 70 (서귀동),공공데이터포털,2018-02-23,
33.2494187,126.5652211,cafe,우성다방,제주특별자치도 서귀포시 중정로91번길 15 2층 (서귀동),공공데이터포털,2018-02-23,
33.2202096,126.2518422,cafe,수궁다방,제주특별자치도 서귀포시 대정읍 하모항구로 78,공공데이터포털,2018-02-23,
33.2492416,126.5666726,cafe,해당화다방,제주특별자치도 서귀포시 동문로 60 2층 (서귀동),공공데이터포털,2018-02-23,
33.244278,126.5641506,cafe,보물섬다방,제주특별자치도 서귀포시 솔동산로 6-1 (서귀동),공공데이터포털,2018-02-23,
33.2482665,126.5642924,휴게음식점,에덴분식,제주특별자치도 서귀포시 중정로73번길 2 (서귀동),공공데이터포털,2018-02-23,
33.2485788,126.5642465,휴게음식점,새로나식당,제주특별자치도 서귀포시 중앙로42번길 24 (서귀동),공공데이터포털,2018-02-23,
33.2468486,126.3356721,cafe,화신다방,제주특별자치도 서귀포시 안덕면 화순로 100-1,공공데이터포털,2018-02-23,
33.2486781,126.5666013,cafe,동미다방,제주특별자치도 서귀포시 중정로 95-2 (서귀동),공공데이터포털,2018-02-23,
33.3258943,126.8336204,cafe,표선다방,제주특별자치도 서귀포시 표선면 표선중앙로 89,공공데이터포털,2018-02-23,
33.2476176,126.5628319,휴게음식점,김밥천국서귀포점,제주특별자치도 서귀포시 중정로 60 (서귀동),공공데이터포털,2018-02-23,
33.3264263,126.8322772,cafe,곰다방,제주특별자치도 서귀포시 표선면 표선중앙로 76,공공데이터포털,2018-02-23,
33.249075,126.5651269,휴게음식점,뽕뽕식당,제주특별자치도 서귀포시 중앙로42번길 33 1층 (서귀동),공공데이터포털,2018-02-23,
33.2216269,126.2511458,휴게음식점,은성,제주특별자치도 서귀포시 대정읍 하모상가로 21,공공데이터포털,2018-02-23,
33.2795061,126.7201097,cafe,귀빈다방,제주특별자치도 서귀포시 남원읍 태위로 689,공공데이터포털,2018-02-23,
33.4490938,126.9151914,cafe,약속다방,제주특별자치도 서귀포시 성산읍 동류암로 51-1,공공데이터포털,2018-02-23,
33.2498991,126.4082883,cafe,호텔하나다방,제주특별자치도 서귀포시 중문관광로72번길 53 (색달동),공공데이터포털,2018-02-23,
33.25035,126.5625661,cafe,외인다방,제주특별자치도 서귀포시 중앙로62번길 11 (서귀동),공공데이터포털,2018-02-23,
33.25004,126.5617997,cafe,동산다방,제주특별자치도 서귀포시 중앙로62번길 2 (서귀동),공공데이터포털,2018-02-23,
33.2586063,126.5620424,휴게음식점,서귀고교구내매점,제주특별자치도 서귀포시 중앙로150번길 4-1 (동홍동),공공데이터포털,2018-02-23,
33.2498304,126.5656661,cafe,금호다방,제주특별자치도 서귀포시 동문로 48 (서귀동),공공데이터포털,2018-02-23,
33.2486729,126.5627846,휴게음식점,롯데리아서귀포점,제주특별자치도 서귀포시 중정로61번길 9 (서귀동),공공데이터포털,2018-02-23,
33.2511819,126.508187,휴게음식점,중앙도서관구내식당,제주특별자치도 서귀포시 김정문화로 32 (강정동),공공데이터포털,2018-02-23,
33.2493619,126.565927,cafe,뱅크다방,제주특별자치도 서귀포시 중앙로42번길 41 (서귀동),공공데이터포털,2018-02-23,
