위도,경도,amenity,name,addr:full,source,source:date
33.2485142,126.5637272,restaurant,광명식당, ,공공데이터포털,2018-02-23
33.2495641,126.5606454,restaurant,삼겹살땡기는날,제주특별자치도 서귀포시 천지로 21 (서귀동),공공데이터포털,2018-02-23
33.2566472,126.5690027,restaurant,산마루,제주특별자치도 서귀포시 동홍로90번길 7-1 (동홍동),공공데이터포털,2018-02-23
33.2783152,126.7187295,restaurant,짜장마을,제주특별자치도 서귀포시 남원읍 태위로 672-7,공공데이터포털,2018-02-23
33.2343234,126.3092941,restaurant,국수명가,제주특별자치도 서귀포시 안덕면 사계남로216번길 47,공공데이터포털,2018-02-23
33.3531055,126.7715294,restaurant,가시식당,제주특별자치도 서귀포시 표선면 가시로565번길 22,공공데이터포털,2018-02-23
33.3264263,126.8322772,restaurant,마돈나,제주특별자치도 서귀포시 표선면 표선중앙로 76,공공데이터포털,2018-02-23
33.2475912,126.4125373,restaurant,한국콘도한식당,제주특별자치도 서귀포시 중문관광로72번길 29-29 (색달동),공공데이터포털,2018-02-23
33.2503977,126.5641138,restaurant,서울족탕1호점,제주특별자치도 서귀포시 중정로91번길 30 (서귀동),공공데이터포털,2018-02-23
33.2472687,126.5632196,restaurant,새향원분식,제주특별자치도 서귀포시 중정로62번길 7 (서귀동),공공데이터포털,2018-02-23
33.2499537,126.2771027,restaurant,보성식당,제주특별자치도 서귀포시 대정읍 추사로 56,공공데이터포털,2018-02-23
33.2283602,126.3076807,restaurant,진미명가식당,제주특별자치도 서귀포시 안덕면 사계남로 167,공공데이터포털,2018-02-23
33.2496715,126.2777531,restaurant,진성식당,제주특별자치도 서귀포시 대정읍 추사로 47,공공데이터포털,2018-02-23
33.3291472,126.7983209,restaurant,광동식당,제주특별자치도 서귀포시 표선면 세성로 272,공공데이터포털,2018-02-23
33.2538565,126.5551859,restaurant,성덕식당,제주특별자치도 서귀포시 솜반천로 56 (서홍동),공공데이터포털,2018-02-23
