Y좌표,X좌표,ref,name,name:ko,highway,public_transport
35.22203043,128.5931572,411213,봉덕초등학교,봉덕초등학교,bus_stop,platform
35.2219321,128.5928506,411212,봉덕초등학교,봉덕초등학교,bus_stop,platform
35.24583943,128.6748222,107501,봉림중학교,봉림중학교,bus_stop,platform
35.24572244,128.6749672,107502,봉림중학교,봉림중학교,bus_stop,platform
35.24923415,128.667319,106903,봉림휴먼시아,봉림휴먼시아,bus_stop,platform
35.24918625,128.6661479,106904,봉림휴먼시아,봉림휴먼시아,bus_stop,platform
35.21450879,128.6152314,407115,봉암교,봉암교,bus_stop,platform
35.21417711,128.6161009,407114,봉암교,봉암교,bus_stop,platform
35.2210405,128.5956308,407103,봉암동,봉암동,bus_stop,platform
35.2206786,128.5958915,407104,봉암동,봉암동,bus_stop,platform
35.21789929,128.6050208,407109,봉암수원지입구,봉암수원지입구,bus_stop,platform
35.21553653,128.6003503,407004,봉암우체국,봉암우체국,bus_stop,platform
35.21524843,128.6001842,407003,봉암우체국,봉암우체국,bus_stop,platform
35.36019977,128.5903038,112003,봉촌,봉촌,bus_stop,platform
35.36004045,128.5900744,112004,봉촌,봉촌,bus_stop,platform
35.30462431,128.7187845,630122,부곡,부곡,bus_stop,platform
35.3044838,128.7189077,630304,부곡,부곡,bus_stop,platform
35.0960146,128.824238,630296,부광산업,부광산업,bus_stop,platform
35.09619819,128.8245804,630297,부광산업,부광산업,bus_stop,platform
35.2401089,128.628052,118602,부국정공,부국정공,bus_stop,platform
35.20614674,128.5731025,300121,부림시장,부림시장,bus_stop,platform
35.20614382,128.5733221,300130,부림시장,부림시장,bus_stop,platform
35.13699631,128.4601571,321607,부산마을,부산마을,bus_stop,platform
35.13715781,128.4601173,321608,부산마을입구,부산마을입구,bus_stop,platform
35.09394438,128.8273472,630298,부산카프링,부산카프링,bus_stop,platform
35.09338228,128.827504,630299,부산카프링,부산카프링,bus_stop,platform
35.08535615,128.8073317,630337,부산크로스독,부산크로스독,bus_stop,platform
35.08687056,128.8310546,630302,부산항홍보관,부산항홍보관,bus_stop,platform
35.08705341,128.8308921,630303,부산항홍보관,부산항홍보관,bus_stop,platform
35.3782202,128.479291,630142,부성모델종점,부성모델종점,bus_stop,platform
35.3781532,128.47928,630143,부성모텔종점,부성모텔종점,bus_stop,platform
35.13325013,128.7840111,505301,부암마을,부암마을,bus_stop,platform
35.19648969,128.8030493,630043,부영11차아파트,부영11차아파트,bus_stop,platform
35.08966801,128.8180476,630338,부영13단지,부영13단지,bus_stop,platform
35.08972617,128.8184671,630346,부영13단지,부영13단지,bus_stop,platform
35.08893721,128.8047926,630341,부영2단지,부영2단지,bus_stop,platform
35.08873803,128.8030151,630347,부영2단지,부영2단지,bus_stop,platform
35.10413222,128.8047932,511102,부영2차아파트,부영2차아파트,bus_stop,platform
35.10430161,128.8043972,511101,부영3차아파트,부영3차아파트,bus_stop,platform
35.0865467,128.8007752,630342,부영4단지,부영4단지,bus_stop,platform
35.08657223,128.8010022,630348,부영4단지,부영4단지,bus_stop,platform
