경도,위도,ref,name,short_name,name:ko,highway,public_transport
36.20762283,128.3078823,10777,파산리(대망입구방면),파산리,파산리(대망입구방면),bus_stop,platform
36.10215694,128.4233451,10772,진평동(서한아파트방면),진평동,진평동(서한아파트방면),bus_stop,platform
36.10587721,128.4193304,10789,진미동행정복지센터건너,진미동주민센터,진미동행정복지센터건너,bus_stop,platform
36.0986684,128.4267924,10780,청구아파트입구,청구아파트입구,청구아파트입구,bus_stop,platform
36.09662104,128.4291659,10514,진평중학교입구건너,진평중학교입구,진평중학교입구건너,bus_stop,platform
36.09498474,128.465044,10512,신동입구(구평새월못방면),신동입구,신동입구(구평새월못방면),bus_stop,platform
36.09634731,128.4704315,10454,신동새마을(신동입구방면),신동새마을,신동새마을(신동입구방면),bus_stop,platform
36.09811217,128.4750398,10880,새월사각지(신동새마을방면),세월사각지,새월사각지(신동새마을방면),bus_stop,platform
36.11041644,128.4256459,10424,황상동입구(황상현대아파트방면),황상동입구,황상동입구(황상현대아파트방면),bus_stop,platform
36.10400497,128.4250802,10523,서한아파트,서한아파트,서한아파트,bus_stop,platform
36.11899815,128.4838535,10521,신장2리(신장1리방면),신창2리,신장2리(신장1리방면),bus_stop,platform
36.12856091,128.4856069,10829,신장1리(하장리방면),신창1리,신장1리(하장리방면),bus_stop,platform
36.13217184,128.4854763,10827,하장리(하장교방면),하장리,하장리(하장교방면),bus_stop,platform
36.13688301,128.4911409,10828,하장3거리(하장1리방면),하장3거리,하장3거리(하장1리방면),bus_stop,platform
36.13397481,128.483699,10900,하장리(하장3거리방면),하장리,하장리(하장3거리방면),bus_stop,platform
36.14028959,128.4482348,10788,AST앞,AST앞,AST앞,bus_stop,platform
36.13767019,128.44576,10475,참테크건너,참테크앞,참테크건너,bus_stop,platform
36.21365113,128.4778102,10473,송산리정실(송산리우복마을방면),송산리정실,송산리정실(송산리우복마을방면),bus_stop,platform
36.22225208,128.4803217,10516,송산리우복마을(평호리방면),송산리우복마을,송산리우복마을(평호리방면),bus_stop,platform
36.28072193,128.3523059,10434,신림,신림,신림,bus_stop,platform
36.16719805,128.4431038,10910,선산컨트리클럽(적림리방면),선산컨트리클럽,선산컨트리클럽(적림리방면),bus_stop,platform
36.11076285,128.3879817,10486,LS전선,LS전선,LS전선,bus_stop,platform
36.11080431,128.413383,10882,수도가압장건너편,수도가압장건너편,수도가압장건너편,bus_stop,platform
36.11048456,128.4220776,10451,황상신화아파트건너,황상신화아파트,황상신화아파트건너,bus_stop,platform
36.14651675,128.4188515,10510,하나로마트양포점,세명주유소,하나로마트양포점,bus_stop,platform
36.15199063,128.4336926,10508,신당리(신당2리방면),신당리,신당리(신당2리방면),bus_stop,platform
36.15674713,128.4351802,10449,골드디움아파트건너,신당2리,골드디움아파트건너,bus_stop,platform
36.12879299,128.4158753,10898,성원아파트앞,성원아파트,성원아파트앞,bus_stop,platform
36.12423358,128.4104658,10822,효성티앤에스건너,효성티앤에스건너,효성티앤에스건너,bus_stop,platform
36.11270803,128.4175344,10888,하우저만,하우저만,하우저만,bus_stop,platform
36.113235,128.4247959,10886,황상중앙시장입구,황상중앙시장입구,황상중앙시장입구,bus_stop,platform
36.11535604,128.4249079,10883,황상주공복합상가건너,황상주공복합상가건너,황상주공복합상가건너,bus_stop,platform
36.11817356,128.4287638,10878,황상종점,황상종점,황상종점,bus_stop,platform
36.11770127,128.4269911,10876,황상2주공건너,황상2주공,황상2주공건너,bus_stop,platform
36.11690724,128.4252035,10846,황상1주공건너,황상1주공,황상1주공건너,bus_stop,platform
36.24653586,128.4011957,10519,해평도리사,해평도리사,해평도리사,bus_stop,platform
36.11979648,128.4784553,10459,신장리,신장리,신장리,bus_stop,platform
36.24251687,128.3819608,10488,송곡1리(해평도리사방면),송곡1리,송곡1리(해평도리사방면),bus_stop,platform
36.27387831,128.4009947,10462,수철건너,수철,수철건너,bus_stop,platform
36.22164511,128.3751344,10461,송곡리(산양리방면),송곡리,송곡리(산양리방면),bus_stop,platform
36.21996265,128.3761371,10849,송곡리(송덕휴게소앞),송곡리,송곡리(송덕휴게소앞),bus_stop,platform
36.20310523,128.3903992,10845,해평초등학교,해평초등학교,해평초등학교,bus_stop,platform
36.2063353,128.3895635,10543,해평농공단지앞,해평농공단지,해평농공단지앞,bus_stop,platform
36.14665331,128.4478893,10450,아사히글라스건너,아사히글라스,아사히글라스건너,bus_stop,platform
36.14769786,128.4436147,10843,성진엔지니어링,성진엔지니어링,성진엔지니어링,bus_stop,platform
36.14018677,128.4289741,10784,중흥S클래스앞,중흥S클래스앞,중흥S클래스앞,bus_stop,platform
36.26278769,128.3495079,10547,칠창(일선리방면),질창,칠창(일선리방면),bus_stop,platform
36.27310161,128.1476127,10540,안곡(상송수다사입구방면),안곡,안곡(상송수다사입구방면),bus_stop,platform
36.06868579,128.3523073,10549,신한그린타운앞,신한그린타운,신한그린타운앞,bus_stop,platform
36.18712794,128.2895413,10895,내예리(횡산역방면),안연흥,내예리(횡산역방면),bus_stop,platform
36.19797918,128.2841832,10893,횡산입구건너,횡산입구,횡산입구건너,bus_stop,platform
36.19392319,128.2850453,10892,횡산리 대방골,횡산역,횡산리 대방골,bus_stop,platform
36.19567117,128.2838549,10406,횡산도롱골,횡산도롱골,횡산도롱골,bus_stop,platform
36.09094859,128.3588799,10653,상모중학교,상모중학교,상모중학교,bus_stop,platform
36.08648701,128.3588715,10399,화성파크2단지건너,화성파크2단지건너,화성파크2단지건너,bus_stop,platform
36.08871377,128.3586395,10525,상모농협건너,상모농협,상모농협건너,bus_stop,platform
36.08881579,128.377206,10447,신창메디칼건너,신창메디칼,신창메디칼건너,bus_stop,platform
36.08405457,128.3771836,10542,성안합섬앞,성안합섬,성안합섬앞,bus_stop,platform
36.09050794,128.3770691,10835,금오레미콘건너,금오레미콘,금오레미콘건너,bus_stop,platform
36.09567444,128.3770209,10874,TK케미칼2공장건너,TK케미칼2공장,TK케미칼2공장건너,bus_stop,platform
36.21293104,128.2905582,10545,황산출발,황산출발,황산출발,bus_stop,platform
36.21456073,128.3206178,10830,오로삼거리,아포입구,오로삼거리,bus_stop,platform
36.1321803,128.493587,10826,하장리앞,하장리앞,하장리앞,bus_stop,platform
36.13687325,128.4913047,10824,하장3거리(묵어리방면),하장3거리,하장3거리(묵어리방면),bus_stop,platform
36.13109606,128.4941005,10517,하장1리(하장리앞방면),하장1리,하장1리(하장리앞방면),bus_stop,platform
36.30351976,128.2274294,10436,신오리 석거실(산촌마을입구방면),신오리 석거실,신오리 석거실(산촌마을입구방면),bus_stop,platform
36.27569119,128.2472468,10801,선산휴게소밑(대원2리방면),선산휴게소밑,선산휴게소밑(대원2리방면),bus_stop,platform
36.29142371,128.2296662,10799,태봉리(태봉1리방면),태봉리,태봉리(태봉1리방면),bus_stop,platform
36.28497161,128.2327195,10795,태봉1리(대원방면),태봉1리,태봉1리(대원방면),bus_stop,platform
36.11105703,128.3700712,10831,KEC정문,케이이씨,KEC정문,bus_stop,platform
36.11108251,128.374568,10467,LG유니참앞,LG유니참앞,LG유니참앞,bus_stop,platform
