위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.46199131,129.0807058,bus_stop,yes,platform,해운대청소년수련원,4355,공공데이터포털,2020-07-27
35.48009087,129.0888829,bus_stop,yes,platform,성천마을,4361,공공데이터포털,2020-07-27
35.483317,129.0901613,bus_stop,yes,platform,통도사자비도량,4362,공공데이터포털,2020-07-27
35.33851548,129.0265001,bus_stop,yes,platform,양산역,4414,공공데이터포털,2020-07-27
35.33836479,129.0267405,bus_stop,yes,platform,양산역,4415,공공데이터포털,2020-07-27
35.34390744,129.0352629,bus_stop,yes,platform,구터미널,4420,공공데이터포털,2020-07-27
35.34369303,129.0354113,bus_stop,yes,platform,구터미널,4421,공공데이터포털,2020-07-27
35.34212924,129.0333919,bus_stop,yes,platform,양산종합운동장,4422,공공데이터포털,2020-07-27
35.33954566,129.0316267,bus_stop,yes,platform,서이동,4424,공공데이터포털,2020-07-27
35.33919808,129.0314286,bus_stop,yes,platform,서이동,4425,공공데이터포털,2020-07-27
35.33739745,129.025616,bus_stop,yes,platform,양산역환승센터,4518,공공데이터포털,2020-07-27
35.33726994,129.0258422,bus_stop,yes,platform,양산역환승센터,4519,공공데이터포털,2020-07-27
35.33437148,129.0330496,bus_stop,yes,platform,신도시현대.청어람,4525,공공데이터포털,2020-07-27
35.33460322,129.0330779,bus_stop,yes,platform,신도시현대.청어람,4526,공공데이터포털,2020-07-27
35.38909824,129.0532127,bus_stop,yes,platform,대석휴먼시아,4541,공공데이터포털,2020-07-27
35.38885472,129.053637,bus_stop,yes,platform,대석휴먼시아,4542,공공데이터포털,2020-07-27
35.29335475,129.087314,bus_stop,yes,platform,희락원,4618,공공데이터포털,2020-07-27
35.29382955,129.0877244,bus_stop,yes,platform,희락원,4619,공공데이터포털,2020-07-27
35.29090895,129.0884704,bus_stop,yes,platform,대룡마을,4620,공공데이터포털,2020-07-27
35.29089702,129.0889509,bus_stop,yes,platform,대룡마을,4621,공공데이터포털,2020-07-27
35.2853795,129.0914606,bus_stop,yes,platform,직장마을,4622,공공데이터포털,2020-07-27
35.28541468,129.0908953,bus_stop,yes,platform,직장마을,4623,공공데이터포털,2020-07-27
35.27959635,129.092712,bus_stop,yes,platform,노포삼거리,4624,공공데이터포털,2020-07-27
35.27988576,129.0930938,bus_stop,yes,platform,노포삼거리,4625,공공데이터포털,2020-07-27
35.41455105,129.0634835,bus_stop,yes,platform,석계정류장,4725,공공데이터포털,2020-07-27
35.4146207,129.0632288,bus_stop,yes,platform,석계정류장,4726,공공데이터포털,2020-07-27
35.35344309,129.0383606,bus_stop,yes,platform,신기주공아파트,4832,공공데이터포털,2020-07-27
35.3603484,129.0410937,bus_stop,yes,platform,북정성원네오파트,4835,공공데이터포털,2020-07-27
35.35388757,129.0435729,bus_stop,yes,platform,베데스다병원,4836,공공데이터포털,2020-07-27
35.35314199,129.0377523,bus_stop,yes,platform,신기주공아파트,4867,공공데이터포털,2020-07-27
35.35404992,129.0431911,bus_stop,yes,platform,베데스다병원,4870,공공데이터포털,2020-07-27
35.36044124,129.0406552,bus_stop,yes,platform,북정성원네오파트,4871,공공데이터포털,2020-07-27
35.36519732,129.0424752,bus_stop,yes,platform,북정공단,4872,공공데이터포털,2020-07-27
35.50524626,129.0895473,bus_stop,yes,platform,방기,5067,공공데이터포털,2020-07-27
35.66724703,129.4577716,bus_stop,yes,platform,수렴,5406,공공데이터포털,2020-07-27
35.66703164,129.4572336,bus_stop,yes,platform,수렴,5407,공공데이터포털,2020-07-27
35.55321902,129.3435994,bus_stop,yes,platform,중앙여고,11101,공공데이터포털,2020-07-27
35.5533087,129.3436213,bus_stop,yes,platform,중앙여고,11102,공공데이터포털,2020-07-27
35.55444066,129.347783,bus_stop,yes,platform,강변이편한세상,11104,공공데이터포털,2020-07-27
35.55466941,129.346563,bus_stop,yes,platform,강변이편한세상,11105,공공데이터포털,2020-07-27
35.55293966,129.3474516,bus_stop,yes,platform,대산빌라,11106,공공데이터포털,2020-07-27
