위도,경도,name,public_transport,bus,addr:subdistrict,highway,source
35.928466,126.639959,신동,platform,yes,옥서면,bus_stop,공공데이터포털
35.918883,126.643644,신성산,platform,yes,옥서면,bus_stop,공공데이터포털
35.945109,126.813347,대야사거리,platform,yes,대야면,bus_stop,공공데이터포털
35.963258,126.763304,동안마을입구,platform,yes,개정동,bus_stop,공공데이터포털
35.98437,126.709723,명산사거리,platform,yes,명산동,bus_stop,공공데이터포털
35.956251,126.657022,미성동,platform,yes,산북동,bus_stop,공공데이터포털
35.980108,126.718678,미원동전북은행,platform,yes,중앙로3가,bus_stop,공공데이터포털
35.970378,126.728453,미장현대파인빌1차,platform,yes,미장동,bus_stop,공공데이터포털
35.969177,126.819866,분토,platform,yes,대야면,bus_stop,공공데이터포털
35.959707,126.697753,비사벌아파트,platform,yes,나운동,bus_stop,공공데이터포털
35.913514,126.660187,사호촌,platform,yes,옥구읍,bus_stop,공공데이터포털
36.009171,126.876267,산간,platform,yes,서수면,bus_stop,공공데이터포털
35.964223,126.723446,삼성쉐르빌아파트,platform,yes,미장동,bus_stop,공공데이터포털
35.975165,126.70565,삼일교회,platform,yes,문화동,bus_stop,공공데이터포털
36.005551,126.885279,상장곤,platform,yes,서수면,bus_stop,공공데이터포털
35.954049,126.86502,임피역,platform,yes,임피면,bus_stop,공공데이터포털
35.982263,126.754058,잠두,platform,yes,구암동,bus_stop,공공데이터포털
35.926494,126.686926,정리,platform,yes,옥구읍,bus_stop,공공데이터포털
35.975551,126.745008,조촌삼성아파트,platform,yes,조촌동,bus_stop,공공데이터포털
35.96892,126.710622,주공4차,platform,yes,나운동,bus_stop,공공데이터포털
35.98181,126.718033,중앙초등학교,platform,yes,중앙로2가,bus_stop,공공데이터포털
35.960368,126.710818,수송동신,platform,yes,지곡동,bus_stop,공공데이터포털
35.9599,126.600818,지엠대우자동차,platform,yes,소룡동,bus_stop,공공데이터포털
35.983573,126.820842,창오,platform,yes,성산면,bus_stop,공공데이터포털
35.903436,126.840366,청하면사무소,platform,yes,청하면,bus_stop,공공데이터포털
35.995051,126.845642,축산저수지,platform,yes,임피면,bus_stop,공공데이터포털
35.973906,126.772844,충량마을,platform,yes,개정면,bus_stop,공공데이터포털
35.94338,126.855422,탑동,platform,yes,대야면,bus_stop,공공데이터포털
35.976545,126.722921,시외버스터미널,platform,yes,대명동,bus_stop,공공데이터포털
35.976455,126.72338,팔마광장.터미널,platform,yes,대명동,bus_stop,공공데이터포털
35.932102,126.766312,표산,platform,yes,옥산면,bus_stop,공공데이터포털
35.932137,126.766402,표산,platform,yes,옥산면,bus_stop,공공데이터포털
36.020543,126.737899,하구둑관광단지,platform,yes,마서면,bus_stop,공공데이터포털
36.070606,126.934035,하와,platform,yes,성당면,bus_stop,공공데이터포털
35.959706,126.729095,한국타이어(미장동),platform,yes,미장동,bus_stop,공공데이터포털
35.963083,126.719761,한라비발디1단지,platform,yes,수송동,bus_stop,공공데이터포털
36.057456,126.908436,행동,platform,yes,함라면,bus_stop,공공데이터포털
35.98195,126.680793,현대차서비스,platform,yes,소룡동,bus_stop,공공데이터포털
36.071238,126.93562,회선,platform,yes,성당면,bus_stop,공공데이터포털
35.927477,126.62289,수라마을,platform,yes,옥서면,bus_stop,공공데이터포털
35.910129,126.638973,신오산촌마을,platform,yes,옥서면,bus_stop,공공데이터포털
35.97153,126.554561,군산항6부두,platform,yes,오식도동,bus_stop,공공데이터포털
35.9344,126.673378,개사리,platform,yes,개사동,bus_stop,공공데이터포털
35.945392,126.688085,미룡주공2단지,platform,yes,미룡동,bus_stop,공공데이터포털
35.889625,126.832602,구장산마을,platform,yes,청하면,bus_stop,공공데이터포털
35.930083,126.827383,장좌,platform,yes,대야면,bus_stop,공공데이터포털
35.983069,126.808239,고봉재정상,platform,yes,성산면,bus_stop,공공데이터포털
35.975732,126.902558,만석,platform,yes,임피면,bus_stop,공공데이터포털
35.986577,126.790277,고봉마을,platform,yes,성산면,bus_stop,공공데이터포털
35.953323,126.868064,계산,platform,yes,임피면,bus_stop,공공데이터포털
35.910479,126.763501,광지산사거리,platform,yes,회현면,bus_stop,공공데이터포털
35.968954,126.710778,중앙여고,platform,yes,나운동,bus_stop,공공데이터포털
35.974512,126.78666,당산경노당,platform,yes,개정면,bus_stop,공공데이터포털
35.963549,126.797878,원발산,platform,yes,개정면,bus_stop,공공데이터포털
35.970421,126.770463,충량,platform,yes,개정면,bus_stop,공공데이터포털
35.954975,126.567127,SNS인더스트리사거리,platform,yes,오식도동,bus_stop,공공데이터포털
36.014856,126.699163,장항터미널,platform,yes,장항읍,bus_stop,공공데이터포털
35.961885,126.586028,교통공원사거리,platform,yes,소룡동,bus_stop,공공데이터포털
35.984482,126.851861,임피,platform,yes,임피면,bus_stop,공공데이터포털
35.953273,126.8228,남흥마을,platform,yes,대야면,bus_stop,공공데이터포털
35.966198,126.715351,롯데마트,platform,yes,수송동,bus_stop,공공데이터포털
35.903332,126.840195,청하면사무소,platform,yes,청하면,bus_stop,공공데이터포털
35.970256,126.875883,소령,platform,yes,임피면,bus_stop,공공데이터포털
35.951496,126.715428,외당마을,platform,yes,옥산면,bus_stop,공공데이터포털
35.950344,126.800839,조선이기앞,platform,yes,개정면,bus_stop,공공데이터포털
