위도,경도,name,name:en,name:ko,highway,public_transport
37.770824,128.29626,신흥동승강장,Sinheungdongseunggangjang,신흥동승강장,bus_stop,platform
37.744552,128.06804,심복골,Simbokgol,심복골,bus_stop,platform
37.744473,128.068084,심복골,Simbokgol,심복골,bus_stop,platform
37.734286,127.936398,아랫송정리,Araetsongjeongni,아랫송정리,bus_stop,platform
37.734213,127.936501,아랫송정리,Araetsongjeongni,아랫송정리,bus_stop,platform
37.803767,127.998396,아오라지,Aoraji,아오라지,bus_stop,platform
37.803682,127.998396,아오라지,Aoraji,아오라지,bus_stop,platform
37.624016,127.773216,아파트앞,Apateuap,아파트앞,bus_stop,platform
37.623517,127.866593,안흥,Anheung,안흥,bus_stop,platform
37.623783,127.866549,안흥(상),Anheung(Sang),안흥(상),bus_stop,platform
37.630353,127.861881,안흥(하),Anheung(Ha),안흥(하),bus_stop,platform
37.630263,127.861787,안흥(하),Anheung(Ha),안흥(하),bus_stop,platform
37.818977,127.962902,야시대마을회관,Yasidaemaeulhoegwan,야시대마을회관,bus_stop,platform
37.81897,127.962811,야시대마을회관,Yasidaemaeulhoegwan,야시대마을회관,bus_stop,platform
37.823307,127.954548,야시대종점,Yasidaejongjeom,야시대종점,bus_stop,platform
37.701253,128.134986,야촌,Yachon,야촌,bus_stop,platform
37.701365,128.135009,야촌,Yachon,야촌,bus_stop,platform
37.655501,127.840116,약불사,Yakbulsa,약불사,bus_stop,platform
37.655505,127.840307,약불사,Yakbulsa,약불사,bus_stop,platform
37.780317,127.911276,약수쉼터,Yaksuswimteo,약수쉼터,bus_stop,platform
37.780454,127.911237,약수쉼터,Yaksuswimteo,약수쉼터,bus_stop,platform
37.703409,128.115802,약수터,Yaksuteo,약수터,bus_stop,platform
37.703504,128.11587,약수터,Yaksuteo,약수터,bus_stop,platform
37.798893,127.971081,양계장,Yanggyejang,양계장,bus_stop,platform
37.798849,127.970993,양계장,Yanggyejang,양계장,bus_stop,platform
37.616358,127.768029,양덕원터미널,Yangdeogwonteomineol,양덕원터미널,bus_stop,platform
37.616595,127.768137,양덕원터미널,Yangdeogwonteomineol,양덕원터미널,bus_stop,platform
37.660555,127.830736,양지마을,Yangjimaeul,양지마을,bus_stop,platform
37.718882,128.144417,어론삼거리,Eoronsamgeori,어론삼거리,bus_stop,platform
37.71873,128.144305,어론삼거리,Eoronsamgeori,어론삼거리,bus_stop,platform
37.718747,128.144496,어론삼거리,Eoronsamgeori,어론삼거리,bus_stop,platform
37.712021,127.694715,어유포리,Eoyupo-ri,어유포리,bus_stop,platform
37.711935,127.694558,어유포삼거리,Eoyuposamgeori,어유포삼거리,bus_stop,platform
37.828268,128.009194,역내리.가래뜰,Yeongnae-ri.Garaetteul,역내리.가래뜰,bus_stop,platform
37.82829,128.008887,역내리.가래뜰,Yeongnae-ri.Garaetteul,역내리.가래뜰,bus_stop,platform
37.847142,128.017947,역내리.천감,Yeongnae-ri.Cheongam,역내리.천감,bus_stop,platform
