위도,경도,name,name:ko,highway,public_transport
37.18392,128.12923,미륵당이,미륵당이,bus_stop,platform
37.18741,128.13173,삼거리,삼거리,bus_stop,platform
37.13096,128.13062,봉양파출소,봉양파출소,bus_stop,platform
37.11216,128.12309,도장골,도장골,bus_stop,platform
37.069049,128.145166,사곡리,사곡리,bus_stop,platform
37.068788,128.144985,사곡리,사곡리,bus_stop,platform
37.072313,128.229158,대장리(마을회관 앞),대장리(마을회관 앞),bus_stop,platform
37.030273,128.177631,성내리,성내리,bus_stop,platform
37.030273,128.177631,성내리,성내리,bus_stop,platform
37.024895,128.176292,성내리,성내리,bus_stop,platform
37.024895,128.176292,성내리,성내리,bus_stop,platform
37.055542,128.170966,구룡리,구룡리,bus_stop,platform
37.055542,128.170966,구룡리,구룡리,bus_stop,platform
37.062531,128.16735,구룡리,구룡리,bus_stop,platform
37.065767,128.166851,구룡리,구룡리,bus_stop,platform
37.069333,128.169018,구룡리,구룡리,bus_stop,platform
37.069314,128.169288,구룡리,구룡리,bus_stop,platform
37.101707,128.220427,동막리,동막리,bus_stop,platform
37.067265,128.121547,활산리 ,활산리 ,bus_stop,platform
37.067282,128.121704,활산리,활산리,bus_stop,platform
37.046592,128.159434,월굴리,월굴리,bus_stop,platform
37.046871,128.1593,월굴리,월굴리,bus_stop,platform
37.044479,128.174629,월굴리,월굴리,bus_stop,platform
37.044479,128.174629,월굴리,월굴리,bus_stop,platform
37.048998,128.172335,월굴리,월굴리,bus_stop,platform
37.049999,128.171797,월굴리,월굴리,bus_stop,platform
37.072758,128.180643,월림리,월림리,bus_stop,platform
37.072884,128.180677,월림리,월림리,bus_stop,platform
37.074538,128.188925,월림리,월림리,bus_stop,platform
37.075083,128.19744,양화리,양화리,bus_stop,platform
37.082756,128.205322,양화리,양화리,bus_stop,platform
37.086856,128.205468,양화리,양화리,bus_stop,platform
37.08792,128.205168,양화리,양화리,bus_stop,platform
37.078742,128.20782,양화리(가스공사 중간밸브 앞),양화리(가스공사 중간밸브 앞),bus_stop,platform
37.078742,128.20782,양화리(가스공사 중간밸브 앞),양화리(가스공사 중간밸브 앞),bus_stop,platform
37.078865,128.214118,양화리 길마재,양화리 길마재,bus_stop,platform
37.05947,128.19583,포전리,포전리,bus_stop,platform
37.05951,128.19594,포전리,포전리,bus_stop,platform
37.142032,128.017939,평동1리 백운중학교 앞,평동1리 백운중학교 앞,bus_stop,platform
