경도,위도,name,name:ko,highway,public_transport
38.492181,128.393816,화곡리,화곡리,bus_stop,platform
38.486592,128.394527,화곡리,화곡리,bus_stop,platform
38.462188,128.423029,죽정2리,죽정2리,bus_stop,platform
38.446409,128.442955,봉평리,봉평리,bus_stop,platform
38.439016,128.446101,자산리,자산리,bus_stop,platform
38.45414,128.395922,산북리,산북리,bus_stop,platform
38.449693,128.399474,용하리,용하리,bus_stop,platform
38.437915,128.399437,송강리,송강리,bus_stop,platform
38.437992,128.402347,송강리,송강리,bus_stop,platform
38.439294,128.405728,송강리,송강리,bus_stop,platform
38.441019,128.423728,송정리,송정리,bus_stop,platform
38.441571,128.425178,송정리,송정리,bus_stop,platform
38.441544,128.434553,봉평리,봉평리,bus_stop,platform
38.440683,128.444273,송정리입구,송정리입구,bus_stop,platform
38.435844,128.449476,송포1리,송포1리,bus_stop,platform
38.435794,128.449706,송포1리,송포1리,bus_stop,platform
38.433075,128.45258,송포2리,송포2리,bus_stop,platform
38.429203,128.456928,송포2리,송포2리,bus_stop,platform
38.418242,128.464562,반암리부대입구,반암리부대입구,bus_stop,platform
38.409474,128.467537,송죽리,송죽리,bus_stop,platform
38.399301,128.467826,송죽리,송죽리,bus_stop,platform
38.391656,128.461087,대대1리,대대1리,bus_stop,platform
38.399621,128.449096,오정리입구,오정리입구,bus_stop,platform
38.395534,128.442978,초계리,초계리,bus_stop,platform
38.395939,128.436514,초계리,초계리,bus_stop,platform
38.409569,128.425304,석문리종점,석문리종점,bus_stop,platform
38.397468,128.432671,초계리,초계리,bus_stop,platform
38.395875,128.43781,초계리,초계리,bus_stop,platform
38.395492,128.443107,초계리,초계리,bus_stop,platform
38.399611,128.449271,오정리,오정리,bus_stop,platform
38.388504,128.459994,대대2리,대대2리,bus_stop,platform
38.384927,128.452958,교동리대일가스앞,교동리대일가스앞,bus_stop,platform
38.38793,128.420134,해상리,해상리,bus_stop,platform
38.387627,128.416609,해상1리,해상1리,bus_stop,platform
38.3742,128.413706,광산1리,광산1리,bus_stop,platform
38.37345,128.412621,광산1리,광산1리,bus_stop,platform
38.364705,128.428055,어천2리,어천2리,bus_stop,platform
38.368184,128.430402,어천2리,어천2리,bus_stop,platform
38.377141,128.429512,교동리,교동리,bus_stop,platform
38.377665,128.423405,광산4리,광산4리,bus_stop,platform
38.373502,128.398082,광산1리,광산1리,bus_stop,platform
38.372896,128.395339,광산2리,광산2리,bus_stop,platform
38.369,128.388501,광산2리,광산2리,bus_stop,platform
38.365547,128.387542,광산2리.서잠,광산2리.서잠,bus_stop,platform
38.356331,128.382034,장신리.수동파출소입구,장신리.수동파출소입구,bus_stop,platform
38.333767,128.377661,장신리유원지앞,장신리유원지앞,bus_stop,platform
38.292072,128.363622,진부리,진부리,bus_stop,platform
38.265237,128.373389,흘1리.알프스스키장,흘1리.알프스스키장,bus_stop,platform
38.264492,128.37411,흘1리.알프스스키장,흘1리.알프스스키장,bus_stop,platform
38.262997,128.375762,흘1리종점,흘1리종점,bus_stop,platform
38.292059,128.363703,진부리,진부리,bus_stop,platform
38.334084,128.377836,장신2리,장신2리,bus_stop,platform
38.351646,128.381699,장신1리,장신1리,bus_stop,platform
38.356333,128.382279,장신리.수동파출소입구,장신리.수동파출소입구,bus_stop,platform
38.369245,128.388728,광산2리,광산2리,bus_stop,platform
38.372822,128.395606,광산2리,광산2리,bus_stop,platform
38.373355,128.398155,광산1리,광산1리,bus_stop,platform
38.373032,128.411951,광산1리,광산1리,bus_stop,platform
38.37418,128.41394,광산1리,광산1리,bus_stop,platform
38.375694,128.415994,광산1리,광산1리,bus_stop,platform
38.377421,128.423753,광산4리,광산4리,bus_stop,platform
38.377022,128.429785,교동리,교동리,bus_stop,platform
38.37752,128.436893,교동리,교동리,bus_stop,platform
38.377584,128.438545,향교,향교,bus_stop,platform
38.378401,128.441482,교동리,교동리,bus_stop,platform
38.3787,128.441502,교동,교동,bus_stop,platform
38.381375,128.445489,교동리,교동리,bus_stop,platform
38.381313,128.445065,교동리,교동리,bus_stop,platform
38.380814,128.463106,간성차고지,간성차고지,bus_stop,platform
38.379547,128.46548,상리,상리,bus_stop,platform
38.379532,128.467863,군청앞,군청앞,bus_stop,platform
38.379111,128.470318,신안리,신안리,bus_stop,platform
38.379375,128.469582,천년고성시장입구,천년고성시장입구,bus_stop,platform
38.378753,128.472841,신안리,신안리,bus_stop,platform
38.377724,128.478121,신안리.고성경찰서입구,신안리.고성경찰서입구,bus_stop,platform
38.393439,128.482085,동호1리,동호1리,bus_stop,platform
38.327586,128.503072,인정리,인정리,bus_stop,platform
38.328254,128.506142,인정2리,인정2리,bus_stop,platform
38.328369,128.506182,인정2리,인정2리,bus_stop,platform
38.327679,128.503114,인정리,인정리,bus_stop,platform
38.336581,128.497642,오봉2리,오봉2리,bus_stop,platform
38.33778,128.502063,왕곡마을1리,왕곡마을1리,bus_stop,platform
38.342104,128.501241,왕곡마을입구,왕곡마을입구,bus_stop,platform
38.346884,128.509581,오봉리.왕곡마을입구,오봉리.왕곡마을입구,bus_stop,platform
38.377229,128.484189,향목리.농공단지입구,향목리.농공단지입구,bus_stop,platform
38.380136,128.491102,향목리,향목리,bus_stop,platform
38.376924,128.499119,가진리,가진리,bus_stop,platform
38.372149,128.502159,가진리,가진리,bus_stop,platform
38.365583,128.501249,공원묘지입구,공원묘지입구,bus_stop,platform
38.359091,128.50539,공현진.덕운면옥,공현진.덕운면옥,bus_stop,platform
38.352544,128.508923,공현진,공현진,bus_stop,platform
38.349994,128.509284,공현진리,공현진리,bus_stop,platform
38.336732,128.517863,송지호공원,송지호공원,bus_stop,platform
38.328536,128.52432,오호리,오호리,bus_stop,platform
38.325621,128.52518,오호리,오호리,bus_stop,platform
38.320733,128.526875,삼포리.군인관사앞,삼포리.군인관사앞,bus_stop,platform
38.31677,128.529749,삼포리,삼포리,bus_stop,platform
38.305638,128.536919,송암리,송암리,bus_stop,platform
38.304046,128.538283,송암리,송암리,bus_stop,platform
38.300175,128.526748,야촌리,야촌리,bus_stop,platform
38.297335,128.519653,운봉리,운봉리,bus_stop,platform
38.293822,128.518643,운봉리,운봉리,bus_stop,platform
38.293846,128.518777,운봉리,운봉리,bus_stop,platform
38.282121,128.507844,학야리,학야리,bus_stop,platform
38.285062,128.500914,율곡부대,율곡부대,bus_stop,platform
38.283491,128.503092,학야,학야,bus_stop,platform
38.281039,128.511825,학야리,학야리,bus_stop,platform
38.268376,128.47539,도원1리,도원1리,bus_stop,platform
38.271391,128.497843,도원2리,도원2리,bus_stop,platform
38.271545,128.497915,도원2리,도원2리,bus_stop,platform
38.278493,128.510739,학야1리,학야1리,bus_stop,platform
38.272124,128.523816,도원3리,도원3리,bus_stop,platform
38.29384,128.544319,동광산업과학고,동광산업과학고,bus_stop,platform
38.285424,128.547658,금화정리,금화정리,bus_stop,platform
38.27759,128.548401,아야진리.아야진항입구,아야진리.아야진항입구,bus_stop,platform
38.273794,128.54808,아야진리,아야진리,bus_stop,platform
38.2703,128.549921,아야진리,아야진리,bus_stop,platform
38.26709,128.554367,청간리,청간리,bus_stop,platform
38.244587,128.568882,봉포리.구검문소,봉포리.구검문소,bus_stop,platform
38.249535,128.566904,봉포리,봉포리,bus_stop,platform
38.273441,128.555734,토성농협,토성농협,bus_stop,platform
38.289032,128.54681,교암2리.천학정입구,교암2리.천학정입구,bus_stop,platform
38.292227,128.545389,교암1리,교암1리,bus_stop,platform
38.3574,128.508155,공현진해수욕장앞,공현진해수욕장앞,bus_stop,platform
38.49021,128.430174,초도2리,초도2리,bus_stop,platform
38.498631,128.425353,대진초등학교,대진초등학교,bus_stop,platform
38.505267,128.421924,대진1리,대진1리,bus_stop,platform
38.448529,128.403103,비석거리,비석거리,bus_stop,platform
