위도,경도,public_transport,highway,name,operator,source,source:date
37.85401,127.78014,platform,bus_stop,신촌리종점,춘천시,공공데이터포털,2019-11-27
37.84893,127.7745,platform,bus_stop,고은리입구,춘천시,공공데이터포털,2019-11-27
37.83104,127.76854,platform,bus_stop,사암1리,춘천시,공공데이터포털,2019-11-27
37.98372,127.89632,platform,bus_stop,천리터,춘천시,공공데이터포털,2019-11-27
38.01343,127.88076,platform,bus_stop,추곡1리,춘천시,공공데이터포털,2019-11-27
38.03338,127.87707,platform,bus_stop,추곡(낚시터),춘천시,공공데이터포털,2019-11-27
38.03491,127.86861,platform,bus_stop,추곡터널,춘천시,공공데이터포털,2019-11-27
37.95108,127.7474,platform,bus_stop,발산1리,춘천시,공공데이터포털,2019-11-27
37.7412,127.57256,platform,bus_stop,가정1리마을회관,춘천시,공공데이터포털,2019-11-27
37.73993,127.57275,platform,bus_stop,가정중학교,춘천시,공공데이터포털,2019-11-27
37.75094,127.61982,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.75752,127.62377,platform,bus_stop,후동리,춘천시,공공데이터포털,2019-11-27
37.76034,127.62658,platform,bus_stop,소주고개쉼터,춘천시,공공데이터포털,2019-11-27
37.73887,127.62456,platform,bus_stop,발산2리(치안센터),춘천시,공공데이터포털,2019-11-27
37.73445,127.57568,platform,bus_stop,가정진료소,춘천시,공공데이터포털,2019-11-27
37.73909,127.62473,platform,bus_stop,발산2리(치안센터),춘천시,공공데이터포털,2019-11-27
37.78784,127.76007,platform,bus_stop,새술막,춘천시,공공데이터포털,2019-11-27
37.7435,127.7102,platform,bus_stop,광판삼거리,춘천시,공공데이터포털,2019-11-27
37.75164,127.70918,platform,bus_stop,탑골,춘천시,공공데이터포털,2019-11-27
37.84328,127.73133,platform,bus_stop,정족1리입구,춘천시,공공데이터포털,2019-11-27
37.83633,127.73104,platform,bus_stop,정족1리,춘천시,공공데이터포털,2019-11-27
37.80906,127.70917,platform,bus_stop,증2리,춘천시,공공데이터포털,2019-11-27
37.81477,127.71089,platform,bus_stop,금병초교,춘천시,공공데이터포털,2019-11-27
37.8142,127.70898,platform,bus_stop,증1리,춘천시,공공데이터포털,2019-11-27
37.83629,127.7308,platform,bus_stop,정족1리,춘천시,공공데이터포털,2019-11-27
37.84324,127.73114,platform,bus_stop,정족1리입구,춘천시,공공데이터포털,2019-11-27
37.74593,127.7959,platform,bus_stop,조양2리,춘천시,공공데이터포털,2019-11-27
37.74588,127.79598,platform,bus_stop,조양2리,춘천시,공공데이터포털,2019-11-27
37.74042,127.79634,platform,bus_stop,조양2리,춘천시,공공데이터포털,2019-11-27
37.74009,127.79642,platform,bus_stop,조양2리,춘천시,공공데이터포털,2019-11-27
37.86378,127.84817,platform,bus_stop,(구)상걸초,춘천시,공공데이터포털,2019-11-27
37.86391,127.84825,platform,bus_stop,(구)상걸초,춘천시,공공데이터포털,2019-11-27
37.86617,127.83999,platform,bus_stop,상걸교,춘천시,공공데이터포털,2019-11-27
