위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.2922343,127.5173459,신원주유소,신원주유소,32181,bus_stop,platform,yes
37.2910047,127.5085672,신지아파트,신지아파트,32177,bus_stop,platform,yes
37.2900213,127.5055745,쌍룡해장국,쌍룡해장국,32175,bus_stop,platform,yes
37.2851884,127.4886818,부발,부발,32161,bus_stop,platform,yes
37.2848628,127.4883781,부발,부발,32160,bus_stop,platform,yes
37.2824461,127.4853577,부대앞,부대앞,32159,bus_stop,platform,yes
37.2823898,127.4847694,부대앞,부대앞,32158,bus_stop,platform,yes
37.2774135,127.471359,마암리,마암리,32137,bus_stop,platform,yes
37.2611136,127.4585176,가좌리태우빌라앞,가좌리태우빌라앞,32302,bus_stop,platform,yes
37.2635817,127.471641,OB앞,OB앞,32139,bus_stop,platform,yes
37.2633995,127.4720466,OB앞,OB앞,32140,bus_stop,platform,yes
37.264704,127.4835222,효양중고,효양중고,32394,bus_stop,platform,yes
37.2635784,127.4824812,효양중고,효양중고,32901,bus_stop,platform,yes
37.2601324,127.4773173,신하초등학교,신하초등학교,32146,bus_stop,platform,yes
37.2600326,127.4772652,삼익아파트,삼익아파트,32147,bus_stop,platform,yes
37.2586419,127.4821755,진우아파트,진우아파트,32150,bus_stop,platform,yes
37.2584446,127.4818451,㈜대상,㈜대상,32151,bus_stop,platform,yes
37.2528981,127.4890164,에스케이하이닉스,에스케이하이닉스,32162,bus_stop,platform,yes
37.2526608,127.4890415,에스케이하이닉스,에스케이하이닉스,32165,bus_stop,platform,yes
37.248709,127.4913013,성우3.4단지아파트,성우3.4단지아파트,32169,bus_stop,platform,yes
37.2467821,127.4908853,현대3차아파트,현대3차아파트,32167,bus_stop,platform,yes
37.2467659,127.4919445,현대3차아파트앞,현대3차아파트앞,32402,bus_stop,platform,yes
37.2446094,127.4955992,사동2.3리,사동2.3리,32709,bus_stop,platform,yes
37.2404864,127.5109743,가산리,가산리,32445,bus_stop,platform,yes
