위도,경도,ref,정류장유형,name,short_name,name:ko,highway,public_transport
34.817883,126.397457,101503020,0,포미103동,포미103동,포미103동,bus_stop,platform
34.812428,126.39849,100200075,0,용해2단지아파트,용해2단지아파트,용해2단지아파트,bus_stop,platform
34.822138,126.401828,115000033,0,금호장례식장,금호장례식장,금호장례식장,bus_stop,platform
34.81966,126.39167,200000013,0,백련동,백련동,백련동,bus_stop,platform
34.821763,126.393857,115000034,0,용해펌프장,용해펌프장,용해펌프장,bus_stop,platform
34.81433,126.400185,115000030,0,구.목포경찰서,구.목포경찰서,구.목포경찰서,bus_stop,platform
34.81183,126.395939,115000028,0,마리아회고등학교,마리아회고등학교,마리아회고등학교,bus_stop,platform
34.806403,126.407438,100101104,0,청해사,청해사,청해사,bus_stop,platform
34.811283,126.39915,101000082,0,용해하이츠,용해하이츠,용해하이츠,bus_stop,platform
34.8173,126.396279,101503017,0,포미타운105동,포미타운105동,포미타운105동,bus_stop,platform
34.81141,126.39938,101503013,0,용해하이츠,용해하이츠,용해하이츠,bus_stop,platform
34.816192,126.399945,101503015,0,용해동주민센터,용해동주민센터,용해동주민센터,bus_stop,platform
34.819525,126.396067,100302033,0,용해초등학교,용해초등학교,용해초등학교,bus_stop,platform
34.818992,126.399185,101503022,0,대연초등학교,대연초등학교,대연초등학교,bus_stop,platform
34.819011,126.401549,106100021,0,목포보훈지청,목포보훈지청,목포보훈지청,bus_stop,platform
34.820486,126.400136,106100022,0,대연초등학교,대연초등학교,대연초등학교,bus_stop,platform
34.817248,126.39649,106100059,0,포미타운105동,포미타운105동,포미타운105동,bus_stop,platform
34.819275,126.401901,106100057,0,목포보훈지청,목포보훈지청,목포보훈지청,bus_stop,platform
34.820227,126.400675,106100056,0,대연초등학교,대연초등학교,대연초등학교,bus_stop,platform
34.817188,126.398538,100301025,0,포미타운입구,포미타운입구,포미타운입구,bus_stop,platform
34.816725,126.399528,100301026,0,용해동주민센터,용해동주민센터,용해동주민센터,bus_stop,platform
34.819507,126.39887,115000094,0,대연초등학교,대연초등학교,대연초등학교,bus_stop,platform
34.817417,126.394797,101501056,0,용해호반리젠시빌,용해호반리젠시빌,용해호반리젠시빌,bus_stop,platform
34.817788,126.397662,101501058,0,포미타운103호,포미타운103호,포미타운103호,bus_stop,platform
34.821455,126.393724,101501052,0,용해펌프장,용해펌프장,용해펌프장,bus_stop,platform
