위도,경도,ref,name,name:ko,highway,public_transport
35.29088394,128.1047418,13077,개심,개심,bus_stop,platform
35.29072603,128.1047616,13063,개심,개심,bus_stop,platform
35.28895169,128.1066035,13012,개심회관,개심회관,bus_stop,platform
35.28896234,128.106425,13011,개심회관,개심회관,bus_stop,platform
35.16733387,128.2930884,6012,개암,개암,bus_stop,platform
35.16736736,128.2933276,6011,개암,개암,bus_stop,platform
35.16389509,128.1256725,48601,개양군부대,개양군부대,bus_stop,platform
35.16371876,128.1262188,48602,개양군부대,개양군부대,bus_stop,platform
35.16025231,128.1114398,48001,개양변전소교차로,개양변전소교차로,bus_stop,platform
35.1602046,128.1119741,48002,개양변전소교차로,개양변전소교차로,bus_stop,platform
35.15775131,128.1077374,47009,개양오거리,개양오거리,bus_stop,platform
35.15791095,128.1075283,47010,개양오거리,개양오거리,bus_stop,platform
35.19713766,128.0818704,33002,갤러리아백화점,갤러리아백화점,bus_stop,platform
35.19684798,128.081507,33001,갤러리아백화점,갤러리아백화점,bus_stop,platform
35.20418858,128.2804434,8068,거곡,거곡,bus_stop,platform
35.20434853,128.2804459,8069,거곡,거곡,bus_stop,platform
35.20669896,128.2829672,8040,거곡경로회관,거곡경로회관,bus_stop,platform
35.20692274,128.2833249,8039,거곡경로회관,거곡경로회관,bus_stop,platform
35.18969147,128.338782,7035,검정,검정,bus_stop,platform
35.18957896,128.3389723,7036,검정,검정,bus_stop,platform
35.19025273,128.3354976,7034,검정사거리,검정사거리,bus_stop,platform
35.19016378,128.3355949,7033,검정사거리,검정사거리,bus_stop,platform
35.19992659,128.2218698,5031,경남과학고등학교,경남과학고등학교,bus_stop,platform
35.19966766,128.2216384,5032,경남과학고등학교,경남과학고등학교,bus_stop,platform
35.208881,128.1191166,39040,경남도로관리사업소진주지소,경남도로관리사업소진주지소,bus_stop,platform
35.20881076,128.1191596,39041,경남도로관리사업소진주지소,경남도로관리사업소진주지소,bus_stop,platform
35.18652482,128.093164,20004,경남문화예술회관,경남문화예술회관,bus_stop,platform
35.18637442,128.0931016,20003,경남문화예술회관,경남문화예술회관,bus_stop,platform
35.21238781,128.1170809,39018,경남서부보훈지청,경남서부보훈지청,bus_stop,platform
35.21251383,128.1166104,39017,경남서부보훈지청,경남서부보훈지청,bus_stop,platform
35.21244308,128.1223119,39019,경남서부청사/보건소,경남서부청사/보건소,bus_stop,platform
35.21258507,128.121578,39020,경남서부청사/보건소,경남서부청사/보건소,bus_stop,platform
35.21541106,128.1023975,38009,경남예술고등학교,경남예술고등학교,bus_stop,platform
35.21536019,128.1022925,38010,경남예술고등학교,경남예술고등학교,bus_stop,platform
35.2151656,128.1043601,38012,경남예술고등학교정문,경남예술고등학교정문,bus_stop,platform
35.2149776,128.1039731,38013,경남예술고등학교정문,경남예술고등학교정문,bus_stop,platform
35.17898723,128.1174113,35043,경남예식장,경남예식장,bus_stop,platform
