위도,경도,name,name:ko,note,highway,public_transport
35.50975,128.8456694,감물리입구,감물리입구,"감물리,감물리1,감물리2,감물리3,감물리4,감물리5",bus_stop,platform
35.48148056,128.7585806,강변뚝길,강변뚝길,9롯데,bus_stop,platform
35.39488889,128.8134611,거족,거족,삼랑진,bus_stop,platform
35.39472777,128.813525,거족,거족,삼랑진,bus_stop,platform
35.47310555,128.7658889,경남아파트,경남아파트,"2금동,5밀성고,5번,5시청,7-1번,7번,7지동,9번,금동1,금동1-2,금동2,금동4,금동7-1,남산1,대흥동2,삼랑진,해동1",bus_stop,platform
35.45908333,128.7515722,고노실,고노실,"1-2금동,1금동,5금동,5밀성고,5번,5시청,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.45893889,128.7516722,고노실,고노실,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.56324722,128.79785,고답,고답,"도곡1,도곡2,신곡1,신곡3,신곡4,신곡5,신곡6",bus_stop,platform
35.56328333,128.7979333,고답,고답,"신곡3,신곡4,신곡5,신곡6",bus_stop,platform
35.49517778,128.6045417,고라,고라,"1서가정,서가정4,서가정5,서가정6",bus_stop,platform
35.49506944,128.6043722,고라,고라,"1서가정,서가정1,서가정1,서가정2,서가정2,서가정3,서가정3,서가정4,서가정5,서가정6,서가정7",bus_stop,platform
35.48728889,128.9314722,고례종점,고례종점,"고례1,고례2,고례3",bus_stop,platform
35.49220278,128.9288306,고례초등학교,고례초등학교,"고례1,고례2,고례3",bus_stop,platform
35.49216944,128.9289222,고례초등학교,고례초등학교,"고례1,고례2,고례3",bus_stop,platform
35.55236944,128.6566194,고법회관,고법회관,"대촌1,대촌2",bus_stop,platform
35.56413056,128.7858778,고정,고정,"도곡1,도곡2,도곡4,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7",bus_stop,platform
35.56396388,128.7858556,고정,고정,"도곡1,도곡2,도곡4,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7",bus_stop,platform
35.47437222,128.5924056,곰골,곰골,서가정1,bus_stop,platform
35.47443889,128.592475,곰골,곰골,"서가정2,서가정3,서가정4,서가정5",bus_stop,platform
35.47353333,128.6083972,관동,관동,서가정1,bus_stop,platform
35.47358889,128.6084639,관동,관동,"서가정2,서가정3,서가정4,서가정5",bus_stop,platform
35.41817222,128.7400861,관동,관동,남산1,bus_stop,platform
35.41839167,128.7398389,관동,관동,남산1,bus_stop,platform
35.53942778,128.8482056,괴곡,괴곡,"발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.53910495,128.8482909,괴곡,괴곡,"발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.50389444,128.7546472,교동사거리,교동사거리,"2가곡,2번,2부산대,2용성,2청운,2초동,2칠성,3-1번,3-1부산대,3금곡,3번,3상동,5금동,5번,6-1번,6번,6부산대,6상동,6상동1,6상동2,6엄광,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,고례1,고례2,국전,국전1,국전2,국전4,도곡1,도곡4,발례,발례1,상동,신곡1,신곡3,신곡4,신곡5,신곡7,얼음골,얼음골1,얼음골2,엄광1,엄광2,옥산,옥산1,옥산2,청운.,초동공단.,초동면소,표충사,표충사1,표충사2",bus_stop,platform
35.50401036,128.7525552,교동사거리,교동사거리,"1-2가곡,1-2금동,1-2번,1-2부산대,1가곡,1금동,1번,1부산대,1서가정,1용성,1초동,1칠성,4-2번,9롯데,9번,가곡,화봉1",bus_stop,platform
35.50404976,128.7523246,교동사거리,교동사거리,"2가곡,2번,2부산대,2용성,2청운,2초동,2칠성,5금동,5밀성고,5번,청운.,초동공단.,초동면소",bus_stop,platform
35.51119134,128.7566735,교동행정복지센터,교동행정복지센터,"2가곡,2번,2부산대,2용성,2청운,2초동,2칠성,5금동,5밀성고,5번,청운.,초동공단.,초동면소",bus_stop,platform
35.51098743,128.7567517,교동행정복지센터,교동행정복지센터,"1-2가곡,1-2금동,1-2번,1-2부산대,1가곡,1금동,1번,1부산대,1서가정,1용성,1초동,1칠성,4-2번,5시청,9롯데,9번,가곡,화봉1",bus_stop,platform
35.51047195,128.7578041,교동행정복지센터,교동행정복지센터,"3-1번,3-1부산대,3금곡,3번,3상동,6-1번,6번,6부산대,6상동,6상동1,6상동2,6엄광,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,도곡1,도곡2,도곡4,발례,발례1,발례2,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,얼음골,얼음골1,얼음골2,얼음골3,엄광1,엄광2,옥산,옥산1,옥산2,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.51061641,128.7574766,교동행정복지센터,교동행정복지센터,"3-1번,3-1부산대,3금곡,3번,3상동,6-1번,6번,6부산대,6상동,6상동1,6상동2,6엄광,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,도곡1,도곡2,도곡4,발례,발례1,발례2,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,얼음골,얼음골1,얼음골2,얼음골3,엄광1,엄광2,옥산,옥산1,옥산2,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.54858889,128.6260361,구기,구기,"4구기,대촌2,두곡,소태,조천,조천1,조천2",bus_stop,platform
35.54847222,128.6259278,구기,구기,"구기1,구기3,대촌1,대촌1,두곡,소태,조천,조천1,조천2",bus_stop,platform
35.49387222,128.83255,구미,구미,"감물리,감물리1,감물리2,감물리3,감물리4,감물리5",bus_stop,platform
35.49091389,128.7426639,국립식량과학원,국립식량과학원,"서가정4,서가정5,초동2",bus_stop,platform
35.49111111,128.7427111,국립식량과학원,국립식량과학원,"서가정5,영신2",bus_stop,platform
35.45379722,128.7522778,국립종자관리원,국립종자관리원,"1-2금동,1금동,5금동,5밀성고,5번,5시청,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.45379444,128.7524222,국립종자관리원,국립종자관리원,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.48366944,128.8987972,국서,국서,"국전,국전1,국전2,국전3,국전4",bus_stop,platform
35.48361111,128.8988944,국서,국서,"국전,국전1,국전2,국전3,국전4",bus_stop,platform
35.46483056,128.89995,국전저수지,국전저수지,"국전,국전1,국전2,국전3,국전4",bus_stop,platform
35.54382778,128.6188556,근기,근기,"조천,조천1,조천2",bus_stop,platform
35.54399444,128.6189389,근기,근기,"조천,조천1,조천2",bus_stop,platform
35.51105556,128.8392889,금곡,금곡,"3금곡,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.45534003,128.7924514,금곡,금곡,"4부산대,6용성,부산대1,부산대1-2,부산대2,부산대3,부산대4,부산대4-1,부산대6,부산대7,부산대7-1,삼랑1,삼랑2,삼랑3-1,삼랑4,삼랑4-1,삼랑7,용성0,용성2,용성7,칠성1-2,칠성2",bus_stop,platform
35.55094444,128.7648472,금곡,금곡,"3상동,6상동,6상동1,6상동2,도곡1,도곡2,도곡4,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,옥산,옥산1,옥산2",bus_stop,platform
35.510925,128.83845,금곡,금곡,"감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.45530261,128.7923928,금곡,금곡,"1-2부산대,1부산대,1용성,1칠성,1칠성.,2부산대,2용성,2칠성,3-1부산대,4-1용성,4부산대,4퇴로2,6부산대,6상동2,7롯데,7삼랑,용성,용성1,칠성",bus_stop,platform
35.55100833,128.7648944,금곡,금곡,"3상동,6상동,6상동1,6상동2,도곡1,도곡2,도곡4,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,옥산,옥산1,옥산2",bus_stop,platform
35.51210556,128.8420722,금곡교,금곡교,"감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.42961111,128.7648694,금동,금동,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.42957778,128.7646278,금동,금동,"1-2금동,1금동,5금동,남산1,남산2,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.56657222,128.8693111,금암,금암,"발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.56648611,128.8694083,금암,금암,"발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.455875,128.7518806,기산,기산,"1-2금동,1금동,5금동,5밀성고,5번,5시청,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.45596111,128.7521028,기산,기산,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.51435573,128.7744356,긴늪,긴늪,"3-1번,3-1부산대,3금곡,3금곡,3번,3상동,6-1번,6번,6부산대,6상동,6상동1,6상동2,6엄광,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,도곡1,도곡2,도곡4,발례,발례1,발례2,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,얼음골,얼음골1,얼음골2,얼음골3,엄광1,엄광2,옥산,옥산1,옥산2,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.51445833,128.7742028,긴늪,긴늪,"3-1번,3-1부산대,3번,3상동,6-1번,6번,6부산대,6상동,6상동1,6상동2,6엄광,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,도곡1,도곡2,도곡4,발례,발례1,발례2,상동,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,얼음골,얼음골1,얼음골2,얼음골3,엄광1,엄광2,옥산,옥산1,옥산2,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.52714167,128.7810833,길곡,길곡,"도곡1,도곡2,신곡1,신곡3,신곡5,신곡6,신곡7,옥산,옥산1,옥산2",bus_stop,platform
35.527125,128.7812444,길곡,길곡,"도곡1,도곡2,신곡1,신곡3,신곡4,신곡5,신곡6,신곡7,옥산,옥산1,옥산2",bus_stop,platform
35.54006944,128.6533278,까막수,까막수,"4구기,구기1,구기3,대촌1,대촌1,대촌2,대촌2,두곡,소태,조천,조천1,조천2",bus_stop,platform
35.54003055,128.6531,까막수,까막수,"4구기,구기1,구기3,대촌1,대촌1,대촌2,두곡,소태,조천,조천1,조천2",bus_stop,platform
35.58817778,128.9588389,깻들,깻들,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.58808889,128.9588167,깻들,깻들,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.51248056,128.7905528,남가,남가,"3금곡,6엄광,6활성,6활성1,엄광1,엄광2",bus_stop,platform
35.51238889,128.7906333,남가,남가,"3금곡,6엄광,6활성,6활성1,엄광1,엄광2",bus_stop,platform
35.51248611,128.7940389,남계,남계,엄광2,bus_stop,platform
35.51256944,128.79405,남계,남계,엄광1,bus_stop,platform
35.58723056,128.9531667,남명,남명,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.58725278,128.9534333,남명,남명,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.43094444,128.7246361,남산종점,남산종점,"남산1,남산2",bus_stop,platform
35.41048888,128.7264056,남전,남전,"1초동,초동면소,초동면소.",bus_stop,platform
35.41071111,128.7265667,남전,남전,"초동3,초동공단.",bus_stop,platform
35.46618611,128.7860833,남포,남포,"1-2부산대,1부산대,1용성,1칠성,1칠성.,2부산대,2용성,2칠성,3-1부산대,4-1용성,4부산대,4퇴로2,6부산대,6상동2,7롯데,7삼랑,용성,용성1,칠성",bus_stop,platform
35.46625,128.7861333,남포,남포,"4부산대,6용성,부산대1,부산대1-2,부산대2,부산대3,부산대4,부산대4-1,부산대6,부산대7,부산대7-1,삼랑1,삼랑2,삼랑3-1,삼랑4,삼랑4-1,삼랑7,용성0,용성2,용성7,칠성1-2,칠성2",bus_stop,platform
35.43107778,128.7644639,내금,내금,"1-2금동,1금동,5금동,5밀성고,5번,5시청,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.43120833,128.7644861,내금,내금,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.49277222,128.7509444,내이동우체국,내이동우체국,"4-1번,4-1번.,4-1용성,4-2번,9롯데,9번,서가정5,영신3",bus_stop,platform
35.49295278,128.7514028,내이동우체국,내이동우체국,"1서가정,2가곡,2번,2부산대,2용성,2초동,2초동.,2칠성,3금곡,3번,4-1롯데,4-1번,4-1청운,4-2번,4구기,4대항2,4대항4,4대항5,4대항6,4대항8,4퇴로1,4퇴로3,4퇴로6,4퇴로8,6-1번",bus_stop,platform
35.49284722,128.7507806,내이동우체국,내이동우체국,"7-1번,9롯데,9번,서가정5,영신3",bus_stop,platform
35.52315555,128.6525694,내진,내진,"구기3,대촌1,대촌2,두곡,소태,조천,조천1",bus_stop,platform
35.52316111,128.6527389,내진,내진,"구기3,대촌1,대촌2,두곡,소태,조천,조천2",bus_stop,platform
35.44647222,128.7547306,농업기술센터,농업기술센터,"1초동,2금동,5밀성고,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.44641944,128.7546083,농업기술센터,농업기술센터,"1-2금동,1금동,5금동,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.51705555,128.7265056,농협자재,농협자재,"4구기,4대항1,4대항2,4대항3,4대항6,4대항7,4대항8,4퇴로1,4퇴로2,4퇴로3,4퇴로5,4퇴로6,4퇴로8,7롯데",bus_stop,platform
35.49074444,128.5960194,다례,다례,"1서가정,서가정1,서가정2,서가정3,서가정4,서가정5,서가정6",bus_stop,platform
35.49080278,128.5960361,다례,다례,"서가정2,서가정3,서가정4,서가정5,서가정6",bus_stop,platform
35.50224722,128.814925,다원,다원,"3금곡,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.50215556,128.8148778,다원,다원,"3금곡,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.50228611,128.8126028,다원,다원,"6활성,6활성1",bus_stop,platform
35.51507778,128.8593111,단장숲,단장숲,"고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.51506944,128.8595111,단장숲,단장숲,"고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,표충사,표충사1,표충사2,표충사3",bus_stop,platform
35.39006111,128.7804472,당곡,당곡,"수산1,수산2",bus_stop,platform
35.39002814,128.7805224,당곡,당곡,"수산1,수산2",bus_stop,platform
35.46316111,128.7553222,당촌,당촌,"1-2금동,1금동,5금동,5밀성고,5번,5시청,7-1번,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.46318611,128.7556889,당촌,당촌,"1초동,2금동,5밀성고,5번,5시청,7-1번,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
