위도,경도,,,name,주용도,addr:full,operator,operator:type,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2263718255,126.2694812389,,,상모1리,마을회관,,이교동마을회,community,2020-06-10,,상모인성로,18,대정읍,,,
33.2242128884,126.2599432158,,,상모2리,마을회관,,상모2리 마을회,community,2020-06-10,,상모로274번길,10,대정읍,,,
33.2219490263,126.2582931385,,,상모3리,마을회관,,상모3리 마을회,community,2020-06-10,,영서중로,45-4,대정읍,,,
33.2159612215,126.2575070032,,,하모1리,마을회관,,하모1리 마을회,community,2020-06-10,,최남단해안로125번길,47,대정읍,,,
33.2202502977,126.2534546196,,,하모2리,마을회관,,하모2리마을회,community,2020-06-10,,신영로94번길,7,대정읍,,,
33.2217715861,126.249751579,,,하모3리,마을회관,,하모3리 마을회,community,2020-06-10,,하모상가로,9,대정읍,,,
33.2285401098,126.2430725258,,,동일1리,마을회관,,동일리 마을회,community,2020-06-10,,동일하모로,99,대정읍,,,
33.2281611097,126.2412434718,,,동일1리,다목적회관,,동일1리 마을회,community,2020-06-10,,동일하모로,88,대정읍,,,
33.2578425676,126.2366042472,,,동일2리,마을회관,,동일2리 마을회,community,2020-06-10,,암반수마농로329번길,18,대정읍,,,
33.2346721816,126.2397066857,,,일과1리,마을회관,,일과1리 마을회,community,2020-06-10,,암반수마농로55번길,34,대정읍,,,
33.2462842424,126.2238329637,,,일과2리,마을회관,,일과2리 마을회,community,2020-06-10,,서림로,8,대정읍,,,
33.2478003453,126.2804410533,,,인성리,마을회관,,인성리 마을회,community,2020-06-10,,향교로75번길,60,대정읍,,,
33.2501921339,126.2818121362,,,안성리,마을회관,,안성리 마을회,community,2020-06-10,,추사로,10-1,대정읍,,,
33.2513519399,126.2728703896,,,보성리,마을회관,,보성리 마을회,community,2020-06-10,,추사로,93-10,대정읍,,,
33.251169375,126.2731036849,,,보성리,다목적회관,,보성리 마을회,community,2020-06-10,,추사로,93-7,대정읍,,,
33.2653033538,126.2591074491,,,신평리,마을회관,,신평리 마을회,community,2020-06-10,,중산간서로,2610,대정읍,,,
33.2728360278,126.2791538373,,,구억리,마을회관,,구억리 마을회,community,2020-06-10,,중산간서로,2380,대정읍,,,
33.2742665466,126.2801853812,,,구억리,마을회관,,구억리 마을회,community,2020-06-10,,중산간서로,2362,대정읍,,,
33.1664378466,126.2735293142,,,가파리,마을회관,,가파리 어촌계,community,2020-06-10,,가파로,73,대정읍,,,
33.1180359459,126.2663207748,,,마라리,마을회관,,마라도 마을회,community,2020-06-10,,마라로,65,대정읍,,,
33.2585553385,126.2109753818,,,영락리,마을회관,,영락리 마을회,community,2020-06-10,,영락중동로,11,대정읍,,,
33.2701386983,126.2029889355,,,무릉1리,마을회관,,무릉1리 마을회,community,2020-06-10,,서삼중로,81,대정읍,,,
33.274845856,126.2352670185,,,무릉2리,마을회관,,무릉2리 마을회,community,2020-06-10,,중산간서로,2868,대정읍,,,
33.2812017047,126.2238460835,,,무릉2리,평지동마을회관,,무릉2리 평지동 마을회,community,2020-06-10,,무영로228번길,19,대정읍,,,
33.2784330012,126.1917502468,,,신도1리,마을회관,,신도1리 마을회,community,2020-06-10,,도원로,217,대정읍,,,
33.2776223526,126.174854054,,,신도2리,마을회관,,신도2리 마을회,community,2020-06-10,,도원로,43,대정읍,,,
33.2866984721,126.1845116891,,,신도3리,마을회관,,신도3리 마을회,community,2020-06-10,,비자낭로,8,대정읍,,,
33.2778188511,126.716155272,,,남원1리,종합복지회관,,남원1리마을회 ,community,2020-06-10,,남원회관로,27,남원읍,,,
33.2738935219,126.6957308717,,,남원1리,신성동회관,,남원1리 ,community,2020-06-10,,태위로510번길,79-2,남원읍,,,
33.2778188511,126.716155272,,,남원1리,어촌체험마을 방문자센터,,남원1리,community,2020-06-10,,남원회관로,27,남원읍,,,
33.29480909,126.7114149276,,,남원2리,마을회관,,남원2리 마을회 ,community,2020-06-10,,서의로,26,남원읍,,,
33.2927534973,126.7099186435,,,남원2리,복지회관,,남원2리 마을회,community,2020-06-10,,남한로,173,남원읍,,,
33.29480909,126.7114149276,,,남원2리,의례회관,,남원2리 마을회,community,2020-06-10,,서의로,26,남원읍,,,
33.2927534973,126.7099186435,,,남원2리,구)마을회관,,남원2리 마을회,community,2020-06-10,,남한로,173,남원읍,,,
33.283439391,126.733145531,,,태흥1리,복지회관,,태흥1리 마을회,community,2020-06-10,,태위로,817,남원읍,,,
33.283439391,126.733145531,,,태흥1리,마을회관,,태흥1리 마을회,community,2020-06-10,,태위로,817,남원읍,,,
33.2877131026,126.7451648454,,,태흥2리,마을회관,,태흥2리 마을회,community,2020-06-10,,태신로,14,남원읍,,,
33.2935930684,126.7584735241,,,태흥3리,마을회관,,태흥3리 마을회,community,2020-06-10,,삼덕로,3,남원읍,,,
33.2935930684,126.7584735241,,,태흥3리,복지회관,,태흥3리 마을회,community,2020-06-10,,삼덕로,3,남원읍,,,
33.273796837,126.657192757,,,위미1리,복지회관,,위미1리 마을회,community,2020-06-10,,위미해안로,4-3,남원읍,,,
33.2740564802,126.6571831553,,,위미1리,경로복지회관,,위미1리 마을회,community,2020-06-10,,위미해안로,4-2,남원읍,,,
33.2753894014,126.668603149,,,위미2리,마을회관,,위미2리 마을회 ,community,2020-06-10,,태위로,197,남원읍,,,
33.283116947,126.6614545732,,,위미2리,다목적복지회관,,위미2리 마을회 ,community,2020-06-10,,위미중앙로,78,남원읍,,,
33.275529501,126.6878979884,,,위미3리,마을회관,,위미3리 마을회,community,2020-06-10,,태위로,381-5,남원읍,,,
33.289800327,126.6576884486,,,위미2리,한마음복지회관,,위미2리마을회,community,2020-06-10,,중산간동로,6862,남원읍,,,
33.2691679558,126.6253505133,,,하례1리,마을회관,,하례1리 마을회,community,2020-06-10,,하례중앙로,95,남원읍,,,
33.297204671,126.6088595616,,,하례2리,마을회관,,하례2리 마을회,community,2020-06-10,,하례돈야로,83,남원읍,,,
33.2881222069,126.6272191009,,,신례1리,마을회관,,신례1리 마을회,community,2020-06-10,,신례중앙로,37,남원읍,,,
33.2650876157,126.6407757466,,,신례2리,마을회관,,신례2리 마을회,community,2020-06-10,,공천포로,69-1,남원읍,,,
33.311850736,126.6951652583,,,한남리,마을회관,,한남리 마을회,community,2020-06-10,,남한로,431,남원읍,,,
33.3284702633,126.7136755029,,,수망리,마을회관,,수망리 마을회,community,2020-06-10,,태수로,599-34,남원읍,,,
33.3103395099,126.713305249,,,의귀리,마을회관,,의귀리 마을회,community,2020-06-10,,한신로,207,남원읍,,,
33.3103395099,126.713305249,,,의귀리,구)노인회관,,의귀리 마을회,community,2020-06-10,,한신로,207,남원읍,,,
33.3041475085,126.7669485323,,,신흥1리,마을회관,,신흥1리마을회,community,2020-06-10,,신흥로,34,남원읍,,,
33.304052174,126.7680397145,,,신흥1리,다목적회관,,신흥1리마을회,community,2020-06-10,,신흥앞동산로40번길,22-43,남원읍,,,
33.3045706918,126.7676002498,,,신흥1리,복지회관,,신흥2리마을회,community,2020-06-10,,신흥로,32-10,남원읍,,,
33.3211355991,126.7456045988,,,신흥2리,종합복지타운,,신흥2리마을회,community,2020-06-10,,중산간동로,5807,남원읍,,,
33.4648876863,126.9342771436,,,성산리,마을회관,,성산리마을회,community,2020-06-10,,성산중앙로65번길,7-1,성산읍,,,
33.463628919,126.9340500419,,,구)성산리,마을회관,,성산리마을회,community,2020-06-10,,성산중앙로,46,성산읍,,,
33.4614859071,126.9149861594,,,오조리,마을회관,,오조리 마을회,community,2020-06-10,,오조로,85,성산읍,,,
33.4761520935,126.898993023,,,시흥리,마을회관,,시흥리마을회,community,2020-06-10,,일주동로,3916,성산읍,,,
33.4448401027,126.9120211613,,,고성리,마을회관,,고성리마을회,community,2020-06-10,,서성일로1222번길,36,성산읍,,,
