위도,경도,name,amenity,community_centre,community_centre:for,addr:full,operator,operator:type,source:date
33.304052174,126.7680397145,신흥1리 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 남원읍 신흥앞동산로40번길 22-43,신흥1리마을회,community,2020-06-10
33.3045706918,126.7676002498,신흥1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 남원읍 신흥로 32-10,신흥2리마을회,community,2020-06-10
33.3211355991,126.7456045988,신흥2리 종합복지타운,community_centre,village_hall,senior,제주특별자치도 서귀포시 남원읍 중산간동로 5807,신흥2리마을회,community,2020-06-10
33.4648876863,126.9342771436,성산리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 성산중앙로65번길 7-1,성산리마을회,community,2020-06-10
33.463628919,126.9340500419,구)성산리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 성산중앙로 46,성산리마을회,community,2020-06-10
33.4614859071,126.9149861594,오조리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 오조로 85,오조리 마을회,community,2020-06-10
33.4761520935,126.898993023,시흥리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 일주동로 3916,시흥리마을회,community,2020-06-10
33.4448401027,126.9120211613,고성리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 서성일로1222번길 36,고성리마을회,community,2020-06-10
33.4381754818,126.9174091936,신양리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 신고로 28,신양리마을회,community,2020-06-10
33.4458799532,126.8829301053,수산1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 수산서남로 17,수산1리마을회,community,2020-06-10
33.4421313765,126.8638222602,수산2리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 수산서남로79번길 150,수산2리마을회,community,2020-06-10
33.4081209913,126.9001726607,온평리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6,온평리마을회,community,2020-06-10
33.4081209913,126.9001726607,온평리 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 온평애향로23번길 6,온평리마을회,community,2020-06-10
33.4011802713,126.8707916169,난산리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 난산로 39,난산리마을회,community,2020-06-10
33.4007733303,126.8713597871,난산리 마을다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 난산로 29,난산리마을회,community,2020-06-10
33.3810298642,126.8768870122,신산리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 신산중앙로 1,신산리마을회,community,2020-06-10
33.3801773934,126.8755427068,신산리 종합복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 일주동로 5120,신산리마을회,community,2020-06-10
33.3742313734,126.8474178221,삼달1리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 삼달로 209,삼달1리마을회,community,2020-06-10
33.3694086079,126.8687195858,삼달2리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 일주동로 5252,삼달2리마을회,community,2020-06-10
33.3613983852,126.8352688037,신풍리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 신풍상동로 4,신풍리마을회,community,2020-06-10
33.3441849584,126.8497949073,신천리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 성산읍 신천서로 5,신천리마을회,community,2020-06-10
33.2463402196,126.3363012784,구)화순리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 화순중앙로 67,화순리마을회,community,2020-06-10
33.2459863989,126.3335312882,화순리 종합복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 화순로 121-5,제주특별자치도,community,2020-06-10
33.253965026,126.3297148362,화순리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 화순문화로 2,화순리부녀회(화순리마을회),community,2020-06-10
