위도,경도,name,addr:full,source:date,amenity,karaoke
33.24688413,126.5636813,불여시가요방,제주특별자치도 서귀포시 명동로 14,2020-08-20,bar,yes
33.24688413,126.5636813,항공모함감성포차주점,제주특별자치도 서귀포시 명동로 14,2020-08-20,bar,yes
33.24711128,126.563663,캐슬,제주특별자치도 서귀포시 명동로 16,2020-08-20,bar,yes
33.24711128,126.563663,믹스믹스,제주특별자치도 서귀포시 명동로 16,2020-08-20,bar,yes
33.24711128,126.563663,뉴뮤직뱅크,제주특별자치도 서귀포시 명동로 16,2020-08-20,bar,yes
33.24711128,126.563663,엔츠뮤직타운,제주특별자치도 서귀포시 명동로 16,2020-08-20,bar,yes
33.24711128,126.563663,두꺼비,제주특별자치도 서귀포시 명동로 16,2020-08-20,bar,yes
33.24758017,126.5647037,또와또와가요방,제주특별자치도 서귀포시 명동로 27,2020-08-20,bar,yes
33.24758017,126.5647037,카카오가요방,제주특별자치도 서귀포시 명동로 27,2020-08-20,bar,yes
33.24758017,126.5647037,프렌즈가요방,제주특별자치도 서귀포시 명동로 27,2020-08-20,bar,yes
33.24758017,126.5647037,궁전,제주특별자치도 서귀포시 명동로 27,2020-08-20,bar,yes
33.24731735,126.5648338,히트가요방,제주특별자치도 서귀포시 명동로 28,2020-08-20,bar,yes
33.24759542,126.5649397,토마토가요방,제주특별자치도 서귀포시 명동로 29,2020-08-20,bar,yes
33.24759542,126.5649397,원미시룸,제주특별자치도 서귀포시 명동로 29,2020-08-20,bar,yes
33.24759614,126.5651457,여우가요방,제주특별자치도 서귀포시 명동로 29-1,2020-08-20,bar,yes
33.24736663,126.5655203,진선미,제주특별자치도 서귀포시 명동로 34,2020-08-20,bar,yes
33.2474145,126.5658033,아리수,제주특별자치도 서귀포시 명동로 38,2020-08-20,bar,yes
33.2474145,126.5658033,삼공사공,제주특별자치도 서귀포시 명동로 38,2020-08-20,bar,yes
33.24687633,126.5624881,아미비지니스룸,제주특별자치도 서귀포시 명동로 4,2020-08-20,bar,yes
33.2474957,126.5663352,금팡팡노래방,제주특별자치도 서귀포시 명동로 42,2020-08-20,bar,yes
33.24773054,126.5664542,무랑루즈,제주특별자치도 서귀포시 명동로 43,2020-08-20,bar,yes
33.24714403,126.5627186,불꽃가요방,제주특별자치도 서귀포시 명동로 7,2020-08-20,bar,yes
33.24005605,126.5644449,산호,제주특별자치도 서귀포시 부두로 55,2020-08-20,bar,yes
33.25161783,126.560138,두레박 가요주점,제주특별자치도 서귀포시 서문로 11,2020-08-20,bar,yes
33.25197819,126.5600547,벤츠에스,제주특별자치도 서귀포시 서문로 8,2020-08-20,bar,yes
33.2518338,126.5577789,백설공주,제주특별자치도 서귀포시 서문로 10 ,2020-08-20,bar,yes
