위도,경도,name,addr:full,source:date,amenity,karaoke,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2482836382,126.562704332,빅토리아단란주점,,2020-08-20,bar,yes,,중앙로42번길,8,,,,
33.248543816,126.5608015734,쎄븐,,2020-08-20,bar,yes,,중앙로47번길,7,,,,
33.249225799,126.5629485916,럭셔리,,2020-08-20,bar,yes,,중앙로48번길,13,,,,
33.2505394468,126.564225462,지구촌단란주점,,2020-08-20,bar,yes,,중앙로62번길,28,,,,
33.2510758368,126.5608704625,카프리,,2020-08-20,bar,yes,,중앙로71번길,4,,,,
33.250931454,126.561858427,뱅크단란주점,,2020-08-20,bar,yes,,중앙로72번길,8-2,,,,
33.2484681445,126.566991359,만남,,2020-08-20,bar,yes,,중정로,100,,,,
33.2481357041,126.5586017055,대명단란주점,,2020-08-20,bar,yes,,중정로,19-8,,,,
33.2475101649,126.5622274586,이쁜이단란주점,,2020-08-20,bar,yes,,중정로,54-1,,,,
33.2486115645,126.5657158548,박카스,,2020-08-20,bar,yes,,중정로,89,,,,
33.248680268,126.566801454,옥기린단란주점,,2020-08-20,bar,yes,,중정로,97-1,,,,
33.2488544695,126.5629890703,여우밤단란주점,,2020-08-20,bar,yes,,중정로61번길,12,,,,
33.2501738449,126.5628151029,호원,,2020-08-20,bar,yes,,중정로61번길,26,,,,
33.2474446758,126.5630905148,홀릭,,2020-08-20,bar,yes,,중정로62번길,5,,,,
33.2487963237,126.563890733,에프비아이(FBI),,2020-08-20,bar,yes,,중정로73번길,7-1,,,,
33.2501934975,126.5643044408,태풍단란주점,,2020-08-20,bar,yes,,중정로91번길,26,,,,
33.2503835567,126.5639944498,불꽃단란주점,,2020-08-20,bar,yes,,중정로91번길,30,,,,
33.2509237617,126.5627469834,누비라,,2020-08-20,bar,yes,,중정로91번길,41-1,,,,
33.2510026207,126.5626092351,금화단란주점,,2020-08-20,bar,yes,,중정로91번길,43,,,,
33.2512857031,126.5620884474,사랑방,,2020-08-20,bar,yes,,중정로91번길,49,,,,
