위도,경도,name,tourism,motor_vehicle,tents,caravans,static_caravans,addr:full,capacity:caravans,capacity:tents,power_supply,bbq,hot_water,internet_access,swimming_pool,shower,toilets,washing_machine,source:date
37.2637704,126.4471352,Black tree (블랙트리캠핑장),camp_site,,yes,,,인천광역시 옹진군 영흥면 내리 ,0,18,yes,yes,yes,yes,,,,,2019-07-12
35.9641281,128.7408376,블루마운틴 ,camp_site,yes,yes,yes,yes,대구광역시 동구 능성동 산 47-1,1,10,yes,no,yes,yes,,,,,2019-07-12
35.819148,129.2951566,블루스카이 ,camp_site,,yes,,,경상북도 경주시 천군동 ,0,,yes,no,yes,no,yes,,,,2019-07-12
34.9236796,128.3014165,블루웨일 글램핑 ,camp_site,,yes,,,경상남도 고성군 삼산면 두포리 ,0,,no,no,no,no,yes,,,,2019-07-12
36.9220823,128.5046926,비로야영장 (소백산 비로오토파크캠핑&펜션),camp_site,,yes,,,경상북도 영주시 풍기읍 삼가로 447-11 ,0,53,yes,yes,yes,no,,,,,2019-07-12
37.6641163,127.612295,비발디 캠핑파크 ,camp_site,,yes,,,강원도 홍천군 서면 한서로 1031-11,0,70,yes,yes,yes,yes,yes,,,,2019-07-12
36.6136476,126.3031223,비비 오토 캠프 ,camp_site,,yes,,,충청남도 태안군 남면 신온리 ,0,,yes,no,yes,no,,,,,2019-07-12
35.6910027,128.5068369,비슬산숲속오토캠핑장 ,camp_site,yes,,,,대구광역시 달성군 유가면 ,0,,yes,no,yes,no,yes,,,,2019-07-12
37.7704096,126.9379027,비타민 캠핑장 ,camp_site,,yes,,,경기도 양주시 백석읍 기산로440번길 110-43 ,0,30,yes,yes,yes,yes,yes,,,,2019-07-12
34.984468,127.9664143,비토섬오토캠핑장 ,camp_site,,yes,yes,yes,경상남도 사천시 토끼로 245-5 비토섬신우리조트 ,8,21,yes,yes,yes,yes,yes,,,,2019-07-12
37.8911692,126.9144968,비학농원캠핑장 ,camp_site,yes,,,,경기도 파주시 만월로613번길 217-0 ,0,16,yes,yes,yes,yes,,,,,2019-07-12
36.1474462,129.2108045,비학산자연휴양림 ,camp_site,,yes,yes,yes,경상북도 포항시 북구 기북면 탑정리 ,5,11,yes,no,yes,yes,yes,,,,2019-07-12
36.285408,127.384438,뿌리공원캠핑장 ,camp_site,yes,,,,대전광역시 중구 안영동 ,0,29,yes,no,yes,no,,,,,2019-07-12
36.6390866,126.9670665,사계절오토캠핑장,camp_site,,yes,,,충청남도 공주시 유구읍 무드리길 64 ,0,130,yes,yes,yes,no,yes,,,,2019-07-12
36.8314115,126.7434068,사과랑 관광농원,camp_site,,yes,,,충남 당진시 순성면 가화로 136,0,20,yes,yes,yes,no,yes,,,,2019-07-12
35.5789627,128.9805981,사과향기캠핑장,camp_site,,yes,,,경상남도 밀양시 산내면 얼음골옛길 347-12 ,0,23,yes,no,yes,yes,,,,,2019-07-12
37.5462949,127.6193935,사나래관광농원,camp_site,,yes,,,경기도 양평군 용문면 중원리 580,0,10,yes,yes,yes,yes,yes,,,,2019-07-12
38.0906819,127.0010282,사나래글램핑장,camp_site,yes,,,,경기도 연천군 왕징면 군왕로 181,0,,no,no,no,no,yes,,,,2019-07-12
35.8577294,129.5244986,사나래카라반캠핑장,camp_site,,yes,yes,yes,경상북도 포항시 남구 장기면 동해안로 2932 ,10,10,no,no,no,yes,yes,,,,2019-07-12
37.0725771,128.7448039,사랑나무 캠핑장,camp_site,yes,,,,강원도 영월군 김삿갓면 내리계곡로 131-12 ,0,53,yes,yes,yes,yes,,,,,2019-07-12
35.6681237,127.266972,사선대캠핑장 ,camp_site,,yes,,,전라북도 임실군 관촌면 관촌리 ,0,,yes,no,yes,no,yes,,,,2019-07-12
37.2213939,128.2953272,사슬치 캠핑장,camp_site,yes,,,,강원도 영월군 주천면 용석리 339,0,26,yes,yes,yes,no,yes,,,,2019-07-12
35.3948556,128.9470211,사지목 나무그늘 ,camp_site,,yes,,,경상남도 양산시 원동면 내포리 ,0,8,no,no,no,no,,,,,2019-07-12
34.7435549,127.8563405,사촌해수욕장야영장 ,camp_site,,yes,,,경상남도 남해군 남면 임포리 ,0,,no,no,no,no,,,,,2019-07-12
36.5935184,127.0183811,산과별 관광농원,camp_site,,yes,,,공주시 사곡면 부곡리 274-3,0,26,yes,yes,yes,yes,yes,,,,2019-07-12
36.1953438,127.5663217,산꽃벚꽃마을 오토캠핑장,camp_site,,yes,,,충청남도 금산군 군북면 산안리 302,0,35,yes,yes,yes,yes,yes,,,,2019-07-12
36.9950346,129.1991053,산내들 관광농원,camp_site,,yes,,,경상북도 울진군 금강송면 소광리 429-1,0,,no,no,no,no,,,,,2019-07-12
35.9771001,128.0156817,산내들 패밀리 어드벤처파크,camp_site,,yes,,,김천시 지례면 부항로 109-38,0,17,yes,yes,yes,yes,yes,,,,2019-07-12
37.114044,128.1120619,산내들민박&오토캠핑장,camp_site,,yes,,,충청북도 제천시 국사봉로 260-0 ,0,12,yes,yes,yes,yes,,,,,2019-07-12
35.6640559,129.058118,산내별빛오토캠핑장 ,camp_site,,yes,,,경상북도 경주시 산내면 대현리 ,0,12,yes,yes,yes,yes,yes,,,,2019-07-12
35.7578172,129.0410068,산내편안관광농원,camp_site,,yes,,,경상북도 경주시 산내면 외칠리 ,0,12,yes,no,yes,no,,,,,2019-07-12
35.9301808,127.2709158,산너머그곳 캠핑장 ,camp_site,,yes,,,전라북도 완주군 동상면 송광수만로 1080 ,0,,yes,no,yes,no,yes,,,,2019-07-12
37.2443009,128.1653255,산노리 캠핑장,camp_site,yes,,,,강원도 원주시 신림면 황둔리 1000,0,56,yes,yes,yes,yes,yes,,,,2019-07-12
37.2109376,126.8945754,산들래 야영장,camp_site,,yes,,,경기도 화성시 비봉면 자청로207번길 21-73 ,0,60,yes,yes,yes,yes,yes,,,,2019-07-12
36.3969703,127.4385337,산디마을 생태공원 캠핑장 ,camp_site,yes,,,,대전광역시 대덕구 장동 685-1 ,0,17,yes,yes,yes,yes,yes,,,,2019-07-12
38.111963,127.3996608,산마루캠핑장 ,camp_site,,yes,,,경기도 포천시 이동면 금강로 6584-20 ,0,66,yes,yes,yes,yes,yes,,,,2019-07-12
38.0565891,127.4911397,산방환담 ,camp_site,yes,,,,강원도 화천군 사내면 광덕리 ,0,,yes,no,yes,no,,,,,2019-07-12
37.4268876,128.0572467,산사랑 글램핑,camp_site,,yes,,,강원도 원주시 소초면 학곡리 ,0,5,yes,no,yes,no,,,,,2019-07-12
36.7406022,127.7587293,산새소리캠핑장,camp_site,,yes,,,충북 괴산군 청천면 도경로여사왕 2길 4-67,0,23,yes,yes,yes,no,yes,,,,2019-07-12
37.1468855,128.7078923,산솔 캠핑장,camp_site,yes,,,,강원 영월군 중동면 태백산로 1616,0,,yes,yes,yes,yes,yes,,,,2019-07-12
37.035477,128.6762554,산아래 캠핑장 ,camp_site,,yes,,,경상북도 영주시 부석면 영부로890번길 132 ,0,5,yes,yes,yes,no,yes,,,,2019-07-12
37.9712916,127.1056858,산아래캠핑장 ,camp_site,,yes,,,포천시 관인면 삼율리 12,0,32,yes,yes,yes,yes,yes,,,,2019-07-12
35.6413353,127.7413647,산애 캠핑장,camp_site,,yes,,,경상남도 함양군 서하면 우전길 112-2 ,0,15,yes,yes,yes,no,yes,,,,2019-07-12
37.9073979,127.1018498,산야초 자연캠핑장 ,camp_site,,yes,,,경기도 동두천시 광암동 쇠목길 320 ,0,120,yes,yes,yes,no,yes,,,,2019-07-12
37.3770757,128.271781,산여울캠핑장,camp_site,,yes,yes,yes,강원 영월군 무릉도원면 백년계곡길 142,10,60,yes,yes,yes,yes,,,,,2019-07-12
35.5430289,128.8566995,산여울캠핑장 ,camp_site,yes,yes,yes,yes,경상남도 밀양시 산외면 밀양대로 3480 ,0,26,yes,yes,yes,yes,,,,,2019-07-12
37.3930539,127.7599287,산울림관광농원,camp_site,,yes,,,경기도 양평군 양동면 삼산리 ,0,50,yes,yes,yes,yes,yes,,,,2019-07-12
37.7145801,127.5678493,산으로 캠핑장 ,camp_site,,yes,,,강원도 홍천군 서면 마곡리 ,0,47,yes,yes,yes,yes,yes,,,,2019-07-12
37.5957698,127.5734551,국립자연휴양림관리소 북부지역팀(산음 자연휴양림),camp_site,,yes,,,경기 양평군 옥천면 중미산로 1152,0,43,yes,no,yes,yes,,,,,2019-07-12
37.6057269,127.6005389,산음숲자연학교 힐링캠핑장(참사람생태예술치유센터),camp_site,,yes,,,경기도 양평군 단월면 봉미산샘골길 1 ,0,20,yes,no,yes,no,,,,,2019-07-12
37.5993991,127.5968084,산음캠핑(글램핑),camp_site,,yes,,,경기도 양평군 단월면 고북길 76-23 ,0,15,yes,no,yes,no,,,,,2019-07-12
37.7542993,127.412328,산장관광지,camp_site,yes,yes,,,경기도 가평군 상면 덕현리 ,0,59,yes,no,no,yes,,,,,2019-07-12
35.7213059,129.0690552,산장펜션 캠핑장,camp_site,,yes,,,경상북도 경주시 산내면 대현리 ,0,24,yes,yes,yes,yes,yes,,,,2019-07-12
38.0767022,127.3247329,산정레이크 RV리조트 ,camp_site,,yes,,,경기도 포천시 영북면 산정리 ,0,,yes,no,yes,yes,yes,,,,2019-07-12
38.066029,127.3167571,산정호수 가족글램핑장 ,camp_site,,yes,,,경기도 포천시 영북면 산정호수로411번길 13 ,2,22,yes,yes,yes,yes,yes,,,,2019-07-12
38.0893272,127.3214536,산정호수글램핑,camp_site,,yes,,,경기도 포천시 영북면 산정리 353-8,0,,no,no,no,no,,,,,2019-07-12
35.3329003,127.8949944,산청별천지캠핑장,camp_site,,yes,,,경상남도 산청군 단성면 호암로701번길 139,0,12,yes,yes,yes,yes,yes,,,,2019-07-12
35.3850747,127.8190127,산청지막계곡캠핑장 ,camp_site,,yes,,,경남 산청군 금서면 왕등재로 307 ,0,66,yes,yes,yes,yes,yes,,,,2019-07-12
37.900933,127.1207106,산촌오토캠핑장,camp_site,yes,yes,,,경기도 동두천시 탑동동 탑신로237번길 111 ,0,50,yes,yes,yes,yes,yes,,,,2019-07-12
37.2090003,128.9794023,산타파크캠핑장 ,camp_site,yes,,,,강원도 태백시 황지동 ,0,,yes,no,no,no,yes,,,,2019-07-12
37.5277081,127.8646471,살구나무글램핑&펜션,camp_site,,yes,yes,yes,강원도 횡성군 경강로 615-19,1,11,no,no,no,no,,,,,2019-07-12
37.8316611,128.3711752,살둔마을 생둔분교 캠핑장,camp_site,yes,,,,강원도 홍천군 내면 율전리 ,0,25,yes,yes,yes,yes,,,,,2019-07-12
37.8314424,128.3691494,살둔산장 ,camp_site,yes,,,,강원도 홍천군 살둔길 30-15 ,0,15,yes,yes,yes,yes,,,,,2019-07-12
37.6312479,128.358277,삼남매와 뭉치네 캠핑장 ,camp_site,yes,,,,강원도 평창군 봉평면 원길리 ,0,18,yes,yes,yes,no,yes,,,,2019-07-12
35.1670019,128.9671984,삼락생태공원 오토캠핑장,camp_site,yes,yes,,,부산광역시  사상구 삼락동 29-59 ,0,112,yes,yes,yes,yes,yes,,,,2019-07-12
35.9898702,128.9404502,삼밭골글램핑,camp_site,,yes,,,경상북도 영천시 삼밭골길 107 ,0,,no,no,no,no,yes,,,,2019-07-12
36.5705952,126.3160369,삼봉자동차야영장,camp_site,yes,,,,충청남도 안면읍 삼봉길 209-3 ,0,50,yes,no,yes,no,,,,,2019-07-12
