위도,경도,tourism,name,addr:full,source:date
33.252515165,126.3963096121,guest_house,팜힐,제주특별자치도 서귀포시 예래로 107,2020-07-06
33.2544861845,126.4344931226,guest_house,중문와우펜션,제주특별자치도 서귀포시 1100로 44,2020-07-06
33.2629015329,126.39651002,guest_house,중문오아시스 민박,제주특별자치도 서귀포시 예래로 68번길 107,2020-07-06
33.2722735224,126.5662498491,guest_house,모드니에,제주특별자치도 서귀포시 동홍로 239번길 34-11,2020-07-06
33.2441035666,126.4430505156,guest_house,D1250,제주특별자치도 서귀포시 대포동서로 70번길 58-18,2020-07-06
33.2652356738,126.4274194674,guest_house,제주에코빌라,제주특별자치도 서귀포시 중문상로 207-15,2020-07-06
33.2422799355,126.4452080326,guest_house,하이랜드,제주특별자치도 서귀포시 이어도로 244,2020-07-06
33.2412271378,126.5312470479,guest_house,제주캐슬,제주특별자치도 서귀포시 태평로 92번길 36,2020-07-06
33.2361606797,126.383483961,guest_house,리틀화이트,제주특별자치도 서귀포시 예래해안로 179-21,2020-07-06
33.2761149832,126.7103856539,guest_house,바다 위 언덕,제주특별자치도 서귀포시 남원읍 태위로 594-6,2020-07-06
33.2395677292,126.2997154563,guest_house,달콤한 소금만들기,제주특별자치도 서귀포시 안덕면 사계로 100,2020-07-06
33.2561863672,126.3978315144,guest_house,마가렛,제주특별자치도 서귀포시 예래로 68번길 11-16,2020-07-06
33.2349002366,126.5135225287,guest_house,제주토브펜션,제주특별자치도 서귀포시 막숙포로 78,2020-07-06
33.2334356884,126.5127314555,guest_house,제주 아모제,제주특별자치도 서귀포시 최영로 20-1,2020-07-06
33.265864915,126.4076913742,guest_house,세도나 in 서귀포,제주특별자치도 서귀포시 색달로 81번길 50-42,2020-07-06
