위도,경도,name,addr:full,plant:storage,start_date,source:date,power,plant:source,plant:method,plant:output:electricity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
36.004598,128.135016,박대감제1호,경상북도 김천시 조마면 대방리 475(지붕),99 kW,2015-01-14,2019-11-28,plant,solar,photovoltaic,yes,,,475,조마면,,,
36.004598,128.135016,박대감제2호,경상북도 김천시 조마면 대방리 475(지붕),99 kW,2015-01-14,2019-11-28,plant,solar,photovoltaic,yes,,,475,조마면,,,
36.129004,128.042582,유진1호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",104.16 kW,2016-06-22,2019-11-28,plant,solar,photovoltaic,yes,,,1105-4,대항면,,,
36.129004,128.042582,유진2호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",99.2 kW,2016-06-22,2019-11-28,plant,solar,photovoltaic,yes,,,1105-4,대항면,,,
36.129004,128.042582,유진3호,"경상북도 김천시 대항면 덕전리 1105-4, 1105-8, 1105-12, 1033 (토지)",99.2 kW,2016-06-22,2019-11-28,plant,solar,photovoltaic,yes,,,1105-4,대항면,,,
36.205111,128.153863,양지솔라,"경상북도 김천시 김천시 감문면 금라리 산74-1, 은림리 산7 (토지)",494 kW,2015-11-13,2019-11-28,plant,solar,photovoltaic,yes,,,,감문면,,,
36.192765,128.161264,동영,경상북도 김천시 감문면 구야리 50(토지),96 kW,2015-10-26,2019-11-28,plant,solar,photovoltaic,yes,,,50,감문면,,,
36.14898,128.044116,응명,경상북도 김천시 봉산면 봉산1리 299-5(지붕),99.11 kW,2014-11-14,2019-11-28,plant,solar,photovoltaic,yes,,,299-5,봉산면,,,
36.055917,128.107152,진일,경상북도 김천시 조마면 장암리 183(토지),99 kW,2016-04-29,2019-11-28,plant,solar,photovoltaic,yes,,,183,조마면,,,
36.054933,128.108233,S.E.M solar,경상북도 김천시 조마면 장암리 88-9 (지붕),99 kW,2015-12-28,2019-11-28,plant,solar,photovoltaic,yes,,,88-9,조마면,,,
36.059925,128.088596,광명,경상북도 김천시 구성면 광명리 산26 (토지),502.2 kW,2016-12-.2,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.038997,128.129247,광화,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.038997,128.129247,광금,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.038997,128.129247,광명,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.038997,128.129247,광토,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.038997,128.129247,광월,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.038997,128.129247,광일,경상북도 김천시 감천면 용호리 619외 8필지 (토지),99 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
36.148724,128.167301,개령1호기,경상북도 김천시 개령면 황계리 174 나동 (지붕),80.08 kW,2015-01-16,2019-11-28,plant,solar,photovoltaic,yes,,,174,개령면,나,,
36.174521,128.147033,자옥농원,경상북도 김천시 어모면 다남리 449 (지붕),30 kW,2015-02-26,2019-11-28,plant,solar,photovoltaic,yes,,,449,어모면,,,
36.141776,128.16113,황계,경상북도 김천시 개령면 환경로 338-36 (지붕),48 kW,2015-04-09,2019-11-28,plant,solar,photovoltaic,yes,,환경로,338-36,개령면,,,
36.061596,128.17517,봉곡1호,경상북도 김천시 농소면 봉곡리 894 (지붕),20 kW,2015-02-11,2019-11-28,plant,solar,photovoltaic,yes,,,894,농소면,,,
36.141212,128.064584,신세계,"경상북도 김천시 봉산면 신리 425-2, 425-4 (지붕)",97.65 kW,2015-04-20,2019-11-28,plant,solar,photovoltaic,yes,,,425-2,봉산면,,,
36.033618,128.085047,핼리오그린솔라11호,경상북도 김천시 조마면 강곡리 산52 (임야),1500 kW,2017-04-25,2019-11-28,plant,solar,photovoltaic,yes,,,,조마면,,,
36.031063,128.081602,핼리오그린솔라12호,경상북도 김천시 조마면 강곡리 산54 ,1497.6 kW,2017-04-25,2019-11-28,plant,solar,photovoltaic,yes,,,,조마면,,,
36.179666,128.257882,황소,경상북도 김천시 아포읍 인리 300-1 (지붕),99 kW,2015-01-08,2019-11-28,plant,solar,photovoltaic,yes,,,300-1,아포읍,,,
36.048742,128.135885,무안,경상북도 김천시 감천면 무안리 1054-1 외2필지(토지),99.45 kW,2015-02-27,2019-11-28,plant,solar,photovoltaic,yes,,,1054-1,감천면,,,
35.980492,127.942132,(주)대웅,경상북도 김천시 부항면 월곡리 산113(토지),96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,,부항면,,,
36.172597,128.237133,해찬,경상북도 김천시 아포읍 의리 592 (토지),99.96 kW,2016-01-11,2019-11-28,plant,solar,photovoltaic,yes,,,592,아포읍,,,
36.169239,128.195357,양천,"경상북도 김천시 개령면 양천리 406-2,406-4(지붕)",99 kW,2015-03-11,2019-11-28,plant,solar,photovoltaic,yes,,,"406-2,406-4",개령면,,,
36.170604,128.116289,핼리오그린솔라 16호,경상북도 김천시 어모면 남산리 산23-1(토지),996 kW,2017-04-25,2019-11-28,plant,solar,photovoltaic,yes,,,,어모면,,,
36.03657,128.129367,핼리오그린솔라 17호,"경상북도 김천시 감천면 용호리 604,605,607,610-3,612",636.12 kW,2016-10-27,2019-11-28,plant,solar,photovoltaic,yes,,,"604,605,607,610-3,612",감천면,,,
36.00395,128.136411,상원1호,경상북도 김천시 조마면 대방리 200(토지),97.6 kW,2016-05-23,2019-11-28,plant,solar,photovoltaic,yes,,,200,조마면,,,
36.00395,128.136411,상원2호,경상북도 김천시 조마면 대방리 200(토지),97.6 kW,2016-05-23,2019-11-28,plant,solar,photovoltaic,yes,,,200,조마면,,,
35.997109,127.924809,하대리,"경상북도 김천시 부항면 하대리 523-1,527-1(토지)",98.175 kW,2016-07-04,2019-11-28,plant,solar,photovoltaic,yes,,,"523-1,527-1",부항면,,,
36.206728,128.144905,김천1,"경상북도 김천시 감문면 은림리 산24,남곡리 산101(토지)",99.75 kW,2016-01-11,2019-11-28,plant,solar,photovoltaic,yes,,,,감문면,,,
36.007158,127.937912,파천1리,경상북도 김천시 부항면 파천리 239-7(토지),44.8 kW,2016-06-01,2019-11-28,plant,solar,photovoltaic,yes,,,239-7,부항면,,,
36.039718,128.131876,그린,경상북도 김천시 감천면 용호리 254(토지),99.4 kW,2019-02-18,2019-11-28,plant,solar,photovoltaic,yes,,,254,감천면,,,
36.130504,128.188267,도로공사 본사,경상북도 김천시 김천시 혁신8로 77(율곡동 6-930)건물+토지,452.6 kW,2016-07-05,2019-11-28,plant,solar,photovoltaic,yes,,혁신8로,77,율곡동,,,
36.067463,128.110119,신우,"경상북도 김천시 조마면 신안리 493,498,499(지붕)",200 kW,2015-11-02,2019-11-28,plant,solar,photovoltaic,yes,,,"493,498,499",조마면,,,
36.031776,127.954928,안간영농조합법인,경상북도 김천시 부항면 안간리 385(토지),96.39 kW,2020-6.-.9,2019-11-28,plant,solar,photovoltaic,yes,,,385,부항면,,,
36.014726,127.906856,해인영농조합법인,경상북도 김천시 부항면 해인리 산8(토지),83.2 kW,2017-03-13,2019-11-28,plant,solar,photovoltaic,yes,,,,부항면,,,
36.172785,128.239611,아포태양광발전소1호,"경상북도 김천시 아포읍 의리 579, 인리 1078-1, 1078-2(토지)1078-3",1000 kW,2016-09-23,2019-11-28,plant,solar,photovoltaic,yes,,,579,아포읍,,,
36.179684,128.257704,박승하,경상북도 김천시 아포읍 인리 299(지붕),99.16 kW,2017-07-17,2019-11-28,plant,solar,photovoltaic,yes,,,299,아포읍,,,
36.074124,128.101226,시우,"경상북도 김천시 조마면 신안리 939,939-3(지붕+토지)",99.64 kW,2015-11-23,2019-11-28,plant,solar,photovoltaic,yes,,,"939,939-3",조마면,,,
36.190486,128.265389,세경,경상북도 김천시 아포읍 예리 359(지붕),99.2 kW,2015-09-11,2019-11-28,plant,solar,photovoltaic,yes,,,359,아포읍,,,
36.070523,128.121363,광천,경상북도 김천시 감천면 광기리 1085,99.705 kW,2016-04-29,2019-11-28,plant,solar,photovoltaic,yes,,,1085,감천면,,,
36.005613,127.938314,벌태양광발전소1호,경상북도 김천시 부항면 대야리 95-1,99 kW,2016-02-22,2019-11-28,plant,solar,photovoltaic,yes,,,95-1,부항면,,,
36.186267,128.189234,명국1호,"경상북도 김천시 개령면 남전리 259, 265-1",97.2 kW,2016-08-09,2019-11-28,plant,solar,photovoltaic,yes,,,259,개령면,,,
36.186529,128.190322,진명2호,경상북도 김천시 개령면 남전리 265-1,97.2 kW,2016-08-09,2019-11-28,plant,solar,photovoltaic,yes,,,265-1,개령면,,,
36.058183,128.107965,현우,경상북도 김천시 조마면 장암5길 17(지붕),19.76 kW,2016-04-29,2019-11-28,plant,solar,photovoltaic,yes,,장암5길,17,조마면,,,
36.059526,128.107602,매화,경상북도 김천시 조마면 장암5길 13(지붕),20 kW,2016-01-11,2019-11-28,plant,solar,photovoltaic,yes,,장암5길,13,조마면,,,
36.073801,128.101611,㈜중앙,"경상북도 김천시 조마면 신안리 833-1, 833-3(복합)",99 kW,2015-12-18,2019-11-28,plant,solar,photovoltaic,yes,,,833-1,조마면,,,
36.030558,127.948063,수양1호,경상북도 김천시 부항면 안간리 산63-1,998.4 kW,2018-1.-24,2019-11-28,plant,solar,photovoltaic,yes,,,,부항면,,,
36.129047,128.04255,성광,"경상북도 김천시 대항면 덕전리 1105-4,1087,1088,1105-16,1105-17,1105-18(지붕)",99 kW,2016-02-22,2019-11-28,plant,solar,photovoltaic,yes,,,"1105-4,1087,1088,1105-16,1105-17,1105-18",대항면,,,
36.113224,128.069614,백옥1호,,99.66 kW,2017-02-17,2019-11-28,plant,solar,photovoltaic,yes,,,669,백옥동,,,
36.116568,128.071508,백옥2호,,99.66 kW,2017-02-17,2019-11-28,plant,solar,photovoltaic,yes,,,536-1,백옥동,,,
36.177254,128.259683,인리,경상북도 김천시 아포읍 인리 267,99.2 kW,2016-09-13,2019-11-28,plant,solar,photovoltaic,yes,,,267,아포읍,,,
35.992822,127.939506,단산영농조합법인,경상북도 김천시 부항면 월곡리 43-3,148.72 kW,2017-01-17,2019-11-28,plant,solar,photovoltaic,yes,,,43-3,부항면,,,
36.011626,127.933874,부곡영농조합법인,경상북도 김천시 부항면 파천리 377,85.8 kW,2017-02-09,2019-11-28,plant,solar,photovoltaic,yes,,,377,부항면,,,
35.989196,127.952984,사월영농조합법인,"경상북도 김천시 부항면 사등리 487, 490, 491",233.92 kW,2017-02-22,2019-11-28,plant,solar,photovoltaic,yes,,,487,부항면,,,
35.979776,127.938491,한송정영농조합법인,경상북도 김천시 부항면 월곡리 245,144 kW,2017-02-10,2019-11-28,plant,solar,photovoltaic,yes,,,245,부항면,,,
36.199656,128.15167,구야리,경상북도 김천시 감문면 구야리 690,98.49 kW,2017-03-02,2019-11-28,plant,solar,photovoltaic,yes,,,690,감문면,,,
36.199656,128.15167,일산,경상북도 김천시 감문면 구야리 690,98.49 kW,2017-03-02,2019-11-28,plant,solar,photovoltaic,yes,,,690,감문면,,,
36.00328,128.124926,재창,"경상북도 김천시 조마면 대방리 1687-2, 1729",99.2 kW,2017-02-09,2019-11-28,plant,solar,photovoltaic,yes,,,1687-2,조마면,,,
36.137165,128.004905,금호,경상북도 김천시 대항면 향천리 1441(지붕),99.2 kW,2016-09-05,2019-11-28,plant,solar,photovoltaic,yes,,,1441,대항면,,,
36.142023,128.117979,명동쏠라,경상북도 김천시 금음길 3(지붕),18.81 kW,2016-08-17,2019-11-28,plant,solar,photovoltaic,yes,,금음길,3,,,,
36.200914,128.151561,광산,"경상북도 김천시 감문면 금라리 965-1,965-5",140.5 kW,2016-09-19,2019-11-28,plant,solar,photovoltaic,yes,,,"965-1,965-5",감문면,,,
36.195081,128.152731,주식회사 다솔라,경상북도 김천시 감문면 구야리 775-8,435.2 kW,2017-09-19,2019-11-28,plant,solar,photovoltaic,yes,,,775-8,감문면,,,
36.076005,128.25706,HS,"경상북도 김천시 남면 부상리 864-1, 772-1, 771-3(지붕)",99.2 kW,2016-9.-13,2019-11-28,plant,solar,photovoltaic,yes,,,864-1,남면,,,
36.003561,128.125175,재창제2,"경상북도 김천시 조마면 대방리 1687-1, 1687-2, 1687-3",99.2 kW,2017-02-09,2019-11-28,plant,solar,photovoltaic,yes,,,1687-1,조마면,,,
36.194024,128.160076,감문크린솔라1,"경상북도 김천시 감문면 구야리 448-1, 448-2, 445-6",99.2 kW,2016-12-27,2019-11-28,plant,solar,photovoltaic,yes,,,448-1,감문면,,,
36.194024,128.160076,감문크린솔라2,"경상북도 김천시 감문면 구야리 448-1, 448-2, 445-6",99.2 kW,2016-12-27,2019-11-28,plant,solar,photovoltaic,yes,,,448-1,감문면,,,
36.194024,128.160076,감문크린솔라3,"경상북도 김천시 감문면 구야리 448-1, 448-2, 445-6",99.2 kW,2016-12-27,2019-11-28,plant,solar,photovoltaic,yes,,,448-1,감문면,,,
35.975031,128.071122,해맞이3호,경상북도 김천시 지례면 신평리 372-3,99.23 kW,2017-03-29,2019-11-28,plant,solar,photovoltaic,yes,,,372-3,지례면,,,
35.974823,128.071143,언양1호,경상북도 김천시 지례면 신평리 372,99.23 kW,2017-03-29,2019-11-28,plant,solar,photovoltaic,yes,,,372,지례면,,,
35.974823,128.071143,정원,경상북도 김천시 지례면 신평리 372-2,99.23 kW,2017-03-29,2019-11-28,plant,solar,photovoltaic,yes,,,372-2,지례면,,,
35.975007,128.071337,박대감3호,경상북도 김천시 지례면 신평리 371-1,99.23 kW,2017-03-29,2019-11-28,plant,solar,photovoltaic,yes,,,371-1,지례면,,,
36.160195,128.230408,㈜솔라메이커스,,295.74 kW,2017-03-23,2019-11-28,plant,solar,photovoltaic,yes,,아포대로,659-15,아포읍,,,
36.059968,128.088585,㈜태너지,"경상북도 김천시 구성면 광명리 산26, 산26-1",198.4 kW,2016-11-02,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.052333,128.056514,수정,경상북도 김천시 구성면 송죽리 산133,99.2 kW,2018-03-21,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.052333,128.056514,㈜에스에이치솔라6,경상북도 김천시 구성면 송죽리 산133,99.2 kW,2018-03-21,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.052333,128.056514,영진,경상북도 김천시 구성면 송죽리 산133,99.2 kW,2018-03-21,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.052333,128.056514,㈜제이케이솔라김천,경상북도 김천시 구성면 송죽리 산133,99.2 kW,2018-03-21,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
36.052333,128.056514,채윤,경상북도 김천시 구성면 송죽리 산133,99.2 kW,2018-03-21,2019-11-28,plant,solar,photovoltaic,yes,,,,구성면,,,
35.99628,127.920774,주평,경상북도 김천시 부항면 하대리 478,92.48 kW,2017-03-17,2019-11-28,plant,solar,photovoltaic,yes,,,478,부항면,,,
36.105715,128.207882,스마일태양광주식회사,경상북도 김천시 남면 운곡리 산104,997.56 kW,2017-11-21,2019-11-28,plant,solar,photovoltaic,yes,,,,남면,,,
36.154445,128.152756,대광,경상북도 김천시 개령면 신룡리 748(지붕),98.49 kW,2017-04-07,2019-11-28,plant,solar,photovoltaic,yes,,,748,개령면,,,
36.019491,127.99326,단우솔라,"경상북도 김천시 구성면 임천리 242, 243, 206,244,245",494.76 kW,2017-08-11,2019-11-28,plant,solar,photovoltaic,yes,,,242,구성면,,,
36.019412,127.992688,금성2태양광발전소,"경상북도 김천시 구성면 임천리 산90-34, 248-3,248-4,240-1",495.76 kW,2017-08-11,2019-11-28,plant,solar,photovoltaic,yes,,,"248-3,248-4,240-1",구성면,,,
36.073793,128.081558,㈜한양태양광발전소,경상북도 김천시 구성면 하강리 648-1,99 kW,2017-09-28,2019-11-28,plant,solar,photovoltaic,yes,,,648-1,구성면,,,
36.073793,128.081558,자연삼육오영농조합법인,경상북도 김천시 구성면 하강리 648-1,99 kW,2017-09-28,2019-11-28,plant,solar,photovoltaic,yes,,,648-1,구성면,,,
36.073793,128.081558,한양1호,경상북도 김천시 구성면 하강리 648-1,99 kW,2017-09-28,2019-11-28,plant,solar,photovoltaic,yes,,,648-1,구성면,,,
36.073793,128.081558,한양2호,경상북도 김천시 구성면 하강리 648-1,99 kW,2017-09-28,2019-11-28,plant,solar,photovoltaic,yes,,,648-1,구성면,,,
36.172166,128.247583,신촌,"경상북도 김천시 아포읍 인리 773-12,773-13,773-14,773-20",991.44 kW,2018-04-23,2019-11-28,plant,solar,photovoltaic,yes,,,"773-12,773-13,773-14,773-20",아포읍,,,
36.046309,128.060754,기성,경상북도 김천시 구성면 송죽리 529-13,489.6 kW,2017-12-21,2019-11-28,plant,solar,photovoltaic,yes,,,529-13,구성면,,,
36.046309,128.060754,동부김천,경상북도 김천시 구성면 송죽리 529-12,489.6 kW,2017-12-21,2019-11-28,plant,solar,photovoltaic,yes,,,529-12,구성면,,,
36.046309,128.060754,KDB김천,경상북도 김천시 구성면 송죽리 529-11,489.6 kW,2017-12-21,2019-11-28,plant,solar,photovoltaic,yes,,,529-11,구성면,,,
36.046525,128.060764,써니원김천,경상북도 김천시 구성면 송죽리 529-8,318.24 kW,2017-12-21,2019-11-28,plant,solar,photovoltaic,yes,,,529-8,구성면,,,
36.046525,128.060764,썬위드김천,경상북도 김천시 구성면 송죽리 529-8,459 kW,2017-12-21,2019-11-28,plant,solar,photovoltaic,yes,,,529-8,구성면,,,
36.153968,128.160986,황계솔라1,"경상북도 김천시 개령면 황계리 663-1, 662",99.84 kW,2017-08-17,2019-11-28,plant,solar,photovoltaic,yes,,,663-1,개령면,,,
36.153968,128.160986,황계솔라2,"경상북도 김천시 개령면 황계리 663-1, 662",99.84 kW,2017-08-17,2019-11-28,plant,solar,photovoltaic,yes,,,663-1,개령면,,,
36.153968,128.160986,황계솔라3,"경상북도 김천시 개령면 황계리 663-1, 662",99.84 kW,2017-08-17,2019-11-28,plant,solar,photovoltaic,yes,,,663-1,개령면,,,
35.980671,127.942156,대웅태양광발전소2호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소3호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-10,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소4호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-10,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소5호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소6호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-10,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소7호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소8호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-10,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소9호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
35.980671,127.942156,대웅태양광발전소10호,경상북도 김천시 부항면 월곡리 산 113,96.48 kW,2018-01-15,2019-11-28,plant,solar,photovoltaic,yes,,,113,부항면,,,
36.14471,128.053648,스마일솔라,경상북도 김천시 봉산면 예지리 424,98.55 kW,2018-11-28,2019-11-28,plant,solar,photovoltaic,yes,,,424,봉산면,,,
36.14471,128.053648,은하수솔라,경상북도 김천시 봉산면 예지리 424,98.55 kW,2018-11-28,2019-11-28,plant,solar,photovoltaic,yes,,,424,봉산면,,,
36.084374,128.133157,㈜에스에너지,"경상북도 김천시 감천면 금송리 산137-1, 산137-2",999 kW,2018-03-09,2019-11-28,plant,solar,photovoltaic,yes,,,,감천면,,,
